,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant_url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/mtVVNRecuFD0R2cOfAoAyQ/l.jpg,Firehouse Subs,"5841 Crawfordsville Rd Ste 104 & 105 Indianapolis, IN 46224",(317) 802-1379,18 reviews,"Fast Food, Delis, Sandwiches",Mon 10:30 AM - 9:00 PM Tue 10:30 AM - 9:00 PM Closed now Wed 10:30 AM - 9:00 PM Thu 10:30 AM - 9:00 PM Fri 10:30 AM - 9:00 PM Sat 10:30 AM - 9:00 PM Sun 10:30 AM - 9:00 PM,4 star rating,http://www.firehousesubs.com,Claimed,https://www.yelp.com/adredir?ad_business_id=rgZe6i1mcMRtyubR15hvlg&campaign_id=Fj8Yk0wOok0MwBao3uBFvA&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ffirehouse-subs-indianapolis-5&request_id=4c6e2b082caabda6&signature=41435f53d205d2265b7ffc21593893a83f20b0688153c9ee265145d00c1f2e64&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/8KSLmbItF69NcXmKqveyag/l.jpg,Sonic Drive-In,"66 South Raceway Avon, IN 46231",(317) 272-4379,52 reviews,"Fast Food, Burgers, Ice Cream & Frozen Yogurt",Mon 7:00 AM - 11:00 PM Tue 7:00 AM - 11:00 PM Open now Wed 7:00 AM - 11:00 PM Thu 7:00 AM - 11:00 PM Fri 7:00 AM - 12:00 AM (Next day) Sat 7:00 AM - 12:00 AM (Next day) Sun 7:00 AM - 11:00 PM,3 star rating,http://www.sonicdrivein.com,Claimed,https://www.yelp.com/adredir?ad_business_id=qLXO7VFOlWo2iocQBiUeRA&campaign_id=YF-Z-ajNgww3j6RaVbDQNw&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsonic-drive-in-avon&request_id=4c6e2b082caabda6&signature=182ce11e0f76bdd1d3963cedb8ed25353075da3caf139f61e556a64e471a12d8&slot=1
2,https://s3-media0.fl.yelpcdn.com/bphoto/-iGS_MCU-s2x-xiYimj-Jg/l.jpg,The Eagle,"310 Massachusetts Ave Indianapolis, IN 46204",(317) 929-1799,2424 reviews,"American (Traditional), Southern",Mon 4:00 PM - 11:00 PM Tue 4:00 PM - 11:00 PM Open now Wed 4:00 PM - 11:00 PM Thu 4:00 PM - 11:00 PM Fri 11:00 AM - 12:00 AM (Next day) Sat 11:00 AM - 12:00 AM (Next day) Sun 11:00 AM - 10:00 PM,4.5 star rating,http://eaglerestaurant.com,Claimed,https://www.yelp.com/biz/the-eagle-indianapolis-13
3,https://s3-media0.fl.yelpcdn.com/bphoto/R1piIwoWbT1xyl0dO8HRxQ/l.jpg,Bluebeard,Verified by Business,(317) 686-1580,1060 reviews,"American (New), Venues & Event Spaces",Mon Closed Tue 11:00 AM - 3:00 PM 5:00 PM - 10:00 PM Open now Wed 11:00 AM - 3:00 PM 5:00 PM - 10:00 PM Thu 11:00 AM - 3:00 PM 5:00 PM - 10:00 PM Fri 11:00 AM - 3:00 PM 5:00 PM - 10:00 PM Sat 11:00 AM - 3:00 PM 5:00 PM - 10:00 PM Sun 4:00 PM - 10:00 PM,4.5 star rating,https://bluebeardindy.com,Claimed,https://www.yelp.com/biz/bluebeard-indianapolis
4,https://s3-media0.fl.yelpcdn.com/bphoto/jUUOyK76EeUgA1hRFFh1Qw/l.jpg,Root & Bone Indianapolis,"4601 N College Ave Indianapolis, IN 46205",(317) 602-8672,419 reviews,American (Traditional),Mon 4:00 PM - 10:00 PM Tue 4:00 PM - 10:00 PM Open now Wed 4:00 PM - 10:00 PM Thu 4:00 PM - 10:00 PM Fri 4:00 PM - 10:00 PM Sat 9:00 AM - 10:00 PM Sun 9:00 AM - 9:00 PM,4.5 star rating,http://rootnboneindy.com,Claimed,https://www.yelp.com/biz/root-and-bone-indianapolis-indianapolis
5,https://s3-media0.fl.yelpcdn.com/bphoto/tpHTuWun-StpS0LKv0-P1A/l.jpg,Tinker Street,"402 E 16th St Indianapolis, IN 46202",(317) 925-5000,770 reviews,"Wine Bars, American (New)",Mon 5:00 PM - 9:00 PM Tue 5:00 PM - 9:00 PM Closed now Wed 5:00 PM - 9:00 PM Thu 5:00 PM - 10:00 PM Fri 5:00 PM - 10:00 PM Sat 5:00 PM - 10:00 PM Sun Closed,4.5 star rating,http://www.tinkerstreetrestaur…,Claimed,https://www.yelp.com/biz/tinker-street-indianapolis
6,https://s3-media0.fl.yelpcdn.com/bphoto/tb6xq7NUSIYoWvQxLLqmHA/l.jpg,Union 50,"620 N East St Indianapolis, IN 46202",(317) 610-0234,825 reviews,"Gastropubs, American (New), Music Venues",Mon 5:00 PM - 10:00 PM Tue 5:00 PM - 10:00 PM Open now Wed 5:00 PM - 10:30 PM Thu 5:00 PM - 10:00 PM Fri 5:00 PM - 11:00 PM Sat 5:00 PM - 11:00 PM Sun 5:00 PM - 9:00 PM,4.5 star rating,http://www.union-50.com/,Claimed,https://www.yelp.com/biz/union-50-indianapolis-2
7,https://s3-media0.fl.yelpcdn.com/bphoto/tvFMVB0qw1Eg_jpOWD0O8w/l.jpg,The Oakmont,"323 N Delaware St Indianapolis, IN 46204",(317) 746-6097,245 reviews,"American (Traditional), Breakfast & Brunch, Bars",Mon 11:00 AM - 11:00 PM Tue 11:00 AM - 11:00 PM Open now Wed 11:00 AM - 11:00 PM Thu 11:00 AM - 11:00 PM Fri 11:00 AM - 1:00 AM (Next day) Sat 10:00 AM - 1:00 AM (Next day) Sun 10:00 AM - 11:00 PM,4 star rating,https://www.theoakmontindy.com,Claimed,https://www.yelp.com/biz/the-oakmont-indianapolis
8,https://s3-media0.fl.yelpcdn.com/bphoto/1i0v7O_1CPz5BGwNBhWabQ/l.jpg,Bocca,"122 E 22nd St Indianapolis, IN 46202",(317) 426-2045,65 reviews,"Italian, Cocktail Bars",Mon 5:00 PM - 10:00 PM Tue 5:00 PM - 10:00 PM Open now Wed 5:00 PM - 10:00 PM Thu 5:00 PM - 10:00 PM Fri 5:00 PM - 11:00 PM Sat 5:00 PM - 11:00 PM Sun 5:00 PM - 9:00 PM,4.5 star rating,http://www.boccaindy.com,Claimed,https://www.yelp.com/biz/bocca-indianapolis
9,https://s3-media0.fl.yelpcdn.com/bphoto/3cYxzqrNd_4OZI6MXQw3eA/l.jpg,Livery,"720 N College Ave Indianapolis, IN 46202",(317) 383-0330,1078 reviews,"Latin American, Empanadas, Tacos",Mon 4:00 PM - 10:00 PM Tue 4:00 PM - 10:00 PM Open now Wed 4:00 PM - 10:00 PM Thu 4:00 PM - 10:00 PM Fri 4:00 PM - 11:00 PM Sat 4:00 PM - 11:00 PM Sun 4:00 PM - 9:00 PM,4.5 star rating,https://www.livery-restaurant.…,Claimed,https://www.yelp.com/biz/livery-indianapolis-10
10,https://s3-media0.fl.yelpcdn.com/bphoto/cVOmb_zvpJTZYLzevfIs0g/l.jpg,World Famous Hotboys,"1004 Virginia Ave Indianapolis, IN 46203",,78 reviews,Chicken Shop,Mon 11:00 AM - 11:00 PM Tue 11:00 AM - 11:00 PM Open now Wed 11:00 AM - 11:00 PM Thu 11:00 AM - 11:00 PM Fri 11:00 AM - 2:00 AM (Next day) Sat 11:00 AM - 2:00 AM (Next day) Sun 11:00 AM - 9:00 PM,4.5 star rating,http://www.worldfamoushotboys.…,Claimed,https://www.yelp.com/biz/world-famous-hotboys-indianapolis
11,https://s3-media0.fl.yelpcdn.com/bphoto/Vzvq51Hi-vdbqZraR7NolQ/l.jpg,The Fountain Room,"830 Massachusetts Ave Ste 1480 Indianapolis, IN 46204",(463) 238-3800,54 reviews,"Seafood, Steakhouses, Supper Clubs",Mon 11:00 AM - 10:00 PM Tue 11:00 AM - 10:00 PM Open now Wed 11:00 AM - 10:00 PM Thu 11:00 AM - 10:00 PM Fri 11:00 AM - 11:00 PM Sat 11:00 AM - 11:00 PM Sun 11:00 AM - 9:00 PM,4 star rating,https://www.thefountainroom.co…,Claimed,https://www.yelp.com/biz/the-fountain-room-indianapolis
