,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant_url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/_E_jwVwhOvO0xKof0yKNbg/l.jpg,Cusser's Roast Beef and Seafood,"304 Stuart St Boston, MA 02116",(617) 917-5193,89 reviews,"Seafood, Cocktail Bars, Soup",Mon Closed Closed now Tue 11:30 AM - 8:00 PM Wed 11:30 AM - 8:00 PM Thu 11:30 AM - 8:00 PM Fri 11:30 AM - 9:00 PM Sat 11:30 AM - 9:00 PM Sun Closed,4.5 star rating,http://www.cussersboston.com,Claimed,https://www.yelp.com/adredir?ad_business_id=2OPwmUgtjb3nhClb7IEOxA&campaign_id=Q-k2LGIrwJTcg7qPKtE4UA&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcussers-roast-beef-and-seafood-boston-2&request_id=ae1d2e442229f83d&signature=b0517eaa3e223525032a24397e6cc5c5b274ef13f5e537d4b935bd6ee8dbcabe&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/e8GsG7BUQounQwNNuwQZuw/l.jpg,Yard House,"126 Brookline Ave Boston, MA 02215",(617) 236-4083,897 reviews,"Bars, American (New), Vegetarian",Mon 11:00 AM - 11:30 PM Open now Tue 11:00 AM - 11:30 PM Wed 11:00 AM - 11:30 PM Thu 11:00 AM - 11:30 PM Fri 11:00 AM - 12:30 AM (Next day) Sat 11:00 AM - 12:30 AM (Next day) Sun 11:00 AM - 11:30 PM,3.5 star rating,https://YardHouse.com,Claimed,https://www.yelp.com/adredir?ad_business_id=n4XrNsqY2Oi1DB7-2hJzTw&campaign_id=hlLUeuK763SkKNloANG9Og&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fyard-house-boston-2&request_id=ae1d2e442229f83d&signature=2bade3f866e68b23ba4d3a69fa8f980f7e79edc9ca017071840976ba57f84c34&slot=1
2,https://s3-media0.fl.yelpcdn.com/bphoto/xkTRiobuamYowGhowfgrGQ/l.jpg,Carmelina's,"307 Hanover St Boston, MA 02113",(617) 742-0020,2835 reviews,Italian,Mon 12:00 PM - 10:00 PM Open now Tue 12:00 PM - 10:00 PM Wed 12:00 PM - 10:00 PM Thu 12:00 PM - 10:00 PM Fri 12:00 PM - 10:00 PM Sat 12:00 PM - 10:00 PM Sun 12:00 PM - 10:00 PM,4.5 star rating,http://carmelinasboston.com/,Claimed,https://www.yelp.com/biz/carmelinas-boston-2
3,https://s3-media0.fl.yelpcdn.com/bphoto/tVSm52FMEI5v9PqLh-tcNQ/l.jpg,Saltie Girl,"279 Dartmouth St Boston, MA 02116",(617) 267-0691,1635 reviews,"Seafood, Cocktail Bars",Mon 11:00 AM - 10:00 PM Open now Tue 11:00 AM - 10:00 PM Wed 11:00 AM - 10:00 PM Thu 11:00 AM - 10:00 PM Fri 11:00 AM - 11:00 PM Sat 11:00 AM - 11:00 PM Sun 11:00 AM - 9:00 PM,4.5 star rating,https://www.saltiegirl.com,Claimed,https://www.yelp.com/biz/saltie-girl-boston
4,https://s3-media0.fl.yelpcdn.com/bphoto/_iEO8NobYhZZEYfQdcbd7Q/l.jpg,Neptune Oyster,"63 Salem St Boston, MA 02113",(617) 742-3474,5696 reviews,"Seafood, Salad, Sandwiches",Mon 11:00 AM - 9:30 PM Open now Tue 11:00 AM - 9:30 PM Wed 11:00 AM - 9:30 PM Thu 11:00 AM - 9:30 PM Fri 11:00 AM - 9:30 PM Sat 11:00 AM - 10:30 PM Sun 11:00 AM - 10:30 PM,4.5 star rating,http://www.neptuneoyster.com/,Unclaimed,https://www.yelp.com/biz/neptune-oyster-boston
5,https://s3-media0.fl.yelpcdn.com/bphoto/0Z3Ow_6yNMS5XbRMQPnj-w/l.jpg,The Salty Pig,"130 Dartmouth St Boston, MA 02116",(617) 536-6200,1767 reviews,"American (New), Italian, Pizza",Mon 4:00 PM - 10:00 PM Open now Tue 4:00 PM - 10:00 PM Wed 4:00 PM - 10:00 PM Thu 4:00 PM - 10:00 PM Fri 11:30 AM - 10:30 PM Sat 11:30 AM - 10:30 PM Sun 11:30 AM - 10:00 PM,4 star rating,http://www.thesaltypig.com,Claimed,https://www.yelp.com/biz/the-salty-pig-boston
6,https://s3-media0.fl.yelpcdn.com/bphoto/I38DEHjdCjEOhj3dhAzdgA/l.jpg,Citrus & Salt,"142 Berkeley St Boston, MA 02116",(617) 424-6711,766 reviews,"Cocktail Bars, Mexican",Mon 5:00 PM - 11:00 PM Open now Tue 5:00 PM - 11:00 PM Wed 5:00 PM - 11:00 PM Thu 5:00 PM - 12:00 AM (Next day) Fri 12:00 PM - 12:00 AM (Next day) Sat 10:30 AM - 3:45 PM 5:00 PM - 12:00 AM (Next day) Sun 10:30 AM - 3:45 PM 5:00 PM - 11:00 PM,4 star rating,https://www.citrusandsaltbosto…,Claimed,https://www.yelp.com/biz/citrus-and-salt-boston
7,https://s3-media0.fl.yelpcdn.com/bphoto/7laBtQDd31um28OcVmFImA/l.jpg,Krasi,"48 Gloucester St Boston, MA 02115",(617) 536-0230,270 reviews,"Mediterranean, Greek, Wine Bars",Mon 5:00 PM - 11:00 PM Open now Tue 5:00 PM - 11:00 PM Wed 5:00 PM - 11:00 PM Thu 5:00 PM - 11:00 PM Fri 5:00 PM - 11:00 PM Sat 10:00 AM - 3:00 PM 5:00 PM - 11:00 PM Sun 10:00 AM - 3:00 PM 5:00 PM - 11:00 PM,4.5 star rating,http://www.krasiboston.com,Claimed,https://www.yelp.com/biz/krasi-boston-2
8,https://s3-media0.fl.yelpcdn.com/bphoto/6ezc60HswL0i2HaQzyDosw/l.jpg,Giacomo's Ristorante - Boston,"355 Hanover St Boston, MA 02113",(617) 523-9026,3862 reviews,"Italian, Wine Bars, Seafood",Mon 12:00 PM - 10:00 PM Open now Tue 12:00 PM - 10:00 PM Wed 12:00 PM - 10:00 PM Thu 12:00 PM - 10:00 PM Fri 12:00 PM - 10:30 PM Sat 12:00 PM - 10:30 PM Sun 12:00 PM - 10:00 PM,4 star rating,https://www.giacomosboston.com,Claimed,https://www.yelp.com/biz/giacomos-ristorante-boston-boston
9,https://s3-media0.fl.yelpcdn.com/bphoto/6lxEHoKJdQakLogLgmNBOg/l.jpg,Buttermilk & Bourbon,"160 Commonwealth Ave Boston, MA 02116",(617) 266-1122,862 reviews,"Southern, Bars, Tapas Bars",Mon 12:00 PM - 10:00 PM Open now Tue 12:00 PM - 10:00 PM Wed 12:00 PM - 10:00 PM Thu 12:00 PM - 10:00 PM Fri 12:00 PM - 11:00 PM Sat 11:00 AM - 11:00 PM Sun 10:30 AM - 3:00 PM 5:00 PM - 10:00 PM,4 star rating,https://www.buttermilkbourbon.…,Claimed,https://www.yelp.com/biz/buttermilk-and-bourbon-boston-2
10,https://s3-media0.fl.yelpcdn.com/bphoto/4H2cvx13FJyBIKr94W-Izw/l.jpg,The Banks Fish House,"406 Stuart St Boston, MA 02116",(617) 399-0015,129 reviews,"Seafood, Cocktail Bars",Mon 11:30 AM - 9:30 PM Open now Tue 11:30 AM - 9:30 PM Wed 11:30 AM - 9:30 PM Thu 11:30 AM - 9:30 PM Fri 11:30 AM - 10:30 PM Sat 11:00 AM - 10:30 PM Sun 11:00 AM - 9:30 PM,4.5 star rating,https://thebanksboston.com,Claimed,https://www.yelp.com/biz/the-banks-fish-house-boston
11,https://s3-media0.fl.yelpcdn.com/bphoto/GsIajLCr0T0aXenyby9TEw/l.jpg,Yvonne's,"2 Winter Pl Boston, MA 02108",(617) 267-0047,1202 reviews,"American (New), Lounges",Mon 5:00 PM - 2:00 AM (Next day) Open now Tue 5:00 PM - 2:00 AM (Next day) Wed 5:00 PM - 2:00 AM (Next day) Thu 5:00 PM - 2:00 AM (Next day) Fri 4:00 PM - 2:00 AM (Next day) Sat 4:00 PM - 2:00 AM (Next day) Sun 5:00 PM - 2:00 AM (Next day),4 star rating,http://www.yvonnesboston.com/,Claimed,https://www.yelp.com/biz/yvonnes-boston
12,https://s3-media0.fl.yelpcdn.com/bphoto/ZT-qEQPR6sah1LK3jg8FKw/l.jpg,Eddie V's Prime Seafood,"122 Belvidere St Boston, MA 02199",(617) 358-9990,161 reviews,"Seafood, Steakhouses, Lounges",Mon 4:00 PM - 9:00 PM Open now Tue 4:00 PM - 9:00 PM Wed 4:00 PM - 9:00 PM Thu 4:00 PM - 9:00 PM Fri 4:00 PM - 10:00 PM Sat 4:00 PM - 10:00 PM Sun 4:00 PM - 9:00 PM,4 star rating,https://Eddiev.com,Claimed,https://www.yelp.com/adredir?ad_business_id=VEmNgxY90VOc5HNprOiXlw&campaign_id=lRSVR52exFm1LyZcxNNdqA&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Feddie-vs-prime-seafood-boston-2&request_id=ae1d2e442229f83d&signature=5ef841fa520c4d70a86e48a76e17ff0ebe178f8a21dd0722c5ee8c7fa4e1b7f8&slot=0
