,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant_url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/oAOnBNk8Ejc7z1C73YPr7A/l.jpg,First Watch,"30955 Woodward Ave Ste 405 Royal Oak, MI 48073",(248) 744-3413,80 reviews,"Cafes, Breakfast & Brunch, American (Traditional)",Mon 7:00 AM - 2:30 PM Tue 7:00 AM - 2:30 PM Wed 7:00 AM - 2:30 PM Thu 7:00 AM - 2:30 PM Fri 7:00 AM - 2:30 PM Sat 7:00 AM - 2:30 PM Open now Sun 7:00 AM - 2:30 PM,3.5 star rating,http://www.firstwatch.com,Claimed,https://www.yelp.com/adredir?ad_business_id=Pp0FCPOkJwlVlUHqzQmg6w&campaign_id=Qu0_xQwIldHrOTQ81IObNw&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ffirst-watch-royal-oak-4&request_id=35410e8d004bb7e2&signature=7a6684a62b7173e3e68d5051572cb053c7e2f684bfc480f3142505180370b142&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/oAOnBNk8Ejc7z1C73YPr7A/l.jpg,Chung's Carry-Out,"12518 Kelly Rd Detroit, MI 48224",(313) 372-5656,2 reviews,Restaurants,Mon Closed Tue 12:00 PM - 10:30 PM Wed 12:00 PM - 10:30 PM Thu 12:00 PM - 10:30 PM Fri 12:00 PM - 10:00 PM Sat 12:00 PM - 10:00 PM Closed now Sun 12:00 PM - 10:30 PM,5 star rating,http://www.chungs-carry-out-ch…,Claimed,https://www.yelp.com/adredir?ad_business_id=OZ-NJ7HkplyEI71kc3IXIg&campaign_id=x7HGp8xvw7sYTbM0nm0d8g&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fchungs-carry-out-detroit&request_id=35410e8d004bb7e2&signature=1254b83faf6f859b80e6a1ca1ba214b4fb68b69e026dcaeb60fd56b82890df70&slot=1
2,https://s3-media0.fl.yelpcdn.com/bphoto/e6mC6OT_vyjTlly7KxeOew/l.jpg,Wright & Company,"1500 Woodward Ave Detroit, MI 48226",(313) 962-7711,958 reviews,"Gastropubs, American (New), Tapas/Small Plates",Mon Closed Tue 5:00 PM - 11:00 PM Wed 5:00 PM - 11:00 PM Thu 5:00 PM - 11:00 PM Fri 5:00 PM - 12:00 AM (Next day) Sat 4:00 PM - 12:00 AM (Next day) Closed now Sun Closed,4.5 star rating,http://www.wrightdetroit.com/,Claimed,https://www.yelp.com/biz/wright-and-company-detroit-3
3,https://s3-media0.fl.yelpcdn.com/bphoto/IAwlNCFTDI2VAzowzdruTQ/l.jpg,BARDA Detroit,"4842 Grand River Ave Detroit, MI 48208",(313) 986-1232,85 reviews,"Bars, Argentine",Mon Closed Tue Closed Wed Closed Thu 5:00 PM - 11:00 PM Fri 5:00 PM - 11:00 PM Sat 5:00 PM - 11:00 PM Closed now Sun 5:00 PM - 11:00 PM,4.5 star rating,https://www.bardadetroit.com,Claimed,https://www.yelp.com/biz/barda-detroit-detroit
4,https://s3-media0.fl.yelpcdn.com/bphoto/J4ZNsWXpsjOqyL4QdhFpfg/l.jpg,Selden Standard,"3921 2nd Ave Detroit, MI 48201",(313) 438-5055,1198 reviews,"American (New), Sandwiches",Mon Closed Tue Closed Wed 5:00 PM - 10:00 PM Thu 5:00 PM - 10:00 PM Fri 5:00 PM - 10:00 PM Sat 5:00 PM - 10:00 PM Closed now Sun 5:00 PM - 10:00 PM,4.5 star rating,http://www.seldenstandard.com/,Unclaimed,https://www.yelp.com/biz/selden-standard-detroit
5,https://s3-media0.fl.yelpcdn.com/bphoto/RcrwrxWRP6k6rB4Px4nD-w/l.jpg,Grey Ghost Detroit,"47 Watson St Detroit, MI 48201",(313) 262-6534,875 reviews,"American (Traditional), Beer Bar, Cocktail Bars",Mon 4:00 PM - 11:00 PM Tue 4:00 PM - 11:00 PM Wed 4:00 PM - 11:00 PM Thu 4:00 PM - 11:00 PM Fri 4:00 PM - 12:00 AM (Next day) Sat 4:00 PM - 12:00 AM (Next day) Closed now Sun 4:00 PM - 11:00 PM,4 star rating,http://www.greyghostdetroit.co…,Claimed,https://www.yelp.com/biz/grey-ghost-detroit-detroit
6,https://s3-media0.fl.yelpcdn.com/bphoto/7pELKoh5CbHqEquDDHs3rg/l.jpg,Chartreuse,"15 E Kirby St Ste D Detroit, MI 48202",(313) 818-3915,760 reviews,"American (New), Tapas/Small Plates, Cocktail Bars",Mon Closed Tue 5:00 PM - 9:30 PM Wed 5:00 PM - 9:30 PM Thu 5:00 PM - 9:30 PM Fri 5:00 PM - 9:30 PM Sat 5:00 PM - 9:30 PM Closed now Sun 5:00 PM - 9:00 PM,4.5 star rating,http://www.chartreusekc.com,Claimed,https://www.yelp.com/biz/chartreuse-detroit
7,https://s3-media0.fl.yelpcdn.com/bphoto/uxEfEqHmHWj8MGMyck2mGg/l.jpg,Babo Detroit,"15 E Kirby St Ste 115 Detroit, MI 48202",(313) 974-6159,167 reviews,"American (New), Breakfast & Brunch",Mon Closed Tue 9:00 AM - 5:00 PM Wed 9:00 AM - 5:00 PM Thu 9:00 AM - 5:00 PM Fri 9:00 AM - 5:00 PM Sat 9:00 AM - 5:00 PM Open now Sun 9:00 AM - 3:00 PM,4.5 star rating,https://www.babodetroit.com,Claimed,https://www.yelp.com/biz/babo-detroit-detroit
8,https://s3-media0.fl.yelpcdn.com/bphoto/NGMWjBG46O-w1XYWLNQmhw/l.jpg,Oak & Reel,"2921 E Grand Blvd Ste 100 Detroit, MI 48202",(313) 270-9600,124 reviews,"Italian, Seafood",Mon 5:00 PM - 9:00 PM Tue Closed Wed Closed Thu 5:00 PM - 10:00 PM Fri 5:00 PM - 10:00 PM Sat 5:00 PM - 10:00 PM Closed now Sun 4:30 PM - 9:00 PM,4.5 star rating,http://www.oakandreel.com,Claimed,https://www.yelp.com/biz/oak-and-reel-detroit
9,https://s3-media0.fl.yelpcdn.com/bphoto/5FIxP90jNxv-quie7m5nHQ/l.jpg,Bar Pigalle,"2915 John R St Detroit, MI 48201",(313) 497-9200,18 reviews,"Cocktail Bars, French, Wine Bars",,4.5 star rating,http://www.oakandreel.com,Claimed,https://www.yelp.com/biz/bar-pigalle-detroit
