,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant_url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/GWZHRSpmudsVJXTOGfYNZA/l.jpg,The Pig & Pint,"3139 N State St Jackson, MS 39216",(601) 952-8927,918 reviews,"Barbeque, Gastropubs, Sandwiches",Mon 11:00 AM - 9:00 PM Tue 11:00 AM - 9:00 PM Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 9:00 PM Closed now Sat 11:00 AM - 9:00 PM Sun Closed,4.5 star rating,http://www.pigandpint.com/,Claimed,https://www.yelp.com/adredir?ad_business_id=vsXLQFDsk1LAw4orFQxpbA&campaign_id=6qB2C4Kao6nCDefQf4ckow&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-pig-and-pint-jackson&request_id=2906eeba405dbccb&signature=2fc1c8c9eecce914df484651c8e5cc0ae2efb23f418476de99a0e613e7eb9dbe&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/Fparf4ntraRcjTloNXJT_Q/l.jpg,Sonic Drive-In,"150 West Third St Forest, MS 39074",(601) 469-3000,8 reviews,"Burgers, Fast Food, Ice Cream & Frozen Yogurt",Mon 6:00 AM - 11:00 PM Tue 6:00 AM - 11:00 PM Wed 6:00 AM - 11:00 PM Thu 6:00 AM - 11:00 PM Fri 6:00 AM - 12:00 AM (Next day) Closed now Sat 6:00 AM - 12:00 AM (Next day) Sun 8:00 AM - 11:00 PM,2.5 star rating,http://www.sonicdrivein.com,Claimed,https://www.yelp.com/adredir?ad_business_id=VlzEoiF4RsDB3hWyUrYSWg&campaign_id=85Y1qVE9aCx7yb3jtbVt2g&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsonic-drive-in-forest&request_id=2906eeba405dbccb&signature=058ab87b4300e564d86b10ca230d4ca8b3cddcccc8dfd68b39fb58d4edc8e41a&slot=1
2,https://s3-media0.fl.yelpcdn.com/bphoto/tHhZbrbfpvl_7OFRWp7ALg/l.jpg,Smokey Mountain Grill & Rib Shack,"3799 Simpson Hwy 49 Mendenhall, MS 39114",(601) 847-0340,12 reviews,Steakhouses,,4.5 star rating,http://www.sonicdrivein.com,Unclaimed,https://www.yelp.com/biz/smokey-mountain-grill-and-rib-shack-mendenhall
3,https://s3-media0.fl.yelpcdn.com/bphoto/ZEMyP52pakgFw2q-_H3-4g/l.jpg,Jason’s Southern Table,"110 N Jackson St Kosciusko, MS 39090",(662) 792-4122,3 reviews,"American (Traditional), Southern, Bars",Mon Closed Tue Closed Wed 4:00 PM - 9:00 PM Thu 4:00 PM - 9:00 PM Fri 4:00 PM - 9:00 PM Closed now Sat 4:00 PM - 9:00 PM Sun Closed,5 star rating,http://www.sonicdrivein.com,Unclaimed,https://www.yelp.com/biz/jason-s-southern-table-kosciusko
4,https://s3-media0.fl.yelpcdn.com/bphoto/_7obByUMeHpRAnjNU4sIVw/l.jpg,Sam's Diner,"5633 Highway 80 Morton, MS 39117",(601) 732-2858,6 reviews,"Breakfast & Brunch, Diners",Mon 6:30 AM - 2:00 PM Tue 6:30 AM - 2:00 PM Wed 6:30 AM - 2:00 PM Thu 6:30 AM - 8:00 PM Fri 6:30 AM - 9:00 PM Closed now Sat 6:30 AM - 9:00 PM Sun Closed,4.5 star rating,http://www.sonicdrivein.com,Unclaimed,https://www.yelp.com/biz/sams-diner-morton
5,https://s3-media0.fl.yelpcdn.com/bphoto/cXEzmpkeSRpiD65QLrlNLA/l.jpg,The Lunch Basket Express,"16814 US Hwy 49 Belzoni, MS 39038",(662) 247-9930,6 reviews,Soul Food,,4.5 star rating,http://www.sonicdrivein.com,Unclaimed,https://www.yelp.com/biz/the-lunch-basket-express-belzoni
6,https://s3-media0.fl.yelpcdn.com/bphoto/ge0FuKA8yHuaknT0JpZqvQ/l.jpg,CrawBillys on the Tracks,"109 1st St Pelahatchie, MS 39145",(601) 316-9801,19 reviews,"Burgers, Seafood, Cajun/Creole",Mon Closed Tue Closed Wed Closed Thu Closed Fri 5:00 PM - 9:00 PM Closed now Sat 11:00 AM - 9:00 PM Sun Closed,4.5 star rating,https://www.crawbillys.com,Claimed,https://www.yelp.com/biz/crawbillys-on-the-tracks-pelahatchie
7,https://s3-media0.fl.yelpcdn.com/bphoto/p97WnnJueIppUy_H0-_7Vw/l.jpg,Allison's,"107 E Jackson St Belzoni, MS 39038",(662) 247-4487,7 reviews,"American (New), Salad",,4 star rating,https://www.crawbillys.com,Unclaimed,https://www.yelp.com/biz/allisons-belzoni
8,https://s3-media0.fl.yelpcdn.com/bphoto/qVhoLdN6ODRfiyJsxRy_BQ/l.jpg,Philly Porterhouse,"103 Walnut St Philadelphia, MS 39350",(601) 389-8074,51 reviews,"Steakhouses, Bars",Mon Closed Tue 5:00 PM - 9:00 PM Wed 5:00 PM - 9:00 PM Thu 5:00 PM - 9:00 PM Fri 5:00 PM - 10:00 PM Closed now Sat 5:00 PM - 10:00 PM Sun Closed,4.5 star rating,http://www.phillyporterhouse.c…,Unclaimed,https://www.yelp.com/biz/philly-porterhouse-philadelphia
9,https://s3-media0.fl.yelpcdn.com/bphoto/Y1LCEiY8xr4HHnKCx24o1Q/l.jpg,H D Gibbes & Sons,"140 Main St Learned, MS 39154",(601) 885-6833,46 reviews,"Steakhouses, Salad, Seafood",Mon Closed Tue Closed Wed Closed Thu 5:00 PM - 8:30 PM Fri 5:00 PM - 9:00 PM Closed now Sat 4:30 PM - 9:00 PM Sun Closed,4.5 star rating,http://www.hdgibbesandsons.com,Claimed,https://www.yelp.com/biz/h-d-gibbes-and-sons-learned
