,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant_url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/PZ4S1jnDbgX96vOMeng7GQ/l.jpg,Casey's,"3024 Classen Blvd Norman, OK 73071",(405) 364-1529,1 review,"Gas Stations, Convenience Stores, Pizza",Mon Open 24 hours Tue Open 24 hours Wed Open 24 hours Thu Open 24 hours Fri Open 24 hours Sat Open 24 hours Open now Sun Open 24 hours,5 star rating,https://www.caseys.com,Claimed,https://www.yelp.com/adredir?ad_business_id=780574o-S_hqoZpiYiWFjw&campaign_id=2CqfMwGUr92at4gyBEdkOQ&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcaseys-norman-2&request_id=07113b1d4b7214d3&signature=68b793f428e32491affda351c71006228fdd2c01dcdd9ee75c759f55995f963b&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/OwyN5HxuZKfn2hE7DppiIw/l.jpg,Sonic Drive-In,"802 East Broadway St Lexington, OK 73051",(405) 527-3619,2 reviews,"Fast Food, Burgers, Ice Cream & Frozen Yogurt",Mon 7:00 AM - 10:00 PM Tue 7:00 AM - 10:00 PM Wed 7:00 AM - 10:00 PM Thu 7:00 AM - 10:00 PM Fri 7:00 AM - 10:00 PM Sat 7:00 AM - 10:00 PM Open now Sun 9:00 AM - 10:00 PM,1 star rating,http://www.sonicdrivein.com,Claimed,https://www.yelp.com/adredir?ad_business_id=EpYuWy7dx-2AzM4Pm2AwDQ&campaign_id=T8hmYpJrT0VrphHrgEej6g&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsonic-drive-in-lexington-18&request_id=07113b1d4b7214d3&signature=b275f7f4f1c325a95f189bbac3d4b1dc23393c3b9fc355e8c9c83141ae648556&slot=1
2,https://s3-media0.fl.yelpcdn.com/bphoto/pVg1bIlUrd13ng5vXtwL2Q/l.jpg,Lucille's Roadhouse,"2020 Lexington Ave Clinton, OK 73601",(580) 275-2800,10 reviews,"Coffee & Tea, American (Traditional), Sandwiches",Mon 11:00 AM - 9:00 PM Tue 11:00 AM - 9:00 PM Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 9:00 PM Sat 11:00 AM - 9:00 PM Open now Sun 11:00 AM - 9:00 PM,4 star rating,http://www.sonicdrivein.com,Claimed,https://www.yelp.com/biz/lucilles-roadhouse-clinton
3,https://s3-media0.fl.yelpcdn.com/bphoto/lE-8vQLra6bR3ApSqNue_Q/l.jpg,Corn Cafe,"207 W Main St Corn, OK 73024",(580) 343-2883,9 reviews,Comfort Food,Mon Closed Tue Closed Wed Closed Thu 6:00 AM - 2:00 PM 4:30 PM - 8:00 PM Fri 6:00 AM - 2:00 PM 4:30 PM - 8:00 PM Sat 6:00 AM - 2:00 PM 4:30 PM - 8:00 PM Closed now Sun 11:00 AM - 2:00 PM,5 star rating,http://www.sonicdrivein.com,Claimed,https://www.yelp.com/biz/corn-cafe-corn-2
4,https://s3-media0.fl.yelpcdn.com/bphoto/t-mMfLbayk5fNBfXP8safQ/l.jpg,Old West Bar & Grill,"9201 Ok-17 Elgin, OK 73538",(580) 492-1400,4 reviews,"Bars, American (Traditional), Chicken Wings",Mon Closed Tue 8:00 AM - 9:00 PM Wed 8:00 AM - 9:00 PM Thu 8:00 AM - 9:00 PM Fri 8:00 AM - 11:00 PM Sat 8:00 AM - 11:00 PM Open now Sun 8:00 AM - 2:00 PM,5 star rating,https://oldwestbarandgrill.com,Unclaimed,https://www.yelp.com/biz/old-west-bar-and-grill-elgin-2
5,https://s3-media0.fl.yelpcdn.com/bphoto/KGDfANEP2Di3Kgaw4RWM0w/l.jpg,Frisco Creek Barbeque,"1020 S Main Hobart, OK 73651",(580) 726-2025,16 reviews,"Barbeque, American (Traditional)",Mon Closed Tue 11:00 AM - 8:00 PM Wed 11:00 AM - 8:00 PM Thu 11:00 AM - 8:00 PM Fri 11:00 AM - 8:00 PM Sat Closed Closed now Sun Closed,4.5 star rating,https://oldwestbarandgrill.com,Claimed,https://www.yelp.com/biz/frisco-creek-barbeque-hobart-2
6,https://s3-media0.fl.yelpcdn.com/bphoto/BYCTDqNWiozXcpP3PI6uiw/l.jpg,Soda Fountain Eatery,"108 W Broadway St Anadarko, OK 73005",(405) 247-3800,29 reviews,"Sandwiches, Salad",Mon Closed Tue 11:00 AM - 2:00 PM Wed 11:00 AM - 2:00 PM Thu 11:00 AM - 2:00 PM Fri 11:00 AM - 2:00 PM Sat Closed Closed now Sun Closed,4.5 star rating,https://oldwestbarandgrill.com,Unclaimed,https://www.yelp.com/biz/soda-fountain-eatery-anadarko-2
7,https://s3-media0.fl.yelpcdn.com/bphoto/TcCx7IwSJuYrHkho6VbAfQ/l.jpg,Mi Pueblo,"108 W Broadway St Anadarko, OK 73005",,7 reviews,Mexican,Mon Closed Tue 11:00 AM - 8:00 PM Wed 11:00 AM - 8:00 PM Thu 11:00 AM - 8:00 PM Fri 11:00 AM - 8:00 PM Sat 11:00 AM - 8:00 PM Open now Sun 11:00 AM - 2:00 PM,4.5 star rating,https://oldwestbarandgrill.com,Unclaimed,https://www.yelp.com/biz/mi-pueblo-hobart
8,https://s3-media0.fl.yelpcdn.com/bphoto/v7hvWknK5U-2aS0FYl5nOQ/l.jpg,J & W Grill,"501 W Choctaw Ave Chickasha, OK 73018",(405) 224-9912,81 reviews,"Bars, American (Traditional), Breakfast & Brunch",Mon 6:00 AM - 2:00 PM Tue 6:00 AM - 2:00 PM Wed 6:00 AM - 2:00 PM Thu 6:00 AM - 8:00 PM Fri 6:00 AM - 8:00 PM Sat 6:00 AM - 8:00 PM Open now Sun Closed,4.5 star rating,https://oldwestbarandgrill.com,Unclaimed,https://www.yelp.com/biz/j-and-w-grill-chickasha
9,https://s3-media0.fl.yelpcdn.com/bphoto/hnXEeyWwvIvUtSGjjUNmRQ/l.jpg,White Dog Hill Restaurant,"22901 North Route 66 Clinton, OK 73601",(580) 323-6922,63 reviews,American (New),Mon Closed Tue Closed Wed 5:30 PM - 9:00 PM Thu 5:30 PM - 9:00 PM Fri 5:30 PM - 9:00 PM Sat 5:30 PM - 9:00 PM Closed now Sun Closed,4.5 star rating,https://oldwestbarandgrill.com,Unclaimed,https://www.yelp.com/biz/white-dog-hill-restaurant-clinton
