,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant_url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/jqZx1asXQ6MEgLawWafG-g/l.jpg,Schlotzsky's,"62080 NE 27th St Bend, OR 97701",(541) 241-2821,56 reviews,"Delis, Sandwiches, Caterers",Mon 9:00 AM - 9:00 PM Tue 9:00 AM - 9:00 PM Wed 9:00 AM - 9:00 PM Thu 9:00 AM - 9:00 PM Fri 9:00 AM - 9:00 PM Sat 9:00 AM - 9:00 PM Closed now Sun 9:00 AM - 9:00 PM,3 star rating,https://www.schlotzskys.com,Claimed,https://www.yelp.com/adredir?ad_business_id=ps1muhWDRZL1Zu1OfQY5cA&campaign_id=iBYM61qkCbi9No5lbNJ4jw&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fschlotzskys-bend&request_id=21d3882366d55c0b&signature=936966d8086111e7fcffb08cf5a4841e0266a1c1002bc57fb969fea858f3a421&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/9zTlGetOpYIglhYHIaBrPg/l.jpg,Club Pioneer,"1851 NE 3rd St Prineville, OR 97754",(541) 447-6177,155 reviews,"Seafood, Steakhouses, Bars",Mon 11:00 AM - 9:30 PM Tue 11:00 AM - 9:30 PM Wed 11:00 AM - 9:30 PM Thu 11:00 AM - 9:30 PM Fri 11:00 AM - 9:30 PM Sat 4:00 PM - 9:30 PM Closed now Sun Closed,4 star rating,http://clubpioneer.com/,Claimed,https://www.yelp.com/biz/club-pioneer-prineville
2,https://s3-media0.fl.yelpcdn.com/bphoto/lDUX0OWZj6why5tZJCzIyg/l.jpg,Tiger Town Brewing Company,"108 Main St Mitchell, OR 97750",(541) 462-3663,104 reviews,"Chicken Wings, Breweries, Burgers",Mon 11:00 AM - 9:00 PM Tue 11:00 AM - 9:00 PM Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 10:00 PM Sat 11:00 AM - 10:00 PM Closed now Sun 11:00 AM - 9:00 PM,4.5 star rating,http://www.tigertownbrewing.co…,Claimed,https://www.yelp.com/biz/tiger-town-brewing-company-mitchell-2
3,https://s3-media0.fl.yelpcdn.com/bphoto/pSZ_MBDA1zJlS3dtuSgEnw/l.jpg,Hampton Station Cafe,"41700 E Hwy 20 Brothers, OR 97712",(541) 576-4951,19 reviews,"Burgers, Diners",Mon Closed Tue 9:00 AM - 5:00 PM Wed 9:00 AM - 5:00 PM Thu 9:00 AM - 5:00 PM Fri 9:00 AM - 5:00 PM Sat 9:00 AM - 5:00 PM Closed now Sun 9:00 AM - 2:00 PM,4.5 star rating,http://www.tigertownbrewing.co…,Unclaimed,https://www.yelp.com/biz/hampton-station-cafe-brothers
4,https://s3-media0.fl.yelpcdn.com/bphoto/sQ7xGnIjwAsuaNYVRhhPEw/l.jpg,Dillon's Grill,"142 NE 5th St Prineville, OR 97754",(541) 447-3203,113 reviews,"American (Traditional), Barbeque, Burgers",Mon Closed Tue 11:00 AM - 9:00 PM Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 9:00 PM Sat 11:00 AM - 9:00 PM Closed now Sun 11:00 AM - 4:00 PM,4 star rating,http://www.dillonsgrill.com,Claimed,https://www.yelp.com/biz/dillons-grill-prineville
5,https://s3-media0.fl.yelpcdn.com/bphoto/0PYI8EGYxy6a3xBpPffcMw/l.jpg,Ron's Comfort Food Cafe,"300 SW Meadow Lakes Dr Prineville, OR 97754",(541) 447-7640,6 reviews,"Barbeque, Breakfast & Brunch, Burgers",Mon 7:00 AM - 7:00 PM Tue 7:00 AM - 7:00 PM Wed 7:00 AM - 7:00 PM Thu 7:00 AM - 7:00 PM Fri 7:00 AM - 7:00 PM Sat 7:00 AM - 7:00 PM Open now Sun 7:00 AM - 7:00 PM,5 star rating,https://rons-comfort-food-cafe…,Unclaimed,https://www.yelp.com/biz/rons-comfort-food-cafe-prineville
6,https://s3-media0.fl.yelpcdn.com/bphoto/6_baEyYXD0Mz-xtSpQxI-A/l.jpg,Debbie Sue's Cafe,"1555 NE 3rd St Prineville, OR 97754",(541) 447-4211,31 reviews,"American (Traditional), Breakfast & Brunch",,4.5 star rating,https://rons-comfort-food-cafe…,Unclaimed,https://www.yelp.com/biz/debbie-sues-cafe-prineville
7,https://s3-media0.fl.yelpcdn.com/bphoto/nPQE-qVd-pTO6LUB6f8-Mw/l.jpg,Route 26 Espresso,"601 W Hwy 26 Mitchell, OR 97750",(541) 462-3026,10 reviews,"Coffee & Tea, Breakfast & Brunch, Juice Bars & Smoothies",Mon 6:30 AM - 3:00 PM Tue Closed Wed 6:30 AM - 3:00 PM Thu 6:30 AM - 3:00 PM Fri 6:30 AM - 3:00 PM Sat 7:00 AM - 3:00 PM Open now Sun 7:00 AM - 3:00 PM,4.5 star rating,https://rons-comfort-food-cafe…,Unclaimed,https://www.yelp.com/biz/route-26-espresso-mitchell-2
8,https://s3-media0.fl.yelpcdn.com/bphoto/AagXtvWLrAWL_IKJUWdgIw/l.jpg,Bridge creek café,"218 Hwy 26 Mitchell, OR 97750",(541) 777-7132,6 reviews,American (New),Mon 9:00 AM - 4:00 PM Tue Closed Wed Closed Thu Closed Fri 9:00 AM - 4:00 PM Sat 9:00 AM - 4:00 PM Closed now Sun 9:00 AM - 4:00 PM,4 star rating,https://rons-comfort-food-cafe…,Claimed,https://www.yelp.com/biz/bridge-creek-caf%C3%A9-mitchell-3
9,https://s3-media0.fl.yelpcdn.com/bphoto/bkjapVbcVkh7WlkE-4otAQ/l.jpg,Spork,"937 NW Newport Ave Ste 120 Bend, OR 97701",(541) 390-0946,1675 reviews,"Mexican, Asian Fusion, Soul Food",Mon Closed Tue 11:00 AM - 9:00 PM Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 9:00 PM Sat 11:00 AM - 9:00 PM Closed now Sun Closed,4.5 star rating,http://www.sporkbend.com,Claimed,https://www.yelp.com/biz/spork-bend-2
