,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant_url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/6T1j8ndTkp_VSGMvyTwNpg/l.jpg,Green Hill Kitchen & Que,"48 Front St Greenport, NY 11944",(631) 477-4900,91 reviews,"American (New), Barbeque, Music Venues",Mon 12:00 PM - 9:00 PM Tue 12:00 PM - 9:00 PM Wed 12:00 PM - 9:00 PM Thu 12:00 PM - 9:00 PM Fri 12:00 PM - 10:00 PM Open now Sat 10:00 AM - 11:00 PM Sun 10:00 AM - 9:00 PM,3.5 star rating,https://www.greenhillny.com,Claimed,https://www.yelp.com/adredir?ad_business_id=NLock9lH3duICTt1S9prJQ&campaign_id=Sq4WUtIr6V0eRDbA_38kMw&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgreen-hill-kitchen-and-que-greenport&request_id=a4db71a07e2ede2d&signature=f0adae23c2ca2cbd98659aa6fe3eef4968658a60b0fb5c46a202abaeb190db15&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/Go5IutTPqS7m8tKgEf6xGQ/l.jpg,Miss Cranston Diner II and Grill,"45 Quaker Ln West Warwick, RI 02893",(401) 615-1618,44 reviews,"Breakfast & Brunch, Diners, Sandwiches",Mon 6:30 AM - 2:30 PM Tue 6:30 AM - 2:30 PM Wed 6:30 AM - 2:30 PM Thu 6:30 AM - 9:00 PM Fri 6:30 AM - 9:00 PM Open now Sat 7:00 AM - 9:00 PM Sun 7:00 AM - 2:30 PM,3 star rating,https://www.misscranstondiner2…,Claimed,https://www.yelp.com/adredir?ad_business_id=zdMbaL2tjrG8grIXPyKZMA&campaign_id=dod6zcYc5nfIjsn7zwWpqA&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmiss-cranston-diner-ii-and-grill-west-warwick-5&request_id=a4db71a07e2ede2d&signature=85a0748acd422d4ad8bff5b4f4bb52d3ac08327e9642c10ddf090f538d706903&slot=1
2,https://s3-media0.fl.yelpcdn.com/bphoto/ySf7Hq15x2dUPKNSXCp1dA/l.jpg,Back 40,"20 S County Trl North Kingstown, RI 02852",(401) 667-4869,333 reviews,"Comfort Food, American (Traditional), Breakfast & Brunch",Mon 8:00 AM - 11:00 PM Tue 8:00 AM - 11:00 PM Wed 8:00 AM - 11:00 PM Thu 8:00 AM - 11:00 PM Fri 8:00 AM - 1:00 AM (Next day) Open now Sat 10:00 AM - 1:00 AM (Next day) Sun 10:00 AM - 11:00 PM,3.5 star rating,http://www.back40ri.com,Claimed,https://www.yelp.com/biz/back-40-north-kingstown
3,https://s3-media0.fl.yelpcdn.com/bphoto/jO6gum0yQGW8wokAAwS9DQ/l.jpg,Celestial Cafe,Verified by Business,(401) 295-5559,199 reviews,"American (New), Cocktail Bars, Venues & Event Spaces",Mon Closed Tue Closed Wed Closed Thu 12:00 PM - 9:00 PM Fri 12:00 PM - 9:00 PM Open now Sat 12:00 PM - 9:00 PM Sun 10:00 AM - 1:00 PM 4:00 PM - 7:30 PM,4 star rating,http://celestialcaferi.com,Claimed,https://www.yelp.com/biz/celestial-cafe-exeter
4,https://s3-media0.fl.yelpcdn.com/bphoto/LmsOjWP8MU7DV0GBZaqEjA/l.jpg,The Coastal Cabin,"945 Boston Neck Rd Narragansett, RI 02882",(401) 789-1725,42 reviews,"Comfort Food, Cocktail Bars, Seafood",Mon Closed Tue 4:00 PM - 9:30 PM Wed 4:00 PM - 9:30 PM Thu 4:00 PM - 9:30 PM Fri 4:00 PM - 9:30 PM Open now Sat 10:00 AM - 9:30 PM Sun 10:00 AM - 9:30 PM,4 star rating,https://www.coastalcabinri.com,Claimed,https://www.yelp.com/biz/the-coastal-cabin-narragansett
5,https://s3-media0.fl.yelpcdn.com/bphoto/W-RidKP-PHI0DR-rlBuPfA/l.jpg,Wickford on the Water,"85 Brown St North Kingstown, RI 02852",(401) 294-7900,198 reviews,"Seafood, Breakfast & Brunch, Sandwiches",Mon 11:00 AM - 8:00 PM Tue 11:00 AM - 8:00 PM Wed 11:00 AM - 8:00 PM Thu 11:00 AM - 8:00 PM Fri 11:00 AM - 9:00 PM Open now Sat 8:00 AM - 9:00 PM Sun 8:00 AM - 8:00 PM,4 star rating,https://www.wickfordonthewater…,Claimed,https://www.yelp.com/biz/wickford-on-the-water-north-kingstown-4
6,https://s3-media0.fl.yelpcdn.com/bphoto/0wCKHrQaOGBTLczmnzMp0Q/l.jpg,Plum Pt Bistro,"1814 Boston Neck Rd North Kingstown, RI 02874",(401) 667-4999,224 reviews,Italian,Mon Closed Tue 4:00 PM - 9:00 PM Wed 4:00 PM - 9:00 PM Thu 4:00 PM - 10:00 PM Fri 4:00 PM - 10:00 PM Open now Sat 4:00 PM - 10:00 PM Sun Closed,4 star rating,http://www.plumri.com,Unclaimed,https://www.yelp.com/biz/plum-pt-bistro-north-kingstown-2
7,https://s3-media0.fl.yelpcdn.com/bphoto/UhIgrDtneZhOTs5NFQkLRw/l.jpg,Frankie's Restaurant & Pizzeria,"1051 Ten Rod Rd North Kingstown, RI 02852",(401) 295-2500,95 reviews,"Italian, Bars, Pizza",Mon Closed Tue 12:00 PM - 8:00 PM Wed 12:00 PM - 8:00 PM Thu 12:00 PM - 8:00 PM Fri 12:00 PM - 9:00 PM Open now Sat 12:00 PM - 9:00 PM Sun 12:00 PM - 8:00 PM,4 star rating,http://www.frankiesri.com,Claimed,https://www.yelp.com/biz/frankies-restaurant-and-pizzeria-north-kingstown
8,https://s3-media0.fl.yelpcdn.com/bphoto/td5ad3PQU_VfymdqJtHa_w/l.jpg,The Provisioner New York Deli & Cafe,"7669 Post Rd North Kingstown, RI 02852",(401) 667-0663,194 reviews,"Bars, American (Traditional), Delis",Mon 11:00 AM - 6:00 PM Tue 11:00 AM - 6:00 PM Wed 11:00 AM - 8:00 PM Thu 11:00 AM - 8:00 PM Fri 11:00 AM - 8:00 PM Open now Sat 11:00 AM - 8:00 PM Sun Closed,4.5 star rating,http://www.provisionerdeli.com,Claimed,https://www.yelp.com/biz/the-provisioner-new-york-deli-and-cafe-north-kingstown
9,https://s3-media0.fl.yelpcdn.com/bphoto/F63qFPeseRPDl-efW_djBQ/l.jpg,Locanda,"3009 Tower Hill Rd Saunderstown, RI 02874",(401) 661-9380,47 reviews,Italian,Mon Closed Tue 4:00 PM - 9:00 PM Wed 4:00 PM - 9:00 PM Thu 4:00 PM - 9:00 PM Fri 4:00 PM - 10:00 PM Open now Sat 4:00 PM - 10:00 PM Sun 4:00 PM - 9:00 PM,4 star rating,https://www.locandari.com,Claimed,https://www.yelp.com/biz/locanda-saunderstown
