,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant_url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/igd7irM0Rzn8ncnMuxGVVQ/l.jpg,Cullins Yard,11 Cambridge Road Dover CT17 9BY United Kingdom,01304 211666,14 reviews,"Seafood, Burgers",Mon 10:00 AM - 11:00 PM Tue 10:00 AM - 11:00 PM Closed now Wed 10:00 AM - 11:00 PM Thu 10:00 AM - 11:00 PM Fri 10:00 AM - 12:00 AM (Next day) Sat 10:00 AM - 12:00 AM (Next day) Sun 10:00 AM - 11:00 PM,4.5 star rating,http://www.cullinsyard.co.uk,Claimed,https://www.yelp.com/biz/cullins-yard-dover
1,https://s3-media0.fl.yelpcdn.com/bphoto/_EJ14J6Qtm95V31P1g88nA/l.jpg,The White Horse,St James Street Dover CT16 1QF United Kingdom,01304 213066,12 reviews,"Pubs, British",Mon 12:00 PM - 11:00 PM Tue 12:00 PM - 11:00 PM Closed now Wed 12:00 PM - 11:00 PM Thu 12:00 PM - 11:00 PM Fri 12:00 PM - 11:00 PM Sat 12:00 PM - 11:00 PM Sun 12:00 PM - 11:00 PM,5 star rating,http://www.cullinsyard.co.uk,Unclaimed,https://www.yelp.com/biz/the-white-horse-dover
2,https://s3-media0.fl.yelpcdn.com/bphoto/tzh8a1qTqNEKEu2Coy-iAA/l.jpg,La Scala,19 High Street Dover CT16 1DP United Kingdom,01304 208044,12 reviews,Italian,,4.5 star rating,http://www.cullinsyard.co.uk,Unclaimed,https://www.yelp.com/biz/la-scala-dover
3,https://s3-media0.fl.yelpcdn.com/bphoto/aiNtpMp2dBBXnTOF9lglzA/l.jpg,Chaplins,1-2 Church Street Dover CT16 1LY United Kingdom,01304 204870,7 reviews,British,,4 star rating,http://www.cullinsyard.co.uk,Unclaimed,https://www.yelp.com/biz/chaplins-dover
4,https://s3-media0.fl.yelpcdn.com/bphoto/rE6ymtM6Pe_ZNCGB-xIb7Q/l.jpg,Il Rustico,4 Bench St Dover CT16 1JH United Kingdom,01304 211110,9 reviews,Italian,,4 star rating,http://www.ilrusticorestaurant…,Unclaimed,https://www.yelp.com/biz/il-rustico-dover
5,https://s3-media0.fl.yelpcdn.com/bphoto/rE6ymtM6Pe_ZNCGB-xIb7Q/l.jpg,New Moonflower,32-34 High Street Dover CT16 1EA United Kingdom,01304 212198,1 review,Chinese,,5 star rating,http://www.ilrusticorestaurant…,Unclaimed,https://www.yelp.com/biz/new-moonflower-dover
6,https://s3-media0.fl.yelpcdn.com/bphoto/0BpFYxTX8-EJpQ7bpS42AQ/l.jpg,The Happy Chef,131-132 Snargate Street Dover CT17 9DA United Kingdom,01304 448259,4 reviews,"British, Breakfast & Brunch",Mon 6:00 AM - 3:00 PM Tue 6:00 AM - 3:00 PM Closed now Wed 6:00 AM - 3:00 PM Thu 6:00 AM - 3:00 PM Fri 6:00 AM - 3:00 PM Sat 6:00 AM - 3:00 PM Sun 6:00 AM - 3:00 PM,4.5 star rating,http://www.ilrusticorestaurant…,Claimed,https://www.yelp.com/biz/the-happy-chef-dover
7,https://s3-media0.fl.yelpcdn.com/bphoto/Tsb-x26gzTbspMUj4zCIsw/l.jpg,The Allotment,9 High St Dover CT16 1 United Kingdom,01304 214467,9 reviews,French,,4 star rating,http://www.theallotmentdover.c…,Unclaimed,https://www.yelp.com/biz/the-allotment-dover
8,https://s3-media0.fl.yelpcdn.com/bphoto/sHQL0i56eauoXD5Oo-9ENA/l.jpg,Dovorian Restaurant,1-3 Priory Place Dover CT17 9AB United Kingdom,01304 204505,4 reviews,Restaurants,,3.5 star rating,http://www.theallotmentdover.c…,Unclaimed,https://www.yelp.com/biz/dovorian-restaurant-dover
9,https://s3-media0.fl.yelpcdn.com/bphoto/MmKlWSu6totIRkJ49cePaw/l.jpg,Good Luck Chinese Restaurant,67-69 High Street Dover CT16 1EB United Kingdom,01304 204419,1 review,Chinese,,5 star rating,http://goodluckchineserestaura…,Unclaimed,https://www.yelp.com/biz/good-luck-chinese-restaurant-dover
10,https://s3-media0.fl.yelpcdn.com/bphoto/ukZ9bpaxHgFfy7u0ryfyZw/l.jpg,Hythe Bay Seafood,The Esplanade Dover CT17 United Kingdom,01304 207740,9 reviews,Seafood,,3.5 star rating,http://www.hythebay.co.uk,Unclaimed,https://www.yelp.com/biz/hythe-bay-seafood-dover
11,https://s3-media0.fl.yelpcdn.com/bphoto/wOdQiOsvnrGd0XLnElzqfg/l.jpg,Buffer's Coffee Shop & Snack Bar,The Esplanade Dover CT17 United Kingdom,Closed,1 review,"Coffee & Tea, Breakfast & Brunch, Sandwiches",Mon 6:00 AM - 2:30 PM Tue 6:00 AM - 2:30 PM Closed now Wed 6:00 AM - 2:30 PM Thu 6:00 AM - 2:30 PM Fri 6:00 AM - 2:30 PM Sat 7:00 AM - 2:00 PM Sun Closed,4 star rating,http://www.hythebay.co.uk,Unclaimed,https://www.yelp.com/biz/buffers-coffee-shop-and-snack-bar-dover
12,https://s3-media0.fl.yelpcdn.com/bphoto/imqqi74J1PoYZ08YJhCC4g/l.jpg,Cinnamon Island,1 Cambridge Terrace Dover CT16 1JT United Kingdom,Closed,5 reviews,Indian,,4.5 star rating,http://www.hythebay.co.uk,Unclaimed,https://www.yelp.com/biz/cinnamon-island-dover
13,https://s3-media0.fl.yelpcdn.com/bphoto/GslePuqRBdfS57czTOys2Q/l.jpg,Marine Court,1 Cambridge Terrace Dover CT16 1JT United Kingdom,Closed,2 reviews,Restaurants,,4 star rating,http://www.hythebay.co.uk,Unclaimed,https://www.yelp.com/biz/marine-court-dover-2
14,https://s3-media0.fl.yelpcdn.com/bphoto/vXZyi_KJFDZPY-3xOJa3uw/l.jpg,Dickens Corner,7 Market Square Dover CT16 1LZ United Kingdom,01304 206692,3 reviews,"Coffee & Tea, Cafes, Breakfast & Brunch",,4 star rating,http://www.hythebay.co.uk,Unclaimed,https://www.yelp.com/biz/dickens-corner-dover
15,https://s3-media0.fl.yelpcdn.com/bphoto/e0tDwheeEtETUJIa9jmkcg/l.jpg,Dino's Restaurant,58 Castle Street Dover CT16 1PJ United Kingdom,01304 204678,3 reviews,Italian,,4.5 star rating,http://www.hythebay.co.uk,Claimed,https://www.yelp.com/biz/dinos-restaurant-dover
16,https://s3-media0.fl.yelpcdn.com/bphoto/0fb9f_tSeA3qqUHMcWAk-A/l.jpg,Blakes Accommodation,52 Castle Street Dover CT16 1PJ United Kingdom,01304 211263,8 reviews,"Guest Houses, British",,4.5 star rating,http://www.blakes-of-dover.act…,Unclaimed,https://www.yelp.com/biz/blakes-accommodation-dover
17,https://s3-media0.fl.yelpcdn.com/bphoto/W1uDfAAQoAFUDXZy7PXxag/l.jpg,The Beano Cafe Dover,Suite 9 11 Worthington Street Dover CT17 9AF United Kingdom,8:00 AM - 5:00 PM,1 review,British,Mon 8:00 AM - 5:00 PM Tue 8:00 AM - 5:00 PM Closed now Wed 8:00 AM - 5:00 PM Thu 8:00 AM - 5:00 PM Fri 8:00 AM - 5:00 PM Sat 8:00 AM - 5:00 PM Sun 8:00 AM - 5:00 PM,4 star rating,http://www.blakes-of-dover.act…,Unclaimed,https://www.yelp.com/biz/the-beano-cafe-dover-dover
18,https://s3-media0.fl.yelpcdn.com/bphoto/W1uDfAAQoAFUDXZy7PXxag/l.jpg,Dolphin Fish Bar,45 High Street Dover CT16 1EB United Kingdom,01304 212623,1 review,Fast Food,,5 star rating,http://www.blakes-of-dover.act…,Unclaimed,https://www.yelp.com/biz/dolphin-fish-bar-dover
19,https://s3-media0.fl.yelpcdn.com/bphoto/lNHZqO8pJDsFztfXb9FR6g/l.jpg,Waterfront Cafe,Dover Marina Hotel & Spa Dover Waterfront Waterloo Crescent Dover CT17 9BP United Kingdom,01304 203633,3 reviews,"Cafes, Bars, British",Mon 7:00 AM - 6:00 PM Tue 7:00 AM - 6:00 PM Closed now Wed 7:00 AM - 6:00 PM Thu 7:00 AM - 6:00 PM Fri 7:00 AM - 6:00 PM Sat 7:00 AM - 6:00 PM Sun 7:00 AM - 6:00 PM,3.5 star rating,http://www.dovermarinahotel.co…,Unclaimed,https://www.yelp.com/biz/waterfront-cafe-dover
