,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant_url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/l4Jqerwt8GLA3QHbLsl9aw/l.jpg,M Town Wing,"170 Main St Ste 1 Middletown, CT 06457",(860) 852-6990,3 reviews,"Chicken Wings, Burgers, Fish & Chips",Mon 11:00 AM - 10:00 PM Tue Closed Closed now Wed 11:00 AM - 10:00 PM Thu 11:00 AM - 10:00 PM Fri 11:00 AM - 11:00 PM Sat 11:00 AM - 11:00 PM Sun 11:00 AM - 10:00 PM,3.5 star rating,https://www.mtownwing.com,Claimed,https://www.yelp.com/adredir?ad_business_id=sxUFgEzfE78bIwS7eQEUeA&campaign_id=tM4UT6tGRY9H-8e_yCgpgw&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fm-town-wing-middletown&request_id=c6360d1012ed6141&signature=46289689e715b71b57308362d9ba88e2b79c960e9e0c3432b94586f779c6cdbc&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/NwcA67tflbiX4-E6Zi9aiQ/l.jpg,Fleming’s Prime Steakhouse & Wine Bar,"44 S Main St West Hartford, CT 06107",(860) 676-9463,319 reviews,"Steakhouses, Wine Bars, Seafood",Mon 4:00 PM - 10:00 PM Tue 4:00 PM - 10:00 PM Open now Wed 4:00 PM - 10:00 PM Thu 4:00 PM - 10:00 PM Fri 4:00 PM - 10:00 PM Sat 4:00 PM - 10:00 PM Sun 4:00 PM - 9:00 PM,4 star rating,https://www.flemingssteakhouse…,Claimed,https://www.yelp.com/adredir?ad_business_id=DzRKuOf3afuSJJ-94vBU-g&campaign_id=Q-AETc1Xt66xOsteoyPkkA&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ffleming-s-prime-steakhouse-and-wine-bar-west-hartford-2&request_id=c6360d1012ed6141&signature=f85052b99ec70725f6f75ac707e3a18eaa61bf0f77a377e09c39424cb7b94f0e&slot=1
2,https://s3-media0.fl.yelpcdn.com/bphoto/__nRTK9bCPJi8m0udjyWbQ/l.jpg,Salute,"100 Trumbull St Hartford, CT 06103",(860) 899-1350,1293 reviews,"Italian, Sandwiches",Mon 11:30 AM - 9:30 PM Tue 11:30 AM - 9:30 PM Open now Wed 11:30 AM - 9:30 PM Thu 11:30 AM - 9:30 PM Fri 11:30 AM - 10:00 PM Sat 12:00 PM - 10:00 PM Sun 3:00 PM - 9:00 PM,4.5 star rating,https://salutehartford.com,Claimed,https://www.yelp.com/biz/salute-hartford
3,https://s3-media0.fl.yelpcdn.com/bphoto/7sLLRNNOLkCsG08Z84AGlw/l.jpg,Trumbull Kitchen,"150 Trumbull St Hartford, CT 06103",(860) 493-7412,715 reviews,American (New),Mon Closed Tue 11:30 AM - 10:00 PM Open now Wed 11:30 AM - 10:00 PM Thu 11:30 AM - 11:00 PM Fri 11:30 AM - 11:00 PM Sat 12:00 PM - 11:00 PM Sun Closed,4 star rating,https://www.trumbullkitchen.co…,Claimed,https://www.yelp.com/biz/trumbull-kitchen-hartford
4,https://s3-media0.fl.yelpcdn.com/bphoto/sv0Jdla_7flwvdxZI8BkqA/l.jpg,Four Dads Pub,"114 Asylum St Hartford, CT 06103",(860) 969-6128,15 reviews,"Pubs, American (New)",,4.5 star rating,https://fourdadspub.com,Unclaimed,https://www.yelp.com/biz/four-dads-pub-hartford
5,https://s3-media0.fl.yelpcdn.com/bphoto/7h2L6L8F0awTjbfAFhuIkQ/l.jpg,Bear's Smokehouse Barbecue,"25 Front St Hartford, CT 06103",(860) 785-8772,1477 reviews,"Barbeque, Comfort Food, American (Traditional)",Mon 11:00 AM - 9:00 PM Tue 11:00 AM - 9:00 PM Open now Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 10:00 PM Fri 11:00 AM - 10:00 PM Sat 11:00 AM - 10:00 PM Sun 11:00 AM - 9:00 PM,4 star rating,http://www.bearsbbq.com/,Claimed,https://www.yelp.com/biz/bears-smokehouse-barbecue-hartford-5
6,https://s3-media0.fl.yelpcdn.com/bphoto/poDLpMduxfZ9slI1f3xp1w/l.jpg,Feng Chophouse,"93 Asylum St Hartford, CT 06103",(860) 549-3364,132 reviews,"Sushi Bars, Steakhouses, Bars",Mon Closed Tue 4:00 PM - 10:00 PM Open now Wed 4:00 PM - 10:00 PM Thu 4:00 PM - 10:00 PM Fri 4:00 PM - 10:00 PM Sat 5:00 PM - 10:00 PM Sun Closed,4.5 star rating,https://www.fengchophouse.com,Claimed,https://www.yelp.com/biz/feng-chophouse-hartford-5
7,https://s3-media0.fl.yelpcdn.com/bphoto/v_zViLC_ZAZxR5Tbb6Zk6Q/l.jpg,El Pollo Guapo,"26 Front St Hartford, CT 06103",(860) 246-2800,150 reviews,"Chicken Shop, Tacos, Tapas/Small Plates",Mon 11:00 AM - 8:00 PM Tue 11:00 AM - 8:00 PM Open now Wed 11:00 AM - 8:00 PM Thu 11:00 AM - 8:00 PM Fri 11:00 AM - 8:00 PM Sat Closed Sun Closed,4.5 star rating,https://www.elpolloguapo.com,Claimed,https://www.yelp.com/biz/el-pollo-guapo-hartford-3
9,https://s3-media0.fl.yelpcdn.com/bphoto/yYx5ortEofRmnTDvAZ7zzA/l.jpg,Republic at the Linden,"10 Capitol Ave Hartford, CT 06106",(860) 310-3269,266 reviews,"American (New), Gastropubs, Burgers",Mon Closed Tue Closed Closed now Wed 4:00 PM - 10:00 PM Thu 4:00 PM - 10:00 PM Fri 4:00 PM - 10:00 PM Sat 4:00 PM - 10:00 PM Sun 11:30 AM - 4:00 PM,4 star rating,http://www.republicct.com,Claimed,https://www.yelp.com/biz/republic-at-the-linden-hartford-2
10,https://s3-media0.fl.yelpcdn.com/bphoto/vICRMWhgst2MzTnIIDzbvA/l.jpg,River: A Waterfront Restaurant & Bar,"100 Great Meadow Rd Wethersfield, CT 06109",(860) 257-3344,513 reviews,"Steakhouses, Seafood, Bars",Mon 11:30 AM - 2:45 PM 3:00 PM - 9:00 PM Tue 11:30 AM - 2:45 PM 3:00 PM - 9:00 PM Open now Wed 11:30 AM - 2:45 PM 3:00 PM - 9:00 PM Thu 11:30 AM - 2:45 PM 3:00 PM - 9:00 PM Fri 11:30 AM - 2:45 PM 3:00 PM - 9:00 PM Sat 10:00 AM - 2:30 PM 3:30 PM - 10:00 PM Sun 10:00 AM - 2:30 PM 3:30 PM - 8:30 PM,3.5 star rating,http://riverontheriver.com,Claimed,https://www.yelp.com/biz/river-a-waterfront-restaurant-and-bar-wethersfield-2
