,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant_url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/IGvoS_vv2Z1zXuBifpAP3A/l.jpg,KFC,"1124 Mccully St Honolulu, HI 96826",(808) 941-7411,113 reviews,"Fast Food, Chicken Wings, Chicken Shop",Mon 10:30 AM - 10:00 PM Tue 10:30 AM - 10:00 PM Open now Wed 10:30 AM - 10:00 PM Thu 10:30 AM - 10:00 PM Fri 10:30 AM - 10:00 PM Sat 10:30 AM - 10:00 PM Sun 10:30 AM - 10:00 PM,2.5 star rating,https://www.kfc.com,Claimed,https://www.yelp.com/adredir?ad_business_id=iTaIKa4SOexXkne3fV15KQ&campaign_id=eSnwoA7iBUA3BrepcPvj2Q&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkfc-honolulu-8&request_id=5c90367e80d5dd1c&signature=66b15ff4831d65fbfdfe817f2c552c947b2db10ce58c0ec9190f7f36434bb68e&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/LY4fYydYCGQ-4cFKzBd4Qw/l.jpg,Hau Tree,"2863 Kalakaua Ave Honolulu, HI 96815",(808) 923-1555,363 reviews,"Seafood, Hawaiian",Mon 8:00 AM - 2:00 PM 3:30 PM - 9:00 PM Tue 8:00 AM - 2:00 PM 3:30 PM - 9:00 PM Closed now Wed 8:00 AM - 2:00 PM 3:30 PM - 9:00 PM Thu 8:00 AM - 2:00 PM 3:30 PM - 9:00 PM Fri 8:00 AM - 2:00 PM 3:30 PM - 9:00 PM Sat 8:00 AM - 2:00 PM 3:30 PM - 9:00 PM Sun 8:00 AM - 2:00 PM 3:30 PM - 9:00 PM,4 star rating,https://www.kaimana.com/dining,Claimed,https://www.yelp.com/adredir?ad_business_id=ztpc8KWj_YUsehjkcBDO8Q&campaign_id=29R3vtki-BRTwQqEH6B8NQ&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fhau-tree-honolulu-3&request_id=5c90367e80d5dd1c&signature=e01af7f54a1d7db17e00310d66e40699e9c058969b3c60a529b2bd0600a46ebe&slot=1
2,https://s3-media0.fl.yelpcdn.com/bphoto/pBFgPGQPYIHtI9tjUdZZhw/l.jpg,Duke's Waikiki,"2335 Kalakaua Ave Ste 116 Honolulu, HI 96815",(808) 922-2268,7720 reviews,"Hawaiian, Seafood, Cocktail Bars",Mon 7:00 AM - 11:00 PM Tue 7:00 AM - 11:00 PM Open now Wed 7:00 AM - 11:00 PM Thu 7:00 AM - 11:00 PM Fri 7:00 AM - 11:00 PM Sat 7:00 AM - 11:00 PM Sun 7:00 AM - 11:00 PM,4 star rating,http://www.dukeswaikiki.com/,Claimed,https://www.yelp.com/biz/dukes-waikiki-honolulu-2
3,https://s3-media0.fl.yelpcdn.com/bphoto/5anq7nOJVygcuXjUVX7E6A/l.jpg,Paia Fish Market Waikiki,"2299 Kuhio Ave Honolulu, HI 96815",(808) 200-0200,1457 reviews,"Seafood, American (New), Fish & Chips",Mon 11:00 AM - 10:00 PM Tue 11:00 AM - 10:00 PM Open now Wed 11:00 AM - 10:00 PM Thu 11:00 AM - 10:00 PM Fri 11:00 AM - 10:00 PM Sat 11:00 AM - 10:00 PM Sun 11:00 AM - 10:00 PM,4.5 star rating,http://www.paiafishmarket.com,Claimed,https://www.yelp.com/biz/paia-fish-market-waikiki-honolulu-2
4,https://s3-media0.fl.yelpcdn.com/bphoto/wH9U6IbFViFqRY8o04Ngkw/l.jpg,Ginza Bairin Tonkatsu & Yoshoku Bistro,"255 Beach Walk Honolulu, HI 96815",(808) 926-8082,2711 reviews,"Japanese, Wine Bars, Asian Fusion",Mon 11:00 AM - 8:30 PM Tue 11:00 AM - 8:30 PM Open now Wed 11:00 AM - 8:30 PM Thu 11:00 AM - 8:30 PM Fri 11:00 AM - 8:30 PM Sat 11:00 AM - 8:30 PM Sun 11:00 AM - 8:30 PM,4.5 star rating,https://www.ginzabairinhawaii.…,Claimed,https://www.yelp.com/biz/ginza-bairin-tonkatsu-and-yoshoku-bistro-honolulu-4
5,https://s3-media0.fl.yelpcdn.com/bphoto/0eFtMy6ceEaMyvNUf8A-gg/l.jpg,Tikis Grill & Bar,"2570 Kalakaua Ave Honolulu, HI 96815",(808) 923-8454,4663 reviews,"Seafood, Hawaiian, Cocktail Bars",Mon 12:00 PM - 12:00 AM (Next day) Tue 12:00 PM - 12:00 AM (Next day) Open now Wed 12:00 PM - 12:00 AM (Next day) Thu 12:00 PM - 12:00 AM (Next day) Fri 12:00 PM - 12:00 AM (Next day) Sat 12:00 PM - 12:00 AM (Next day) Sun 12:00 PM - 12:00 AM (Next day),4 star rating,http://www.tikisgrill.com,Claimed,https://www.yelp.com/biz/tikis-grill-and-bar-honolulu
6,https://s3-media0.fl.yelpcdn.com/bphoto/Z8Hdro3Ik4CJlmUaWQEXOg/l.jpg,Basalt,"2255 Kuhio Ave Dukes Lane Market & Eatery Honolulu, HI 96815",(808) 923-5689,1305 reviews,"American (New), Bars, Breakfast & Brunch",Mon 8:00 AM - 9:30 PM Tue 8:00 AM - 9:30 PM Open now Wed 8:00 AM - 9:30 PM Thu 8:00 AM - 9:30 PM Fri 8:00 AM - 9:30 PM Sat 7:00 AM - 9:30 PM Sun 7:00 AM - 9:30 PM,4.5 star rating,https://www.basaltwaikiki.com,Claimed,https://www.yelp.com/biz/basalt-honolulu
7,https://s3-media0.fl.yelpcdn.com/bphoto/-pfMhjTqKmPELhmFg1cmKA/l.jpg,Marugame Udon,"2310 Kūhiō Ave Ste 124 Honolulu, HI 96815",(808) 931-6000,11495 reviews,"Japanese, Noodles, Salad",Mon 11:00 AM - 10:00 PM Tue 11:00 AM - 10:00 PM Open now Wed 11:00 AM - 10:00 PM Thu 11:00 AM - 10:00 PM Fri 11:00 AM - 10:00 PM Sat 11:00 AM - 10:00 PM Sun 11:00 AM - 10:00 PM,4.5 star rating,https://www.marugameudon.com,Claimed,https://www.yelp.com/biz/marugame-udon-honolulu-14
8,https://s3-media0.fl.yelpcdn.com/bphoto/RTKJ2mlGTpwj5nBMy-uvDw/l.jpg,Moani Waikiki,"2330 Kalakaua Ave Ste 312 Honolulu, HI 96815",(808) 466-2629,187 reviews,"Seafood, Hawaiian, Music Venues",Mon 5:00 PM - 11:00 PM Tue 5:00 PM - 11:00 PM Closed now Wed 5:00 PM - 11:00 PM Thu 5:00 PM - 11:00 PM Fri 5:00 PM - 1:00 AM (Next day) Sat 5:00 PM - 1:00 AM (Next day) Sun 5:00 PM - 11:00 PM,4 star rating,https://www.moaniwaikiki.com,Claimed,https://www.yelp.com/biz/moani-waikiki-honolulu
9,https://cf-images.us-east-1.prod.boltdns.net/v1/static/3142682442001/80edc67d-6621-494d-8b4b-c187da39ed9e/c7c42b6d-cddc-4437-b9ad-713fa1fd47a3/360x360/match/image.jpg,The Surfing Pig Hawaii,"3605 Waialae Ave Honolulu, HI 96816",(808) 744-1992,1003 reviews,"Cocktail Bars, Hawaiian, Tapas/Small Plates",Mon 10:00 AM - 2:00 PM 4:00 PM - 9:00 PM Tue 10:00 AM - 2:00 PM 4:00 PM - 9:00 PM Closed now Wed 10:00 AM - 2:00 PM 4:00 PM - 9:00 PM Thu 10:00 AM - 2:00 PM 4:00 PM - 9:00 PM Fri 9:00 AM - 2:00 PM 4:00 PM - 11:00 PM Sat 9:00 AM - 2:00 PM 4:00 PM - 11:00 PM Sun 9:00 AM - 2:00 PM 4:00 PM - 10:00 PM,4.5 star rating,https://thesurfingpighawaii.co…,Claimed,https://www.yelp.com/biz/the-surfing-pig-hawaii-honolulu
10,https://s3-media0.fl.yelpcdn.com/bphoto/IKRqSg79Tpbui4ovSULqcQ/l.jpg,Helena's Hawaiian Food,"1240 N School St Honolulu, HI 96817",(808) 845-8044,3579 reviews,Hawaiian,Mon Closed Tue 10:00 AM - 7:30 PM Open now Wed 10:00 AM - 7:30 PM Thu 10:00 AM - 7:30 PM Fri 10:00 AM - 7:30 PM Sat Closed Sun Closed,4.5 star rating,https://www.helenashawaiianfoo…,Claimed,https://www.yelp.com/biz/helenas-hawaiian-food-honolulu
11,https://s3-media0.fl.yelpcdn.com/bphoto/HpfvAm4SkIhscRxkWeROZA/l.jpg,XO Restaurant,"3434 Waialae Ave Ste 5 Honolulu, HI 96816",(808) 732-3838,1787 reviews,"American (New), Asian Fusion, Cocktail Bars",Mon 5:00 PM - 10:30 PM Tue 5:00 PM - 10:30 PM Closed now Wed 5:00 PM - 10:30 PM Thu 5:00 PM - 10:30 PM Fri 5:00 PM - 11:00 PM Sat 5:00 PM - 11:00 PM Sun 5:00 PM - 10:30 PM,4.5 star rating,https://www.xorghawaii.com/xo-…,Claimed,https://www.yelp.com/biz/xo-restaurant-honolulu-3
12,https://s3-media0.fl.yelpcdn.com/bphoto/vQ7OarIabLDcL35nhx_jdQ/l.jpg,Taco Bell,"1215 S Beretania St Honolulu, HI 96814",(808) 592-1150,139 reviews,"Fast Food, Mexican",Mon Open 24 hours Tue Open 24 hours Open now Wed Open 24 hours Thu Open 24 hours Fri Open 24 hours Sat Open 24 hours Sun Open 24 hours,2.5 star rating,http://www.tacobell.com,Claimed,https://www.yelp.com/adredir?ad_business_id=9EOeUu339nBnK-cDAJ1RMw&campaign_id=G-L9D6mxh1AIOHzdRvXy6Q&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ftaco-bell-honolulu-2&request_id=5c90367e80d5dd1c&signature=5c01d8527aa569065e72402ce5b1a8a0988a65830de53624a03108da442a7c4b&slot=0
13,https://s3-media0.fl.yelpcdn.com/bphoto/vQ7OarIabLDcL35nhx_jdQ/l.jpg,Taco Bell,"1215 S Beretania St Honolulu, HI 96814",(808) 592-1150,139 reviews,"Fast Food, Mexican",Mon Open 24 hours Tue Open 24 hours Open now Wed Open 24 hours Thu Open 24 hours Fri Open 24 hours Sat Open 24 hours Sun Open 24 hours,2.5 star rating,http://www.tacobell.com,Claimed,https://www.yelp.com/adredir?ad_business_id=9EOeUu339nBnK-cDAJ1RMw&campaign_id=G-L9D6mxh1AIOHzdRvXy6Q&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ftaco-bell-honolulu-2&request_id=1ba12631a0ac1508&signature=f12e9470e2c715d5aaa58f606e913fc4fe2c974e9cd80354655fec3113c47c07&slot=0
14,https://s3-media0.fl.yelpcdn.com/bphoto/jxlBZQxaJDflNie4opqoRg/l.jpg,P.F. Chang's,"2201 Kalakaua Ave A500 Ste A500 Honolulu, HI 96815",(808) 628-6760,991 reviews,"Chinese, Asian Fusion",Mon 11:00 AM - 10:00 PM Tue 11:00 AM - 10:00 PM Open now Wed 11:00 AM - 10:00 PM Thu 11:00 AM - 10:00 PM Fri 11:00 AM - 11:00 PM Sat 11:00 AM - 11:00 PM Sun 11:00 AM - 10:00 PM,3.5 star rating,https://www.pfchangs.com,Claimed,https://www.yelp.com/adredir?ad_business_id=PZk0jwL5tmIhYXprwInmOQ&campaign_id=Qi1z80Ky3l9oDKJfAl_uwg&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fp-f-changs-royal-hawaiian-honolulu&request_id=1ba12631a0ac1508&signature=c83ac5c72727946d34fd945de496e45adedac3465a539b485db99c3924f8fe3a&slot=1
15,https://s3-media0.fl.yelpcdn.com/bphoto/7YMK2UNwkRNLZDPOtsfGNA/l.jpg,Hula Grill Waikiki,"2335 Kalakaua Ave Ste 203 Honolulu, HI 96815",(808) 923-4852,3391 reviews,"Hawaiian, Seafood, Breakfast & Brunch",Mon 7:00 AM - 10:00 PM Tue 7:00 AM - 10:00 PM Open now Wed 7:00 AM - 10:00 PM Thu 7:00 AM - 10:00 PM Fri 7:00 AM - 10:00 PM Sat 7:00 AM - 10:00 PM Sun 7:00 AM - 10:00 PM,4 star rating,http://hulagrillwaikiki.com,Claimed,https://www.yelp.com/biz/hula-grill-waikiki-honolulu-3
16,https://s3-media0.fl.yelpcdn.com/bphoto/N4_D6c7PwFHYaOBlqCUTfg/l.jpg,Ono Seafood,"747 Kapahulu Ave Honolulu, HI 96816",(808) 732-4806,3927 reviews,"Seafood, Poke",Mon Closed Tue 9:00 AM - 6:00 PM Open now Wed 9:00 AM - 6:00 PM Thu 9:00 AM - 6:00 PM Fri 9:00 AM - 6:00 PM Sat 9:00 AM - 6:00 PM Sun Closed,4.5 star rating,http://hulagrillwaikiki.com,Claimed,https://www.yelp.com/biz/ono-seafood-honolulu
17,https://s3-media0.fl.yelpcdn.com/bphoto/ZyudfyLJm7LW0zvTrLyrnw/l.jpg,Adela’s Country Eatery,"45-1151 Kamehameha Hwy Ste 2 Kaneohe, HI 96744",(808) 204-9573,1565 reviews,"Hawaiian, Seafood, Noodles",Mon 10:30 AM - 8:00 PM Tue 10:30 AM - 8:00 PM Open now Wed 10:30 AM - 8:00 PM Thu 10:30 AM - 8:00 PM Fri 10:30 AM - 8:00 PM Sat 10:30 AM - 8:00 PM Sun Closed,5 star rating,https://adelascountryeatery.co…,Claimed,https://www.yelp.com/biz/adela-s-country-eatery-kaneohe
18,https://s3-media0.fl.yelpcdn.com/bphoto/hoV2NP5vl-s3tWmse8JoNA/l.jpg,Musubi Cafe Iyasume,"2427 Kuhio Ave Fl 1 Aqua Pacific Monarch Hotel Honolulu, HI 96815",(808) 921-0168,4190 reviews,"Japanese, Hawaiian, Fast Food",Mon 7:00 AM - 8:00 PM Tue 7:00 AM - 8:00 PM Open now Wed 7:00 AM - 8:00 PM Thu 7:00 AM - 8:00 PM Fri 7:00 AM - 8:00 PM Sat 7:00 AM - 8:00 PM Sun 7:00 AM - 8:00 PM,4.5 star rating,https://iyasumehawaii.com,Claimed,https://www.yelp.com/biz/musubi-cafe-iyasume-honolulu-24
19,https://s3-media0.fl.yelpcdn.com/bphoto/fpPnYnRc8V28JETpGai8ow/l.jpg,Scratch Kitchen,"1170 Auahi St Ste 175 Honolulu, HI 96814",(808) 589-1669,1620 reviews,"Breakfast & Brunch, Comfort Food, Desserts",Mon 9:00 AM - 9:00 PM Tue 9:00 AM - 9:00 PM Open now Wed 9:00 AM - 9:00 PM Thu 9:00 AM - 9:00 PM Fri 9:00 AM - 9:00 PM Sat 8:00 AM - 9:00 PM Sun 8:00 AM - 9:00 PM,4 star rating,http://www.scratch-hawaii.com,Claimed,https://www.yelp.com/biz/scratch-kitchen-honolulu-4
20,https://s3-media0.fl.yelpcdn.com/bphoto/7FNJrvt_bGANKsSnUDFfHQ/l.jpg,Tonkatsu Tamafuji,"449 Kapahulu Ave Ste 203 Honolulu, HI 96815",(808) 922-1212,1581 reviews,Japanese,Mon 4:00 PM - 9:30 PM Tue Closed Closed now Wed 4:00 PM - 9:30 PM Thu 4:00 PM - 9:30 PM Fri 4:00 PM - 9:30 PM Sat 11:00 AM - 2:00 PM 5:00 PM - 9:30 PM Sun 11:00 AM - 2:00 PM 5:00 PM - 9:30 PM,4.5 star rating,https://www.tablecheck.com/sho…,Claimed,https://www.yelp.com/biz/tonkatsu-tamafuji-honolulu-9
21,https://s3-media0.fl.yelpcdn.com/bphoto/S2Z54q9CBGGyHUEPj6WnCQ/l.jpg,Roy's Waikiki,"226 Lewers St Honolulu, HI 96815",(808) 923-7697,2925 reviews,"Hawaiian, Asian Fusion, Bars",Mon 4:00 PM - 9:00 PM Tue 4:00 PM - 9:00 PM Closed now Wed 4:00 PM - 9:00 PM Thu 4:00 PM - 9:00 PM Fri 4:00 PM - 9:00 PM Sat 4:00 PM - 9:00 PM Sun 4:00 PM - 9:00 PM,4.5 star rating,https://www.royyamaguchi.com,Claimed,https://www.yelp.com/biz/roys-waikiki-honolulu
22,https://s3-media0.fl.yelpcdn.com/bphoto/S5-1OpFepdtBzZsJuyqD9A/l.jpg,Goofy Cafe & Dine,"1831 Ala Moana Blvd Ste 201 Honolulu, HI 96815",(808) 943-0077,3035 reviews,"Cafes, Breakfast & Brunch, Diners",Mon 7:00 AM - 2:00 PM 5:00 PM - 9:00 PM Tue 7:00 AM - 2:00 PM Closed now Wed 7:00 AM - 2:00 PM 5:00 PM - 9:00 PM Thu 7:00 AM - 2:00 PM 5:00 PM - 9:00 PM Fri 7:00 AM - 2:00 PM 5:00 PM - 9:00 PM Sat 7:00 AM - 2:00 PM 5:00 PM - 9:00 PM Sun 7:00 AM - 2:00 PM 5:00 PM - 9:00 PM,4 star rating,http://www.goofy-honolulu.com,Claimed,https://www.yelp.com/biz/goofy-cafe-and-dine-honolulu
23,https://s3-media0.fl.yelpcdn.com/bphoto/wQS2kJLZT86TcPl5JFIqzA/l.jpg,ShoreFyre,"2446 Koa Ave Honolulu, HI 96815",(808) 923-7007,1297 reviews,"Breakfast & Brunch, Burgers, Hawaiian",Mon 8:00 AM - 11:00 PM Tue 8:00 AM - 11:00 PM Open now Wed 8:00 AM - 1:00 AM (Next day) Thu 8:00 AM - 1:00 AM (Next day) Fri 7:00 AM - 1:00 AM (Next day) Sat 7:00 AM - 1:00 AM (Next day) Sun 7:00 AM - 1:00 AM (Next day),4 star rating,https://www.shorefyre.com,Claimed,https://www.yelp.com/biz/shorefyre-honolulu-5
24,https://s3-media0.fl.yelpcdn.com/bphoto/ksgg03_tiEhw-zeZWvbRGQ/l.jpg,Haleiwa Joe's At Haiku Gardens,"46-336 Haiku Rd Haiku Gardens Kaneohe, HI 96744",(808) 247-6671,2235 reviews,"Seafood, Hawaiian, Cocktail Bars",Mon 4:00 PM - 9:00 PM Tue 4:00 PM - 9:00 PM Closed now Wed 4:00 PM - 9:00 PM Thu 4:00 PM - 9:00 PM Fri 4:00 PM - 9:00 PM Sat 4:00 PM - 9:00 PM Sun 4:00 PM - 9:00 PM,4 star rating,http://www.haleiwajoes.com,Claimed,https://www.yelp.com/biz/haleiwa-joes-at-haiku-gardens-kaneohe-3
