,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant_url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/8gwjjm0KCZFsB9ZALqCEiw/l.jpg,Baracoa Cuban Restaurant,"853 Auto Center Dr Ste F Palmdale, CA 93551",(661) 506-1660,911 reviews,"Cuban, Bars, Sandwiches",Mon 11:00 AM - 9:00 PM Tue 11:00 AM - 9:00 PM Closed now Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 11:00 PM Sat 11:00 AM - 11:00 PM Sun 11:00 AM - 9:00 PM,4.5 star rating,https://www.baracoacubanrestau…,Claimed,https://www.yelp.com/adredir?ad_business_id=rDhTOcjPu78PjfhLaXCiow&campaign_id=4FjJ8yIhx5bMs5FlWwmgxg&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbaracoa-cuban-restaurant-palmdale-2&request_id=48202c05f79987bc&signature=4e9cdd3ddca47b027dd8918217e12dd15405176c685e2f1613e143fbfd628811&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/hRtCVwnbzFrcbP5o89O11Q/l.jpg,Randys Chicken and Waffles,"2791 W Ave L Lancaster, CA 93536",(661) 524-9775,403 reviews,"Soul Food, Waffles, Chicken Wings",Mon 11:00 AM - 7:00 PM Tue 11:00 AM - 7:00 PM Closed now Wed 11:00 AM - 7:00 PM Thu 11:00 AM - 7:00 PM Fri 11:00 AM - 8:00 PM Sat 11:00 AM - 8:00 PM Sun 11:00 AM - 7:00 PM,3.5 star rating,https://www.baracoacubanrestau…,Claimed,https://www.yelp.com/adredir?ad_business_id=RT95ztfGFQc2eWOExunHDw&campaign_id=ucDAZM6EvOkseV90-H3dHA&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frandys-chicken-and-waffles-lancaster&request_id=48202c05f79987bc&signature=0852465159afbe7e1461fd862b4aa0a4634b8335690be4fb5752637b73351bc7&slot=1
2,https://s3-media0.fl.yelpcdn.com/bphoto/6Xsv41Mubg_8L0nZu5uQlw/l.jpg,Tibor's Gourmet European Deli,"8809 Pearblossom Hwy Littlerock, CA 93543",(661) 878-8180,39 reviews,"Delis, Sandwiches, Pizza",Mon 10:00 AM - 6:00 PM Tue 10:00 AM - 6:00 PM Open now Wed 10:00 AM - 6:00 PM Thu 10:00 AM - 6:00 PM Fri 10:00 AM - 6:00 PM Sat 10:00 AM - 6:00 PM Sun 10:30 AM - 4:00 PM,4.5 star rating,http://www.tiborsgourmet.net,Claimed,https://www.yelp.com/biz/tibors-gourmet-european-deli-littlerock
3,https://s3-media0.fl.yelpcdn.com/bphoto/NF6iwLyTAIOsE2DS2jBY-Q/l.jpg,Littlerock Grill,"7660 Pearblossom Hwy Littlerock, CA 93543",(661) 944-3225,94 reviews,"Pizza, Burgers, American (Traditional)",Mon 7:00 AM - 5:00 PM Tue 7:00 AM - 5:00 PM Open now Wed 7:00 AM - 5:00 PM Thu 7:00 AM - 5:00 PM Fri 7:00 AM - 5:00 PM Sat 7:00 AM - 5:00 PM Sun 7:00 AM - 5:00 PM,4.5 star rating,http://www.tiborsgourmet.net,Unclaimed,https://www.yelp.com/biz/littlerock-grill-littlerock
4,https://s3-media0.fl.yelpcdn.com/bphoto/L6IvWIv9bndG-d3VVb0ncw/l.jpg,Michel’s Restaurant & Bakery,"7847 Pearblossom Hwy Littlerock, CA 93543",(661) 441-0046,13 reviews,"Breakfast & Brunch, Mexican, Sandwiches",Mon 8:00 AM - 9:00 PM Tue 8:00 AM - 9:00 PM Open now Wed 8:00 AM - 9:00 PM Thu 8:00 AM - 9:00 PM Fri 8:00 AM - 9:00 PM Sat 7:00 AM - 9:00 PM Sun 7:00 AM - 9:00 PM,4 star rating,http://www.tiborsgourmet.net,Claimed,https://www.yelp.com/biz/michel-s-restaurant-and-bakery-littlerock
5,https://s3-media0.fl.yelpcdn.com/bphoto/uAN8opbsWAwUf9kipuoq6w/l.jpg,DJ's Burgers,"8314 Pearblossom Hwy Littlerock, CA 93543",(661) 878-8066,40 reviews,"American (Traditional), Breakfast & Brunch, Fast Food",Mon 7:00 AM - 10:00 PM Tue 7:00 AM - 10:00 PM Open now Wed 7:00 AM - 10:00 PM Thu 7:00 AM - 10:00 PM Fri 7:00 AM - 10:00 PM Sat 7:00 AM - 10:00 PM Sun 7:00 AM - 10:00 PM,4 star rating,http://www.tiborsgourmet.net,Claimed,https://www.yelp.com/biz/djs-burgers-littlerock
6,https://s3-media0.fl.yelpcdn.com/bphoto/JfKce2-fdLPylJoQh-RBTQ/l.jpg,Que Paisa,"8115 Pearblossom Hwy Littlerock, CA 93543",(661) 944-9553,118 reviews,Mexican,Mon 7:00 AM - 9:00 PM Tue 7:00 AM - 9:00 PM Open now Wed 7:00 AM - 9:00 PM Thu 7:00 AM - 9:00 PM Fri 7:00 AM - 10:00 PM Sat 7:00 AM - 10:00 PM Sun 7:00 AM - 9:00 PM,4 star rating,http://www.tiborsgourmet.net,Unclaimed,https://www.yelp.com/biz/que-paisa-littlerock
7,https://s3-media0.fl.yelpcdn.com/bphoto/kko8cxEZuMjT2mZ8W0kfhQ/l.jpg,Farmers Market,"8202 Pearblossom Hwy Littlerock, CA 93543",(661) 944-1364,46 reviews,"Meat Shops, Mexican",Mon 8:00 AM - 8:30 PM Tue 8:00 AM - 8:30 PM Open now Wed 8:00 AM - 8:30 PM Thu 8:00 AM - 8:30 PM Fri 8:00 AM - 8:30 PM Sat 8:00 AM - 8:30 PM Sun 8:00 AM - 8:00 PM,4 star rating,http://www.tiborsgourmet.net,Unclaimed,https://www.yelp.com/biz/farmers-market-littlerock-2
8,https://s3-media0.fl.yelpcdn.com/bphoto/DbO2LKpkG6EwqvRNC842_g/l.jpg,Familia Barrios Taco Grill,"7704 Pearblossom Hwy Littlerock, CA 93543",(661) 585-2215,109 reviews,Tacos,Mon 11:00 AM - 9:00 PM Tue 11:00 AM - 9:00 PM Closed now Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 9:00 PM Sat 11:00 AM - 9:00 PM Sun 11:00 AM - 9:00 PM,4 star rating,http://www.familiabarrioscater…,Claimed,https://www.yelp.com/biz/familia-barrios-taco-grill-littlerock
9,https://s3-media0.fl.yelpcdn.com/bphoto/ylqXeF1u-aQoBOaZNcEA0w/l.jpg,Hots Dogs Los Diablos,"8702 Rowley St Littlerock, CA 93543",(661) 210-0368,1 review,"Hot Dogs, Food Stands",,5 star rating,https://hotdoglosdiablos.busin…,Unclaimed,https://www.yelp.com/biz/hots-dogs-los-diablos-littlerock
