,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant_url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/e8GsG7BUQounQwNNuwQZuw/l.jpg,Yard House,"126 Brookline Ave Boston, MA 02215",(617) 236-4083,897 reviews,"Bars, American (New), Vegetarian",Mon 11:00 AM - 11:30 PM Tue 11:00 AM - 11:30 PM Closed now Wed 11:00 AM - 11:30 PM Thu 11:00 AM - 11:30 PM Fri 11:00 AM - 12:30 AM (Next day) Sat 11:00 AM - 12:30 AM (Next day) Sun 11:00 AM - 11:30 PM,3.5 star rating,https://YardHouse.com,Claimed,https://www.yelp.com/adredir?ad_business_id=n4XrNsqY2Oi1DB7-2hJzTw&campaign_id=fQ_wTCYqyRKhhD8o3W-xMg&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fyard-house-boston-2&request_id=7034845268bc9ec4&signature=7c32be826fb7f0d02e5631971b8192c60aa7388e204f3e664b6652059b1dbb45&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/sZU4DnyKF8IF3bXcmhtavw/l.jpg,Emerald Rose,"785 Boston Rd Billerica, MA 01821",(978) 667-0500,170 reviews,"Irish, Irish Pub",Mon Closed Tue 3:00 PM - 10:00 PM Closed now Wed 3:00 PM - 10:00 PM Thu 12:00 PM - 11:00 PM Fri 12:00 PM - 11:00 PM Sat 12:00 PM - 11:00 PM Sun 12:00 PM - 9:00 PM,3.5 star rating,http://www.theemeraldrose.com,Claimed,https://www.yelp.com/adredir?ad_business_id=Yeuvlawekqb7-Ild9aOdaw&campaign_id=p5mfc9SCkqt2cNFrXFtHDQ&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Femerald-rose-billerica&request_id=7034845268bc9ec4&signature=7a50904e96c495510f6ec3be83bc6b76948cee560dab61a5ebff5f4d0feb0e0b&slot=1
23,https://s3-media0.fl.yelpcdn.com/bphoto/ZT-qEQPR6sah1LK3jg8FKw/l.jpg,Eddie V's Prime Seafood,"122 Belvidere St Boston, MA 02199",(617) 358-9990,162 reviews,"Seafood, Steakhouses, Lounges",Mon 4:00 PM - 9:00 PM Tue 4:00 PM - 9:00 PM Closed now Wed 4:00 PM - 9:00 PM Thu 4:00 PM - 9:00 PM Fri 4:00 PM - 10:00 PM Sat 4:00 PM - 10:00 PM Sun 4:00 PM - 9:00 PM,4 star rating,https://Eddiev.com,Claimed,https://www.yelp.com/adredir?ad_business_id=VEmNgxY90VOc5HNprOiXlw&campaign_id=LvGtJXNOF32InEbOSB0u6g&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Feddie-vs-prime-seafood-boston-2&request_id=7034845268bc9ec4&signature=6a4d5e3d330f19363f73121c6a412987c7d32ce22a320bcbefcf4b5f67594890&slot=0
24,https://s3-media0.fl.yelpcdn.com/bphoto/b4ihDrzyHmv2lm_jmlhKbg/l.jpg,The Roof,"209 Essex St Salem, MA 01970",(978) 451-4814,89 reviews,Bars,Mon 3:00 PM - 10:00 PM Tue 3:00 PM - 10:00 PM Closed now Wed 3:00 PM - 10:00 PM Thu 3:00 PM - 10:00 PM Fri 3:00 PM - 10:00 PM Sat 12:00 PM - 10:00 PM Sun 12:00 PM - 10:00 PM,3 star rating,https://www.theroofsalem.com,Claimed,https://www.yelp.com/adredir?ad_business_id=UWWTRUf_JaeLiKQv0Hs-vg&campaign_id=1M1K2f7-iwGLyYfBTKfy0g&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-roof-salem-2&request_id=f086d5a33cb2533e&signature=00d1f843fd097010b31c928c1057b6f2d910a0d39aa8b7e6d10fcdda55195d42&slot=0
25,https://s3-media0.fl.yelpcdn.com/bphoto/4W7onkWpesXVdD_TL9Hl0g/l.jpg,District 118 Kitchen and Bar,"118 Needham St Newton, MA 02464",(617) 952-7918,239 reviews,"Gastropubs, Cocktail Bars, American (Traditional)",Mon Closed Tue 4:00 PM - 10:00 PM Closed now Wed 4:00 PM - 10:00 PM Thu 4:00 PM - 10:00 PM Fri 4:00 PM - 11:00 PM Sat 4:00 PM - 11:00 PM Sun Closed,4 star rating,https://www.districtkitchenand…,Claimed,https://www.yelp.com/adredir?ad_business_id=OGBc2v3JlbT-INvVz9qgWQ&campaign_id=tiUmIwbB2mUBhINbA8HGrw&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdistrict-118-kitchen-and-bar-newton&request_id=f086d5a33cb2533e&signature=eebcb963e864b0c4d46881c80263f9a1ce16a1d7b89453499b38150eb8346033&slot=1
47,https://s3-media0.fl.yelpcdn.com/bphoto/AUn8lL8zqm9rqJVqis2NLg/l.jpg,The Dog House Bar & Grill,"434 Main St Woburn, MA 01801",(781) 989-1111,65 reviews,"American (Traditional), Beer Bar, Cocktail Bars",Mon 11:30 AM - 12:00 AM (Next day) Tue 11:30 AM - 12:00 AM (Next day) Closed now Wed 11:30 AM - 12:00 AM (Next day) Thu 11:30 AM - 1:00 AM (Next day) Fri 11:30 AM - 1:00 AM (Next day) Sat 11:30 AM - 1:00 AM (Next day) Sun 11:30 AM - 12:00 AM (Next day),4 star rating,http://thedoghousewoburn.com,Claimed,https://www.yelp.com/adredir?ad_business_id=yzl1qq2ALNuIeWtBhAWLHw&campaign_id=CSO9JbIZ7-OFBTOARRyARQ&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-dog-house-bar-and-grill-woburn&request_id=f086d5a33cb2533e&signature=ecb53b81968e671919b94e939e6c096a96b081d7904c1199463bf2aa69dbdea1&slot=0
48,https://s3-media0.fl.yelpcdn.com/bphoto/_E_jwVwhOvO0xKof0yKNbg/l.jpg,Cusser's Roast Beef and Seafood,"304 Stuart St Boston, MA 02116",(617) 917-5193,89 reviews,"Seafood, Cocktail Bars, Soup",Mon Closed Tue 11:30 AM - 8:00 PM Closed now Wed 11:30 AM - 8:00 PM Thu 11:30 AM - 8:00 PM Fri 11:30 AM - 9:00 PM Sat 11:30 AM - 9:00 PM Sun Closed,4.5 star rating,http://www.cussersboston.com,Claimed,https://www.yelp.com/adredir?ad_business_id=2OPwmUgtjb3nhClb7IEOxA&campaign_id=Q-k2LGIrwJTcg7qPKtE4UA&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcussers-roast-beef-and-seafood-boston-2&request_id=2b1478994678b949&signature=d03a61e6aacfdd8c2864d86a7fede54115cce86171560d7abc3af0fbf49a9603&slot=0
49,https://s3-media0.fl.yelpcdn.com/bphoto/q1Lk8cZPxhDX1FcXEvxOqw/l.jpg,C.F. McCarthy’s,"614 Washington St Canton, MA 02021",(781) 562-1082,83 reviews,"American (New), American (Traditional), Irish Pub",Mon 11:00 AM - 1:00 AM (Next day) Tue 11:00 AM - 1:00 AM (Next day) Closed now Wed 11:00 AM - 1:00 AM (Next day) Thu 11:00 AM - 1:00 AM (Next day) Fri 11:00 AM - 1:00 AM (Next day) Sat 11:00 AM - 1:00 AM (Next day) Sun 11:00 AM - 1:00 AM (Next day),4 star rating,https://www.cfmccarthys.com,Claimed,https://www.yelp.com/adredir?ad_business_id=lZXGZmdn5CY91iQ9S_qCWw&campaign_id=JYHr7MUBv0iEUKGvzY5SSw&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fc-f-mccarthy-s-canton&request_id=2b1478994678b949&signature=b333b5c340e9dc8c755b6b4aa60d06fdfd344cda5f8dcbecf1dff71ec07a919d&slot=1
70,https://s3-media0.fl.yelpcdn.com/bphoto/Gy5zkUuGzKZp8hPqty58fw/l.jpg,Scholars American Bistro and Cocktail Lounge,"25 School St Boston, MA 02108",(617) 865-0790,392 reviews,"American (New), Pool Halls, Cocktail Bars",Mon Closed Tue 4:00 PM - 2:00 AM (Next day) Closed now Wed 4:00 PM - 2:00 AM (Next day) Thu 4:00 PM - 2:00 AM (Next day) Fri 4:00 PM - 2:00 AM (Next day) Sat 4:00 PM - 2:00 AM (Next day) Sun Closed,3 star rating,http://www.scholarsbostonbistr…,Claimed,https://www.yelp.com/adredir?ad_business_id=ZQNf8895P81vjCfyipjhYw&campaign_id=UKega23YLe5qhG7oli0aPA&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fscholars-american-bistro-and-cocktail-lounge-boston-2&request_id=2b1478994678b949&signature=5d2d830b5e7c9d5e2fe5136aa9357139af40a938a2461b2a2bfff9150eef0daa&slot=0
71,https://s3-media0.fl.yelpcdn.com/bphoto/e8GsG7BUQounQwNNuwQZuw/l.jpg,Yard House,"126 Brookline Ave Boston, MA 02215",(617) 236-4083,897 reviews,"Bars, American (New), Vegetarian",Mon 11:00 AM - 11:30 PM Tue 11:00 AM - 11:30 PM Closed now Wed 11:00 AM - 11:30 PM Thu 11:00 AM - 11:30 PM Fri 11:00 AM - 12:30 AM (Next day) Sat 11:00 AM - 12:30 AM (Next day) Sun 11:00 AM - 11:30 PM,3.5 star rating,https://YardHouse.com,Claimed,https://www.yelp.com/adredir?ad_business_id=n4XrNsqY2Oi1DB7-2hJzTw&campaign_id=fQ_wTCYqyRKhhD8o3W-xMg&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fyard-house-boston-2&request_id=a144c5e0ac426056&signature=35171836c2e26cfb4182df2d39ec6856e8332a0f76bb3a579255966cac2253fc&slot=0
72,https://s3-media0.fl.yelpcdn.com/bphoto/_E_jwVwhOvO0xKof0yKNbg/l.jpg,Cusser's Roast Beef and Seafood,"304 Stuart St Boston, MA 02116",(617) 917-5193,89 reviews,"Seafood, Cocktail Bars, Soup",Mon Closed Tue 11:30 AM - 8:00 PM Closed now Wed 11:30 AM - 8:00 PM Thu 11:30 AM - 8:00 PM Fri 11:30 AM - 9:00 PM Sat 11:30 AM - 9:00 PM Sun Closed,4.5 star rating,http://www.cussersboston.com,Claimed,https://www.yelp.com/adredir?ad_business_id=2OPwmUgtjb3nhClb7IEOxA&campaign_id=Q-k2LGIrwJTcg7qPKtE4UA&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcussers-roast-beef-and-seafood-boston-2&request_id=a144c5e0ac426056&signature=824a61e5163e7fc7add57493c9b542b60a67b0ee965b366c3550fd893fd268d3&slot=1
