,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant_url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/_HpN_lm2ZHoGmz7iw800fw/l.jpg,Bad Daddy's Burger Bar,"7755 Eastchase Pkwy Montgomery, AL 36117",(334) 777-2127,40 reviews,"Bars, Burgers, American (New)",Mon 11:00 AM - 9:00 PM Tue 11:00 AM - 9:00 PM Open now Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 10:00 PM Sat 11:00 AM - 10:00 PM Sun 11:00 AM - 9:00 PM,3.5 star rating,https://baddaddysburgerbar.com,Claimed,https://www.yelp.com/adredir?ad_business_id=_WmvcalAL34EYY9i4y_eOA&campaign_id=ntoxtr606IR-dlNuSivskQ&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbad-daddys-burger-bar-montgomery-2&request_id=aea60f7470baee37&signature=112737aaa45790f925ac9a78ac62665ef0130036c5ae586512e4c7477fdaa269&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/DBY50Ja6WTGwM82vFMhrZQ/l.jpg,Wingstop,"6518 Atlanta Hwy Montgomery, AL 36117",(334) 647-3406,31 reviews,Chicken Wings,Mon 11:00 AM - 12:00 AM (Next day) Tue 11:00 AM - 12:00 AM (Next day) Open now Wed 11:00 AM - 12:00 AM (Next day) Thu 11:00 AM - 12:00 AM (Next day) Fri 11:00 AM - 12:00 AM (Next day) Sat 11:00 AM - 12:00 AM (Next day) Sun 11:00 AM - 12:00 AM (Next day),2 star rating,http://www.wingstop.com,Claimed,https://www.yelp.com/adredir?ad_business_id=iHNOis_DxCxOJ0LEDnFWAA&campaign_id=9Tox5PwUcrozB7bi1iQkrQ&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fwingstop-montgomery-2&request_id=aea60f7470baee37&signature=8c10a8b1f22d92e02f0629ce1d6f03bc61ee36eee2dd5b307e20880998f2d334&slot=1
2,https://s3-media0.fl.yelpcdn.com/bphoto/KftUEzuZIqf_eB32_VP4xA/l.jpg,Central,"129 Coosa St Montgomery, AL 36104",(334) 517-1155,425 reviews,"Bars, American (Traditional), Venues & Event Spaces",Mon Closed Tue 5:30 PM - 9:00 PM Closed now Wed 5:30 PM - 9:00 PM Thu 5:30 PM - 9:00 PM Fri 5:30 PM - 9:00 PM Sat 5:30 PM - 9:00 PM Sun Closed,4.5 star rating,https://www.central129coosa.co…,Claimed,https://www.yelp.com/biz/central-montgomery-3
3,https://s3-media0.fl.yelpcdn.com/bphoto/wAyI5OXZGaOZ89jL6MBjMA/l.jpg,Cork & Cleaver,"2960 Zelda Rd Montgomery, AL 36106",(334) 676-2260,200 reviews,Gastropubs,Mon 11:00 AM - 9:00 PM Tue 11:00 AM - 9:00 PM Open now Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 10:00 PM Sat 10:00 AM - 10:00 PM Sun 10:00 AM - 9:00 PM,4 star rating,http://TheCorkCleaver.com,Claimed,https://www.yelp.com/biz/cork-and-cleaver-montgomery
4,https://s3-media0.fl.yelpcdn.com/bphoto/WqeRMQuM08CjJqK2x263gw/l.jpg,Mrs B’s Home Cooking,"415 Airbase Blvd Montgomery, AL 36104",(334) 264-5495,247 reviews,"Soul Food, Southern",Mon 6:00 AM - 5:00 PM Tue 6:00 AM - 5:00 PM Open now Wed 6:00 AM - 5:00 PM Thu 6:00 AM - 5:00 PM Fri 6:00 AM - 5:00 PM Sat Closed Sun 11:00 AM - 4:00 PM,4.5 star rating,http://mrs-bs-home-cooking.caf…,Unclaimed,https://www.yelp.com/biz/mrs-b-s-home-cooking-montgomery
5,https://s3-media0.fl.yelpcdn.com/bphoto/dlDAGvlAtSxugCvR6_VhVQ/l.jpg,Vintage Year,"405 Cloverdale Rd Montgomery, AL 36106",(334) 819-7215,97 reviews,"Steakhouses, Seafood, Bars",Mon Closed Tue 4:30 PM - 9:00 PM Closed now Wed 4:30 PM - 9:00 PM Thu 4:30 PM - 9:00 PM Fri 4:30 PM - 9:00 PM Sat 4:30 PM - 9:00 PM Sun 10:30 AM - 2:00 PM,4.5 star rating,http://www.vymgm.com,Claimed,https://www.yelp.com/biz/vintage-year-montgomery-2
6,https://s3-media0.fl.yelpcdn.com/bphoto/gcTY2P2GSFHVvxAKSOdiPQ/l.jpg,Filet & Vine,"431 Cloverdale Rd Montgomery, AL 36106",(334) 262-8463,204 reviews,"Sandwiches, Southern",Mon Closed Tue 10:00 AM - 6:00 PM Open now Wed 10:00 AM - 6:00 PM Thu 10:00 AM - 6:00 PM Fri 10:00 AM - 6:00 PM Sat 7:00 AM - 5:00 PM Sun Closed,4.5 star rating,http://www.filetandvine.com,Unclaimed,https://www.yelp.com/biz/filet-and-vine-montgomery
7,https://s3-media0.fl.yelpcdn.com/bphoto/rj1PavXm7aGYm3GW9XAPBw/l.jpg,Cahawba House,"31 S Court St Montgomery, AL 36104",(334) 356-1877,203 reviews,"Southern, Sandwiches, Breakfast & Brunch",Mon Closed Tue Closed Closed now Wed Closed Thu 7:30 AM - 1:30 PM Fri 7:30 AM - 1:30 PM Sat 7:30 AM - 1:30 PM Sun 7:30 AM - 1:30 PM,4.5 star rating,http://www.cahawbahouse.com,Claimed,https://www.yelp.com/biz/cahawba-house-montgomery
8,https://s3-media0.fl.yelpcdn.com/bphoto/ivY1-W9bp32Q9bDSDZZ1wQ/l.jpg,City Grill,"5251 Hampstead High St Montgomery, AL 36116",(334) 244-0960,41 reviews,American (New),Mon Closed Tue 5:00 PM - 8:30 PM Closed now Wed 5:00 PM - 8:30 PM Thu 5:00 PM - 8:30 PM Fri 5:00 PM - 8:30 PM Sat 5:00 PM - 8:30 PM Sun Closed,4.5 star rating,http://www.cahawbahouse.com,Unclaimed,https://www.yelp.com/biz/city-grill-montgomery
9,https://s3-media0.fl.yelpcdn.com/bphoto/sTXk14fLB8J5wu0-rjrQlQ/l.jpg,Wishbone Cafe,"6667 Atlanta Hwy Montgomery, AL 36117",(334) 244-7270,250 reviews,"Seafood, Cajun/Creole",Mon 11:00 AM - 8:00 PM Tue 11:00 AM - 8:00 PM Open now Wed 11:00 AM - 10:00 PM Thu 11:00 AM - 10:00 PM Fri 11:00 AM - 11:00 PM Sat 11:00 AM - 11:00 PM Sun Closed,4.5 star rating,https://wishbone-cafe.com,Unclaimed,https://www.yelp.com/biz/wishbone-cafe-montgomery
