,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant_url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/noykhlAHaeu89vWhJXNPnQ/l.jpg,Salad and Go,"8220 W Thunderbird Rd Peoria, AZ 85381",,1 review,"Salad, Breakfast & Brunch, Fast Food",Mon 6:30 AM - 9:00 PM Tue 6:30 AM - 9:00 PM Open now Wed 6:30 AM - 9:00 PM Thu 6:30 AM - 9:00 PM Fri 6:30 AM - 9:00 PM Sat 7:00 AM - 9:00 PM Sun 7:00 AM - 9:00 PM,3 star rating,http://saladandgo.com,Claimed,https://www.yelp.com/adredir?ad_business_id=OOaQ0FxCSOXrZRowq73Wtg&campaign_id=bmheo0Kr9RtbEuhLaguvWQ&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsalad-and-go-peoria-2&request_id=713423a184aaa690&signature=fc8db55f9a0187fd6aa3937385927170bfa8e0fcf2f7ea178510d83702c849ad&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/olWVnStr0BUpoR9lNzQx6w/l.jpg,Denny's,"8737 NW Grand Ave Peoria, AZ 85345",(602) 726-2574,70 reviews,"Breakfast & Brunch, Diners, American (Traditional)",Mon Open 24 hours Tue Open 24 hours Open now Wed Open 24 hours Thu Open 24 hours Fri Open 24 hours Sat Open 24 hours Sun Open 24 hours,2.5 star rating,https://www.dennys.com,Claimed,https://www.yelp.com/adredir?ad_business_id=3p9q6p4PckNOq-oXMiP22A&campaign_id=4YqbJ4IiOouDP6K9ke73aA&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdennys-peoria-4&request_id=713423a184aaa690&signature=7f1a8c349cf83943311512fa6c5e1585047335cc7779b511af93142e5fde928b&slot=1
2,https://s3-media0.fl.yelpcdn.com/bphoto/GOgniRWYhY-pG1RHv7T1uw/l.jpg,OAK,"111 E Camelback Rd Phoenix, AZ 85012",(602) 200-8111,1972 reviews,American (New),Mon Closed Tue 3:00 PM - 9:00 PM Closed now Wed 3:00 PM - 9:00 PM Thu 3:00 PM - 9:00 PM Fri 3:00 PM - 10:00 PM Sat 10:00 AM - 10:00 PM Sun 10:00 AM - 3:00 PM,4 star rating,https://oakoncamelback.com,Claimed,https://www.yelp.com/biz/oak-phoenix-3
3,https://s3-media0.fl.yelpcdn.com/bphoto/rzKVSinCsUckv5kweBFomw/l.jpg,Neighborly Public House,"5538 N 7th St Phoenix, AZ 85014",(602) 675-1852,93 reviews,American (New),Mon 4:00 PM - 9:00 PM Tue 4:00 PM - 9:00 PM Closed now Wed 4:00 PM - 9:00 PM Thu 4:00 PM - 10:00 PM Fri 4:00 PM - 10:00 PM Sat 4:00 PM - 10:00 PM Sun 4:00 PM - 9:00 PM,4.5 star rating,https://www.neighborlypublicho…,Claimed,https://www.yelp.com/biz/neighborly-public-house-phoenix
4,https://s3-media0.fl.yelpcdn.com/bphoto/V1JlpJ3qPcLMdVuox2Qfzw/l.jpg,Aftermath,"1534 E Bethany Home Rd Phoenix, AZ 85014",(623) 323-7735,108 reviews,"American (New), Cocktail Bars",Mon 4:00 PM - 9:00 PM Tue 4:00 PM - 9:00 PM Closed now Wed 4:00 PM - 10:00 PM Thu 4:00 PM - 10:00 PM Fri 4:00 PM - 10:00 PM Sat 4:00 PM - 10:00 PM Sun 4:00 PM - 9:00 PM,4.5 star rating,https://www.aftermathphoenix.c…,Claimed,https://www.yelp.com/biz/aftermath-phoenix-6
5,https://s3-media0.fl.yelpcdn.com/bphoto/SV49rNlEY_hIU-dQF-CNrg/l.jpg,Windsor,"5223 N Central Ave Phoenix, AZ 85012",(602) 279-1111,1535 reviews,"American (New), Breakfast & Brunch, Cocktail Bars",Mon 11:00 AM - 11:00 PM Tue 11:00 AM - 11:00 PM Closed now Wed 11:00 AM - 11:00 PM Thu 11:00 AM - 11:00 PM Fri 11:00 AM - 12:00 AM (Next day) Sat 9:00 AM - 12:00 AM (Next day) Sun 9:00 AM - 10:00 PM,4.5 star rating,http://www.windsoraz.com,Claimed,https://www.yelp.com/biz/windsor-phoenix
6,https://s3-media0.fl.yelpcdn.com/bphoto/i2IDrWT_z2Zwz6PkTQvlrQ/l.jpg,Cock N' Tails,"6101 N 7th St Phoenix, AZ 85014",(480) 702-0662,131 reviews,"Cocktail Bars, American (Traditional), Beer Bar",Mon Closed Tue 4:00 PM - 12:00 AM (Next day) Closed now Wed 4:00 PM - 12:00 AM (Next day) Thu 4:00 PM - 12:00 AM (Next day) Fri 4:00 PM - 2:00 AM (Next day) Sat 4:00 PM - 2:00 AM (Next day) Sun Closed,4.5 star rating,http://cockntails.com,Claimed,https://www.yelp.com/biz/cock-n-tails-phoenix
7,https://s3-media0.fl.yelpcdn.com/bphoto/SNVpYKFZAUpLuwFn4dmFqw/l.jpg,Restaurant Progress,"702 W Montecito Ave Phoenix, AZ 85013",(602) 441-0553,274 reviews,"Bars, American (New)",Mon Closed Tue 5:00 PM - 10:00 PM Closed now Wed 5:00 PM - 10:00 PM Thu 5:00 PM - 10:00 PM Fri 5:00 PM - 11:00 PM Sat 5:00 PM - 11:00 PM Sun Closed,4.5 star rating,http://restaurantprogress.com,Claimed,https://www.yelp.com/biz/restaurant-progress-phoenix-3
8,https://s3-media0.fl.yelpcdn.com/bphoto/SvGagNDRZkvOhXv3swwlNQ/l.jpg,Persepshen,"4700 N Central Ave Phoenix, AZ 85012",(602) 935-2932,159 reviews,"Beer, Wine & Spirits, Tapas/Small Plates",Mon Closed Tue Closed Closed now Wed Closed Thu 4:30 PM - 8:30 PM Fri 4:30 PM - 8:30 PM Sat 4:30 PM - 8:30 PM Sun 4:30 PM - 8:30 PM,4.5 star rating,http://persepshenarizona.com,Claimed,https://www.yelp.com/biz/persepshen-phoenix
9,https://s3-media0.fl.yelpcdn.com/bphoto/tBMhmv5652_wC1HzafTgWg/l.jpg,Pubblico Italian Eatery,"5813 N 7th St Phoenix, AZ 85014",(602) 601-5651,417 reviews,"Italian, Bars, Pizza",Mon Closed Tue 4:00 PM - 9:00 PM Closed now Wed 4:00 PM - 9:00 PM Thu 4:00 PM - 9:00 PM Fri 11:00 AM - 10:00 PM Sat 11:00 AM - 10:00 PM Sun 11:00 AM - 9:00 PM,4.5 star rating,https://www.pubblicoitalianeat…,Claimed,https://www.yelp.com/biz/pubblico-italian-eatery-phoenix-3
