,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant_url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/91N9GDqO5H39UDVnalasnw/l.jpg,Cheddar's Scratch Kitchen,"1950 E Primrose St Springfield, MO 65804",(417) 889-8998,192 reviews,"American (Traditional), Comfort Food, Southern",Mon 11:00 AM - 10:00 PM Tue 11:00 AM - 10:00 PM Open now Wed 11:00 AM - 10:00 PM Thu 11:00 AM - 10:00 PM Fri 11:00 AM - 11:00 PM Sat 11:00 AM - 11:00 PM Sun 11:00 AM - 10:00 PM,3.5 star rating,https://Cheddars.com,Claimed,https://www.yelp.com/adredir?ad_business_id=c3s4zDlVe1VWhzrR3AZ3sQ&campaign_id=AdBaCdPcAeogcc7FSeWEbg&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcheddars-scratch-kitchen-springfield-4&request_id=e7a5c24b3101665b&signature=f480e78bbee47ce5bb7f2eceeeb12af39703ac7a6236dbaf4c8399ba38929495&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/Nz6XwU5RizOSp4wxCgZJlw/l.jpg,Sonic Drive-In,"729 West Sunshine St Springfield, MO 65807",(417) 862-8947,10 reviews,"Burgers, Fast Food, Ice Cream & Frozen Yogurt",Mon 6:00 AM - 12:00 AM (Next day) Tue 6:00 AM - 12:00 AM (Next day) Open now Wed 6:00 AM - 12:00 AM (Next day) Thu 6:00 AM - 12:00 AM (Next day) Fri 6:00 AM - 12:00 AM (Next day) Sat 6:00 AM - 12:00 AM (Next day) Sun 6:00 AM - 12:00 AM (Next day),2 star rating,http://www.sonicdrivein.com,Claimed,https://www.yelp.com/adredir?ad_business_id=jvtWKWYWmzYW56IBbtRrBw&campaign_id=YF-Z-ajNgww3j6RaVbDQNw&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsonic-drive-in-springfield-7&request_id=e7a5c24b3101665b&signature=27c8fcbd006895cb8818d94d21c4440a63bc60ff4c89184d58ed193afc282454&slot=1
2,https://s3-media0.fl.yelpcdn.com/bphoto/q6HLi5w2ayH1V97EV3ZgIA/l.jpg,Black Sheep Burgers | Shakes,"209 E Walnut Springfield, MO 65806",(417) 319-5905,831 reviews,"Burgers, Steakhouses, Sandwiches",Mon 11:00 AM - 9:00 PM Tue 11:00 AM - 9:00 PM Open now Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 10:00 PM Sat 11:00 AM - 10:00 PM Sun 11:00 AM - 9:00 PM,4.5 star rating,http://www.blaaacksheep.com,Claimed,https://www.yelp.com/biz/black-sheep-burgers-shakes-springfield
3,https://s3-media0.fl.yelpcdn.com/bphoto/KkNky5f-wNvqRS38IQBAGg/l.jpg,Civil Kitchen,"107 Park Central Square Springfield, MO 65806",(417) 501-8456,266 reviews,"Bars, American (New), Burgers",,4 star rating,http://www.blaaacksheep.com,Claimed,https://www.yelp.com/biz/civil-kitchen-springfield
4,https://s3-media0.fl.yelpcdn.com/bphoto/YEioifiUy6qjcAF1QGVlpw/l.jpg,Mimi’s Soulfood,"533 S Kimbrough Ave Springfield, MO 65806",(417) 755-7015,8 reviews,Soul Food,Mon 11:00 AM - 6:00 PM Tue 11:00 AM - 9:00 PM Open now Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 10:00 PM Fri 11:00 AM - 10:00 PM Sat 11:00 AM - 10:00 PM Sun 11:00 AM - 6:00 PM,4.5 star rating,http://www.blaaacksheep.com,Claimed,https://www.yelp.com/biz/mimi-s-soulfood-springfield
5,https://s3-media0.fl.yelpcdn.com/bphoto/QIv1ZcC7U88hJ9KKp8BslQ/l.jpg,Bricktown Brewery,"2040 E Independence St Springfield, MO 65804",(417) 887-0100,195 reviews,"Breweries, American (Traditional)",Mon 11:00 AM - 10:00 PM Tue 11:00 AM - 10:00 PM Open now Wed 11:00 AM - 10:00 PM Thu 11:00 AM - 10:00 PM Fri 11:00 AM - 11:00 PM Sat 11:00 AM - 11:00 PM Sun 10:30 AM - 10:00 PM,4.5 star rating,https://bricktownbrewery.com,Claimed,https://www.yelp.com/biz/bricktown-brewery-springfield-2
6,https://s3-media0.fl.yelpcdn.com/bphoto/6rMcbLshmdAnXkZOo2YskA/l.jpg,Whiskey Tango,"1111 E Republic Ste 180 Springfield, MO 65807",(417) 882-8882,74 reviews,"Bars, Seafood, Steakhouses",Mon 4:00 PM - 10:00 PM Tue 4:00 PM - 10:00 PM Open now Wed 4:00 PM - 10:00 PM Thu 4:00 PM - 10:00 PM Fri 4:00 PM - 12:00 AM (Next day) Sat 4:00 PM - 12:00 AM (Next day) Sun Closed,4 star rating,http://whiskeytangomo.com,Claimed,https://www.yelp.com/biz/whiskey-tango-springfield
7,https://s3-media0.fl.yelpcdn.com/bphoto/j8GzgDwwlQXyxUp0tCZUQw/l.jpg,The Wheelhouse,"1845 E Sunshine St Springfield, MO 65804",(417) 430-0400,162 reviews,"Thai, Mexican",Mon 11:00 AM - 3:00 PM 5:00 PM - 9:00 PM Tue 11:00 AM - 3:00 PM 5:00 PM - 9:00 PM Open now Wed 11:00 AM - 3:00 PM 5:00 PM - 9:00 PM Thu 11:00 AM - 3:00 PM 5:00 PM - 9:00 PM Fri 11:00 AM - 3:00 PM 5:00 PM - 9:00 PM Sat 11:00 AM - 3:00 PM 5:00 PM - 9:00 PM Sun 11:00 AM - 3:00 PM 5:00 PM - 9:00 PM,4.5 star rating,http://www.wheelhousefood.com,Claimed,https://www.yelp.com/biz/the-wheelhouse-springfield
8,https://s3-media0.fl.yelpcdn.com/bphoto/fvGUdM-K1vUAjB5gOWx6ig/l.jpg,The Order,"305 E Walnut St Springfield, MO 65806",(417) 851-5299,127 reviews,"Cocktail Bars, American (New)",Mon 7:00 AM - 11:00 AM 5:00 PM - 10:00 PM Tue 7:00 AM - 11:00 AM 5:00 PM - 10:00 PM Open now Wed 7:00 AM - 11:00 AM 5:00 PM - 10:00 PM Thu 7:00 AM - 11:00 AM 5:00 PM - 10:00 PM Fri 7:00 AM - 11:00 AM 5:00 PM - 10:00 PM Sat 9:00 AM - 2:00 PM 5:00 PM - 10:00 PM Sun 9:00 AM - 2:00 PM 5:00 PM - 9:00 PM,4 star rating,http://www.theordersgf.com,Claimed,https://www.yelp.com/biz/the-order-springfield-3
9,https://s3-media0.fl.yelpcdn.com/bphoto/k2KRcCM4XCIK9jzxva0CUw/l.jpg,Progress,"2144 E Republic Rd Ste B101 Springfield, MO 65804",(417) 799-9388,51 reviews,American (New),Mon Closed Tue 5:00 PM - 10:00 PM Open now Wed 5:00 PM - 10:00 PM Thu 5:00 PM - 10:00 PM Fri 5:00 PM - 10:00 PM Sat 9:00 AM - 2:00 PM 5:00 PM - 10:00 PM Sun 9:00 AM - 2:00 PM,4.5 star rating,http://springfieldprogress.com,Claimed,https://www.yelp.com/biz/progress-springfield
