,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant_url,Restaurant_ownership,url links
8,https://s3-media0.fl.yelpcdn.com/bphoto/5xUKWCJQbFkn3HZNb9WRgQ/l.jpg,Volcano Hot Pot,"1872 Thomasville Rd Unit A Tallahassee, FL 32303",(850) 222-6888,54 reviews,"Korean, Barbeque, Soup",Mon 12:00 PM - 10:00 PM Tue 12:00 PM - 10:00 PM Open now Wed 12:00 PM - 10:00 PM Thu 12:00 PM - 10:00 PM Fri 12:00 PM - 10:00 PM Sat 12:00 PM - 10:00 PM Sun 12:00 PM - 10:00 PM,4.5 star rating,http://www.volcanohotpot.com,Claimed,https://www.yelp.com/biz/volcano-hot-pot-tallahassee
21,https://s3-media0.fl.yelpcdn.com/bphoto/2pv9xNdCmI42XOiZQ8DjHQ/l.jpg,Table 23,"1215 Thomasville Rd Tallahassee, FL 32303",(850) 329-2261,412 reviews,"American (New), Bars, Burgers",Mon 4:00 PM - 8:30 PM Tue 4:00 PM - 8:30 PM Open now Wed 4:00 PM - 8:30 PM Thu 4:00 PM - 8:30 PM Fri 4:00 PM - 9:00 PM Sat 4:00 PM - 8:30 PM Sun 10:00 AM - 2:00 PM,4 star rating,http://table23tally.com,Claimed,https://www.yelp.com/biz/volcano-hot-pot-tallahassee
26,https://s3-media0.fl.yelpcdn.com/bphoto/SAxztmfE28S_7mPb_siW1A/l.jpg,Friendly Shores Seafood & Grill,"460 W Tennessee St Tallahassee, FL 32301",(850) 999-1706,"Seafood,","Seafood, Burgers, Chicken Wings",Mon Closed Tue Closed Closed now Wed 11:00 AM - 10:00 PM Thu 11:00 AM - 10:00 PM Fri 11:00 AM - 10:00 PM Sat 11:00 AM - 10:00 PM Sun Closed,4 star rating,http://sagetallahassee.com,Claimed,https://www.yelp.com/adredir?ad_business_id=0_7fSbx-6jixuY1h0BRy5w&campaign_id=MgbUC4ZpBv-fowx1NGE9Iw&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ffriendly-shores-seafood-and-grill-tallahassee&request_id=800864fb9ec4558a&signature=8f705f67438c700c3be10601c293e2d2c7d15284f98f2483bb8a995fdd54bbbd&slot=0
27,https://s3-media0.fl.yelpcdn.com/bphoto/SAxztmfE28S_7mPb_siW1A/l.jpg,Friendly Shores Seafood & Grill,"460 W Tennessee St Tallahassee, FL 32301",(850) 999-1706,"Seafood,","Seafood, Burgers, Chicken Wings",Mon Closed Tue Closed Closed now Wed 11:00 AM - 10:00 PM Thu 11:00 AM - 10:00 PM Fri 11:00 AM - 10:00 PM Sat 11:00 AM - 10:00 PM Sun Closed,4 star rating,http://sagetallahassee.com,Claimed,https://www.yelp.com/adredir?ad_business_id=sBjEGjm6vV_hxaEoTYMJqQ&campaign_id=sNa-3fCmUBmNT0AaOzy8HA&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcafe-de-martin-tallahassee&request_id=800864fb9ec4558a&signature=bcd515e49174ecae3210268af47f142f4b3ba26ea6328540a8f2de780e77acb7&slot=1
28,https://s3-media0.fl.yelpcdn.com/bphoto/295C_HLgfOU9pgf2pZyoEA/l.jpg,Harry's Seafood Bar and Grille,"301 S Bronough St Tallahassee, FL 32301",(850) 222-3976,533 reviews,"Seafood, American (Traditional), Bars",Mon 11:00 AM - 10:00 PM Tue 11:00 AM - 10:00 PM Open now Wed 11:00 AM - 10:00 PM Thu 11:00 AM - 10:00 PM Fri 11:00 AM - 11:00 PM Sat 11:00 AM - 11:00 PM Sun 11:00 AM - 10:00 PM,4 star rating,http://hookedonharrys.com,Claimed,https://www.yelp.com/biz/harrys-seafood-bar-and-grille-tallahassee-2
29,https://s3-media0.fl.yelpcdn.com/bphoto/MKXVh4atLeYeBccMvY6ZGw/l.jpg,The Huntsman,"320 E Tennessee St Tallahassee, FL 32312",,11 reviews,"American (New), Bars",Mon 5:00 PM - 11:00 PM Tue 5:00 PM - 11:00 PM Open now Wed 5:00 PM - 11:00 PM Thu 5:00 PM - 11:00 PM Fri 5:00 PM - 12:00 AM (Next day) Sat 5:00 PM - 12:00 AM (Next day) Sun Closed,4.5 star rating,https://www.huntsmantallahasse…,Unclaimed,https://www.yelp.com/biz/the-huntsman-tallahassee
30,https://s3-media0.fl.yelpcdn.com/bphoto/0XpewQZuBUIXsXEiTiBBaQ/l.jpg,Midtown Caboose,"1406 N Meridian Rd Tallahassee, FL 32303",(850) 521-1933,489 reviews,"American (New), Sandwiches, Burgers",Mon 11:00 AM - 10:00 PM Tue 11:00 AM - 10:00 PM Open now Wed 11:00 AM - 10:00 PM Thu 11:00 AM - 10:00 PM Fri 11:00 AM - 10:00 PM Sat 11:00 AM - 10:00 PM Sun 11:00 AM - 10:00 PM,4 star rating,http://www.midtowncaboose.com,Unclaimed,https://www.yelp.com/biz/midtown-caboose-tallahassee-2
31,https://s3-media0.fl.yelpcdn.com/bphoto/-hILe1Mos2R-Zn6XeI1LQQ/l.jpg,Black Radish,"1304 N Monroe St Unit B Tallahassee, FL 32303",(850) 825-1973,13 reviews,"Bars, American (New), Italian",Mon Closed Tue 5:00 PM - 10:00 PM Open now Wed 5:00 PM - 10:00 PM Thu 5:00 PM - 10:00 PM Fri 5:00 PM - 12:00 AM (Next day) Sat 5:00 PM - 12:00 AM (Next day) Sun Closed,5 star rating,https://blackradishtlh.com,Unclaimed,https://www.yelp.com/biz/black-radish-tallahassee
32,https://s3-media0.fl.yelpcdn.com/bphoto/ZC5D29Vt_J5kydXKZoRYuw/l.jpg,J's Asian Street Food,"402 E Tennessee St Tallahassee, FL 32301",(850) 999-3062,98 reviews,Asian Fusion,Mon 11:00 AM - 9:00 PM Tue 11:00 AM - 9:00 PM Open now Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 9:00 PM Sat 11:00 AM - 9:00 PM Sun 11:00 AM - 9:00 PM,4 star rating,https://www.jsasianfl.com,Claimed,https://www.yelp.com/biz/js-asian-street-food-tallahassee
33,https://s3-media0.fl.yelpcdn.com/bphoto/XRnjssKFkPj3paioImiqnA/l.jpg,Bare Naked Kitchen,"609 W Tennessee St Tallahassee, FL 32304",(850) 250-0045,55 reviews,"Salad, Food Delivery Services, Vegetarian",Mon 11:00 AM - 9:00 PM Tue 11:00 AM - 9:00 PM Open now Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 9:00 PM Sat 11:00 AM - 9:00 PM Sun 11:00 AM - 9:00 PM,4.5 star rating,http://www.eatbarenaked.com,Claimed,https://www.yelp.com/biz/bare-naked-kitchen-tallahassee
34,https://s3-media0.fl.yelpcdn.com/bphoto/apPSABeHRr7c5WDM60lQ6A/l.jpg,Liberty Bar & Restaurant,"1307 N Monroe St Tallahassee, FL 32303",(850) 354-8277,305 reviews,"Cocktail Bars, Tapas/Small Plates, Breakfast & Brunch",Mon 5:00 PM - 12:00 AM (Next day) Tue 5:00 PM - 2:00 AM (Next day) Open now Wed 5:00 PM - 2:00 AM (Next day) Thu 5:00 PM - 2:00 AM (Next day) Fri 5:00 PM - 2:00 AM (Next day) Sat 10:30 AM - 3:00 PM 5:00 PM - 2:00 AM (Next day) Sun 10:30 AM - 3:00 PM 5:00 PM - 12:00 AM (Next day),4 star rating,http://www.libertytlh.com,Claimed,https://www.yelp.com/biz/liberty-bar-and-restaurant-tallahassee
