,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant_url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/fAp5KYbs0ig5mEpcKltTEw/l.jpg,Chili's,"800 East Dimond Blvd Ste 162 Anchorage, AK 99515",(907) 646-7700,81 reviews,"Tex-Mex, American (Traditional), Bars",Mon 11:00 AM - 9:00 PM Tue 11:00 AM - 9:00 PM Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 9:30 PM Open now Sat 11:00 AM - 9:30 PM Sun 11:00 AM - 9:00 PM,2.5 star rating,https://www.chilis.com/locatio…,Claimed,https://www.yelp.com/adredir?ad_business_id=4E5MDYuEMrDTb3VUCCovAw&campaign_id=X6lAkGSauCeLizrSkJq-Ag&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fchilis-anchorage-8&request_id=c9fde902096a1e9c&signature=b4fba24c6845b7fa2bbbe6e6f2c44bc101890136df386f6575d12b8054573f10&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/ZYn9p1y8IHwIPJA3fcS3dw/l.jpg,Oriental Garden,"720 Muldoon Rd Anchorage, AK 99504",(907) 338-2272,143 reviews,"Chinese, Bars, Karaoke",Mon 12:00 PM - 12:00 AM (Next day) Tue Closed Wed 12:00 PM - 12:00 AM (Next day) Thu 12:00 PM - 12:00 AM (Next day) Fri 12:00 PM - 12:00 AM (Next day) Open now Sat 2:00 PM - 12:00 AM (Next day) Sun 12:00 PM - 12:00 AM (Next day),4 star rating,http://www.orientalgardenancho…,Claimed,https://www.yelp.com/adredir?ad_business_id=O1rL4Kjd29YSrZDy1a_jcQ&campaign_id=VCEfAG6-9jf-qUv3PxJe_w&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Foriental-garden-anchorage&request_id=c9fde902096a1e9c&signature=b97ce72abc4cfde2340e7877f0d8a6cfc731b65cb26b0e471130a4ee0fd8d913&slot=1
23,https://s3-media0.fl.yelpcdn.com/bphoto/-wekFxsgUl-hCvr14t6ipQ/l.jpg,Applebee's Grill + Bar,"4331 Credit Union Dr Anchorage, AK 99503",(907) 222-7753,110 reviews,"American (Traditional), Sports Bars, Burgers",Mon 11:00 AM - 12:00 AM (Next day) Tue 11:00 AM - 12:00 AM (Next day) Wed 11:00 AM - 12:00 AM (Next day) Thu 11:00 AM - 12:00 AM (Next day) Fri 11:00 AM - 12:00 AM (Next day) Open now Sat 11:00 AM - 12:00 AM (Next day) Sun 11:00 AM - 11:00 PM,2 star rating,https://www.applebees.com,Claimed,https://www.yelp.com/adredir?ad_business_id=JspeDyISs5nnCpptMFohvw&campaign_id=01OUq6wHBaEfPo2eYMe8zg&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fapplebees-grill-bar-anchorage&request_id=c9fde902096a1e9c&signature=19b12111f35c5835f1b0e109965263d2f9e4f2b4d2254df65e77d77a147cc74f&slot=0
24,https://s3-media0.fl.yelpcdn.com/bphoto/fAp5KYbs0ig5mEpcKltTEw/l.jpg,Chili's,"800 East Dimond Blvd Ste 162 Anchorage, AK 99515",(907) 646-7700,81 reviews,"Tex-Mex, American (Traditional), Bars",Mon 11:00 AM - 9:00 PM Tue 11:00 AM - 9:00 PM Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 9:30 PM Open now Sat 11:00 AM - 9:30 PM Sun 11:00 AM - 9:00 PM,2.5 star rating,https://www.chilis.com/locatio…,Claimed,https://www.yelp.com/adredir?ad_business_id=4E5MDYuEMrDTb3VUCCovAw&campaign_id=X6lAkGSauCeLizrSkJq-Ag&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fchilis-anchorage-8&request_id=6a19a2812648872e&signature=336d8e16117885a79915d43bef09b27395e287da14c49e4fa70fadebe2bf3801&slot=0
25,https://s3-media0.fl.yelpcdn.com/bphoto/ZYn9p1y8IHwIPJA3fcS3dw/l.jpg,Oriental Garden,"720 Muldoon Rd Anchorage, AK 99504",(907) 338-2272,143 reviews,"Chinese, Bars, Karaoke",Mon 12:00 PM - 12:00 AM (Next day) Tue Closed Wed 12:00 PM - 12:00 AM (Next day) Thu 12:00 PM - 12:00 AM (Next day) Fri 12:00 PM - 12:00 AM (Next day) Open now Sat 2:00 PM - 12:00 AM (Next day) Sun 12:00 PM - 12:00 AM (Next day),4 star rating,http://www.orientalgardenancho…,Claimed,https://www.yelp.com/adredir?ad_business_id=O1rL4Kjd29YSrZDy1a_jcQ&campaign_id=VCEfAG6-9jf-qUv3PxJe_w&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Foriental-garden-anchorage&request_id=6a19a2812648872e&signature=dbbe4f8772b88f23200969e78564fa6c7ea4cdfbeff96f7d0d0431a554c48de8&slot=1
46,https://s3-media0.fl.yelpcdn.com/bphoto/-wekFxsgUl-hCvr14t6ipQ/l.jpg,Applebee's Grill + Bar,"4331 Credit Union Dr Anchorage, AK 99503",(907) 222-7753,110 reviews,"American (Traditional), Sports Bars, Burgers",Mon 11:00 AM - 12:00 AM (Next day) Tue 11:00 AM - 12:00 AM (Next day) Wed 11:00 AM - 12:00 AM (Next day) Thu 11:00 AM - 12:00 AM (Next day) Fri 11:00 AM - 12:00 AM (Next day) Open now Sat 11:00 AM - 12:00 AM (Next day) Sun 11:00 AM - 11:00 PM,2 star rating,https://www.applebees.com,Claimed,https://www.yelp.com/adredir?ad_business_id=JspeDyISs5nnCpptMFohvw&campaign_id=a_Y0qL7x9LeRrko23oMG7Q&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fapplebees-grill-bar-anchorage&request_id=6a19a2812648872e&signature=9c410d1e154dfdbec529a17c49748d5c4172c2f67fdc09f93e2a42334dd4e7fb&slot=0
47,https://s3-media0.fl.yelpcdn.com/bphoto/fAp5KYbs0ig5mEpcKltTEw/l.jpg,Chili's,"800 East Dimond Blvd Ste 162 Anchorage, AK 99515",(907) 646-7700,81 reviews,"Tex-Mex, American (Traditional), Bars",Mon 11:00 AM - 9:00 PM Tue 11:00 AM - 9:00 PM Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 9:30 PM Open now Sat 11:00 AM - 9:30 PM Sun 11:00 AM - 9:00 PM,2.5 star rating,https://www.chilis.com/locatio…,Claimed,https://www.yelp.com/adredir?ad_business_id=4E5MDYuEMrDTb3VUCCovAw&campaign_id=X6lAkGSauCeLizrSkJq-Ag&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fchilis-anchorage-8&request_id=98f2b24f7e540b97&signature=920e8eab008abb201f6de9b698b4b0c0b36dc297ed329c81acafe8f4a0a21156&slot=0
48,https://s3-media0.fl.yelpcdn.com/bphoto/ZYn9p1y8IHwIPJA3fcS3dw/l.jpg,Oriental Garden,"720 Muldoon Rd Anchorage, AK 99504",(907) 338-2272,143 reviews,"Chinese, Bars, Karaoke",Mon 12:00 PM - 12:00 AM (Next day) Tue Closed Wed 12:00 PM - 12:00 AM (Next day) Thu 12:00 PM - 12:00 AM (Next day) Fri 12:00 PM - 12:00 AM (Next day) Open now Sat 2:00 PM - 12:00 AM (Next day) Sun 12:00 PM - 12:00 AM (Next day),4 star rating,http://www.orientalgardenancho…,Claimed,https://www.yelp.com/adredir?ad_business_id=O1rL4Kjd29YSrZDy1a_jcQ&campaign_id=VCEfAG6-9jf-qUv3PxJe_w&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Foriental-garden-anchorage&request_id=98f2b24f7e540b97&signature=e76023691b6aee829839286c4f97fd6f68000a1c25a4ad091a36c9103a6868b4&slot=1
70,https://s3-media0.fl.yelpcdn.com/bphoto/-wekFxsgUl-hCvr14t6ipQ/l.jpg,Applebee's Grill + Bar,"4331 Credit Union Dr Anchorage, AK 99503",(907) 222-7753,110 reviews,"American (Traditional), Sports Bars, Burgers",Mon 11:00 AM - 12:00 AM (Next day) Tue 11:00 AM - 12:00 AM (Next day) Wed 11:00 AM - 12:00 AM (Next day) Thu 11:00 AM - 12:00 AM (Next day) Fri 11:00 AM - 12:00 AM (Next day) Open now Sat 11:00 AM - 12:00 AM (Next day) Sun 11:00 AM - 11:00 PM,2 star rating,https://www.applebees.com,Claimed,https://www.yelp.com/adredir?ad_business_id=JspeDyISs5nnCpptMFohvw&campaign_id=01OUq6wHBaEfPo2eYMe8zg&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fapplebees-grill-bar-anchorage&request_id=98f2b24f7e540b97&signature=10feff9e7bf2fe8936e8b6f00a853b5d9f126a3ba1407b1dadd60a0423c80a10&slot=0
71,https://s3-media0.fl.yelpcdn.com/bphoto/fAp5KYbs0ig5mEpcKltTEw/l.jpg,Chili's,"800 East Dimond Blvd Ste 162 Anchorage, AK 99515",(907) 646-7700,81 reviews,"Tex-Mex, American (Traditional), Bars",Mon 11:00 AM - 9:00 PM Tue 11:00 AM - 9:00 PM Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 9:30 PM Open now Sat 11:00 AM - 9:30 PM Sun 11:00 AM - 9:00 PM,2.5 star rating,https://www.chilis.com/locatio…,Claimed,https://www.yelp.com/adredir?ad_business_id=4E5MDYuEMrDTb3VUCCovAw&campaign_id=X6lAkGSauCeLizrSkJq-Ag&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fchilis-anchorage-8&request_id=2f7ff4c2869b01b7&signature=e59b806a55f43efcd0b52e9438f6d1a40ff66dcd082b64ff023160df45daf911&slot=0
