,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant_url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/sh2cAT7IO9oZoVQuNhdBYg/l.jpg,Heroes Pub and Grub,"5940 W Union Hills Dr Ste E100 Glendale, AZ 85308",(602) 588-3000,315 reviews,"Pizza, Sports Bars, Burgers",Mon 11:00 AM - 12:00 AM (Next day) Tue 11:00 AM - 12:00 AM (Next day) Wed 11:00 AM - 12:00 AM (Next day) Thu 11:00 AM - 12:00 AM (Next day) Fri 11:00 AM - 2:00 AM (Next day) Open now Sat 11:00 AM - 1:00 AM (Next day) Sun 10:00 AM - 11:00 PM,4 star rating,https://www.heroesglendale.com,Claimed,https://www.yelp.com/adredir?ad_business_id=9-KJZHOncSPnCcnvxF5QCw&campaign_id=-e4muM6-1cx5t_mktTSm2w&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fheroes-pub-and-grub-glendale&request_id=21c90a3847e2343e&signature=27c4fcffca37aecf39cb3e4946c399e2ce2eb44e3eed58b98bcc9d4c3b50ff6b&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/hTuvN-WMJxTGD44-wF0BfA/l.jpg,Fuego Bar and Grill,"9118 W Van Buren St Tolleson, AZ 85353",(623) 478-7300,50 reviews,"Mexican, Sports Bars, Dance Clubs",Mon Closed Tue 11:00 AM - 8:00 PM Wed 11:00 AM - 8:00 PM Thu 11:00 AM - 10:00 PM Fri 11:00 AM - 1:00 AM (Next day) Open now Sat 9:00 AM - 1:00 AM (Next day) Sun 9:00 AM - 3:00 PM,3 star rating,http://fuegomexicangrillandcan…,Claimed,https://www.yelp.com/adredir?ad_business_id=VVeEiDBnfekolbs8FzAD7w&campaign_id=MrncvlXQF8M2cE2NZGl4dg&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ffuego-bar-and-grill-tolleson-2&request_id=21c90a3847e2343e&signature=8c1ba8a14e56ca397467878c85ff0106e0ad585f48514bd93c68425dacfdc047&slot=1
22,https://s3-media0.fl.yelpcdn.com/bphoto/9-LQlsU9RDx9Pd08Z-4M9g/l.jpg,"Pa’La Wood-Fired Cooking, Downtown","132 E Washington St Phoenix, AZ 85004",(602) 368-3052,95 reviews,"Mediterranean, Wine Bars, Tapas/Small Plates",Mon Closed Tue 11:00 AM - 3:00 PM 5:00 PM - 10:00 PM Wed 11:00 AM - 3:00 PM 5:00 PM - 10:00 PM Thu 11:00 AM - 3:00 PM 5:00 PM - 10:00 PM Fri 11:00 AM - 3:00 PM 5:00 PM - 12:00 AM (Next day) Open now Sat 11:00 AM - 3:00 PM 5:00 PM - 12:00 AM (Next day) Sun Closed,4.5 star rating,http://www.palakitchen.com/dow…,Claimed,https://www.yelp.com/adredir?ad_business_id=hVTAKo2iP811JH_zC-79Ow&campaign_id=WFb-V6LLtIXnD4zxy3Uxaw&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fpa-la-wood-fired-cooking-downtown-phoenix&request_id=21c90a3847e2343e&signature=764c7de73aecd862e00a737a380e0cfc988763acf18c218c0664ff6d271dd1ab&slot=0
23,https://s3-media0.fl.yelpcdn.com/bphoto/eHE4UvK4P8CXZmy9n1g5Gw/l.jpg,Little Rituals,"132 S Central Ave Fl 4 Residence Inn/Courtyard by Marriott Phoenix, AZ 85004",(602) 704-0632,308 reviews,"Cocktail Bars, Lounges, American (New)",Mon Closed Tue 5:00 PM - 11:00 PM Wed 5:00 PM - 11:00 PM Thu 5:00 PM - 11:00 PM Fri 5:00 PM - 1:00 AM (Next day) Closed now Sat 5:00 PM - 1:00 AM (Next day) Sun 5:00 PM - 11:00 PM,4.5 star rating,https://littleritualsbar.com,Claimed,https://www.yelp.com/adredir?ad_business_id=SlP4ZkjQVsoHU3uCDB7xmA&campaign_id=DT2Xf7osFqDy5_fblwPA4g&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Flittle-rituals-phoenix&request_id=2ceab136a12425be&signature=740f6410b604543d5855f0051013e6218de01c4987bf86f6e570f10496671497&slot=0
24,https://s3-media0.fl.yelpcdn.com/bphoto/4kWKSGWScC4knKxv_zTnYg/l.jpg,The Beverly on Main,"7018 E Main St Scottsdale, AZ 85251",(480) 889-5580,330 reviews,"Cocktail Bars, American (New)",Mon 4:00 PM - 2:00 AM (Next day) Tue 4:00 PM - 2:00 AM (Next day) Wed 4:00 PM - 2:00 AM (Next day) Thu 4:00 PM - 2:00 AM (Next day) Fri 4:00 PM - 2:00 AM (Next day) Closed now Sat 4:00 PM - 2:00 AM (Next day) Sun 4:00 PM - 2:00 AM (Next day),4 star rating,https://www.beverlyonmain.com,Claimed,https://www.yelp.com/adredir?ad_business_id=JvHv4HDT7sU7rMYyDzJuMQ&campaign_id=_J-0SytqVinCyrHwSPN2hA&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-beverly-on-main-scottsdale&request_id=2ceab136a12425be&signature=714deb10c229bf71e320cd94889bb47f429fdc6d70732b08ddeea8fe9f8ebd1f&slot=1
45,https://s3-media0.fl.yelpcdn.com/bphoto/nrWEUnNvKL-IE6f87h9nyA/l.jpg,36 Below,"3620 E Indian School Rd Sip Coffee and Beer Garage Phoenix, AZ 85018",(480) 336-8812,119 reviews,"Speakeasies, Cocktail Bars",Mon 4:00 PM - 12:00 AM (Next day) Tue 4:00 PM - 12:00 AM (Next day) Wed 4:00 PM - 12:00 AM (Next day) Thu 4:00 PM - 12:00 AM (Next day) Fri 4:00 PM - 1:00 AM (Next day) Closed now Sat 3:00 PM - 1:00 AM (Next day) Sun 3:00 PM - 12:00 AM (Next day),4 star rating,https://36belowaz.com,Claimed,https://www.yelp.com/adredir?ad_business_id=8zDDjKt2rUF_qP0ONcuU5A&campaign_id=L2-I90uYdRrqausU4cjBGg&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2F36-below-phoenix&request_id=2ceab136a12425be&signature=95a2084581c009f6cb9b37fb83d3bb41bea3b295186f5193c7f1835541488ebd&slot=0
46,https://s3-media0.fl.yelpcdn.com/bphoto/nrWEUnNvKL-IE6f87h9nyA/l.jpg,36 Below,"3620 E Indian School Rd Sip Coffee and Beer Garage Phoenix, AZ 85018",(480) 336-8812,119 reviews,"Speakeasies, Cocktail Bars",Mon 4:00 PM - 12:00 AM (Next day) Tue 4:00 PM - 12:00 AM (Next day) Wed 4:00 PM - 12:00 AM (Next day) Thu 4:00 PM - 12:00 AM (Next day) Fri 4:00 PM - 1:00 AM (Next day) Closed now Sat 3:00 PM - 1:00 AM (Next day) Sun 3:00 PM - 12:00 AM (Next day),4 star rating,https://36belowaz.com,Claimed,https://www.yelp.com/adredir?ad_business_id=8zDDjKt2rUF_qP0ONcuU5A&campaign_id=L2-I90uYdRrqausU4cjBGg&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2F36-below-phoenix&request_id=441ee9532d525c0e&signature=d77eba65547222e1828ad01249f28dc54921786bb121beaa575bc7028b32cc6e&slot=0
47,https://s3-media0.fl.yelpcdn.com/bphoto/eHE4UvK4P8CXZmy9n1g5Gw/l.jpg,Little Rituals,"132 S Central Ave Fl 4 Residence Inn/Courtyard by Marriott Phoenix, AZ 85004",(602) 704-0632,308 reviews,"Cocktail Bars, Lounges, American (New)",Mon Closed Tue 5:00 PM - 11:00 PM Wed 5:00 PM - 11:00 PM Thu 5:00 PM - 11:00 PM Fri 5:00 PM - 1:00 AM (Next day) Closed now Sat 5:00 PM - 1:00 AM (Next day) Sun 5:00 PM - 11:00 PM,4.5 star rating,https://littleritualsbar.com,Claimed,https://www.yelp.com/adredir?ad_business_id=SlP4ZkjQVsoHU3uCDB7xmA&campaign_id=DT2Xf7osFqDy5_fblwPA4g&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Flittle-rituals-phoenix&request_id=441ee9532d525c0e&signature=5a4b3a07907f5e38ad05af1a8f57c658459b80cebf8470e4016927cbb400a489&slot=1
70,https://s3-media0.fl.yelpcdn.com/bphoto/4kWKSGWScC4knKxv_zTnYg/l.jpg,The Beverly on Main,"7018 E Main St Scottsdale, AZ 85251",(480) 889-5580,330 reviews,"Cocktail Bars, American (New)",Mon 4:00 PM - 2:00 AM (Next day) Tue 4:00 PM - 2:00 AM (Next day) Wed 4:00 PM - 2:00 AM (Next day) Thu 4:00 PM - 2:00 AM (Next day) Fri 4:00 PM - 2:00 AM (Next day) Closed now Sat 4:00 PM - 2:00 AM (Next day) Sun 4:00 PM - 2:00 AM (Next day),4 star rating,https://www.beverlyonmain.com,Claimed,https://www.yelp.com/adredir?ad_business_id=JvHv4HDT7sU7rMYyDzJuMQ&campaign_id=_J-0SytqVinCyrHwSPN2hA&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-beverly-on-main-scottsdale&request_id=441ee9532d525c0e&signature=2017a1e19ab3106e67095fa0fcbe48d789e30a42333c8408020aaf10ea500082&slot=0
71,https://s3-media0.fl.yelpcdn.com/bphoto/4kWKSGWScC4knKxv_zTnYg/l.jpg,The Beverly on Main,"7018 E Main St Scottsdale, AZ 85251",(480) 889-5580,330 reviews,"Cocktail Bars, American (New)",Mon 4:00 PM - 2:00 AM (Next day) Tue 4:00 PM - 2:00 AM (Next day) Wed 4:00 PM - 2:00 AM (Next day) Thu 4:00 PM - 2:00 AM (Next day) Fri 4:00 PM - 2:00 AM (Next day) Closed now Sat 4:00 PM - 2:00 AM (Next day) Sun 4:00 PM - 2:00 AM (Next day),4 star rating,https://www.beverlyonmain.com,Claimed,https://www.yelp.com/adredir?ad_business_id=8zDDjKt2rUF_qP0ONcuU5A&campaign_id=L2-I90uYdRrqausU4cjBGg&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2F36-below-phoenix&request_id=688904ac29cb6a63&signature=47805dba49a015687c3c1d237f8eafa18d7a20dd85f37ee31b2c297a92376b8a&slot=0
