,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant_url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/qIm81dA1uAhZB48UOghunA/l.jpg,Barrels & Billets,"800 W Main St Louisville, KY 40202",(877) 855-7468,12 reviews,"Distilleries, Whiskey Bars",Mon 11:00 AM - 6:00 PM Tue Closed Wed Closed Closed now Thu 11:00 AM - 6:00 PM Fri 11:00 AM - 7:00 PM Sat 11:00 AM - 7:00 PM Sun 1:00 AM - 6:00 PM,4.5 star rating,http://www.barrelsandbillets.c…,Claimed,https://www.yelp.com/adredir?ad_business_id=1X49A1XUBehdhjpajUkikQ&campaign_id=km18Ye0SLyOMzesdcm4cDA&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbarrels-and-billets-louisville&request_id=aaa321bb25c0e929&signature=4d37b2af1627eb247c0b5445802a9bc9d26f50b40f63c3f142dfbaa18c15b79d&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/mWmOKsm9csA7LrsQ4DENFQ/l.jpg,Old Towne Beer Hall & Growler,"55 E Court St Franklin, IN 46131",(317) 739-0158,7 reviews,Bars,Mon Closed Tue 6:00 PM - 11:00 PM Wed 6:00 PM - 11:00 PM Open now Thu 6:00 PM - 11:00 PM Fri 6:00 PM - 1:00 AM (Next day) Sat 12:00 PM - 1:00 AM (Next day) Sun 11:00 AM - 6:00 PM,4.5 star rating,https://www.oldtownebeer.com,Claimed,https://www.yelp.com/adredir?ad_business_id=Z0MvFbKsoB7hsQxuB_lEBw&campaign_id=nOstJeo28KYI7jjYVNjPOw&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fold-towne-beer-hall-and-growler-franklin&request_id=aaa321bb25c0e929&signature=602749de0158c192bd8058cff25e8172f08ee34a0302b9101a08e97f61d9af12&slot=1
2,https://s3-media0.fl.yelpcdn.com/bphoto/LDmFAaz6i_YjZe4dCvneng/l.jpg,Never Say Die,"3900 Shelbyville Rd Louisville, KY 40207",,16 reviews,Cocktail Bars,Mon Closed Tue Closed Wed 5:00 PM - 12:00 AM (Next day) Open now Thu 5:00 PM - 12:00 AM (Next day) Fri 5:00 PM - 2:00 AM (Next day) Sat 1:00 PM - 2:00 AM (Next day) Sun 1:00 PM - 7:00 PM,5 star rating,https://www.oldtownebeer.com,Unclaimed,https://www.yelp.com/biz/never-say-die-louisville?osq=Bars
4,https://s3-media0.fl.yelpcdn.com/bphoto/f_Zi_WHJz8W8XEwEWNdH7A/l.jpg,Hell or High Water,"112 W Washington St Louisville, KY 40202",(502) 587-3057,208 reviews,"Cocktail Bars, Speakeasies, Whiskey Bars",Mon Closed Tue Closed Wed 5:00 PM - 12:00 AM (Next day) Open now Thu 5:00 PM - 1:00 AM (Next day) Fri 5:00 PM - 1:00 AM (Next day) Sat 5:00 PM - 1:00 AM (Next day) Sun Closed,4.5 star rating,https://www.hellorhighwaterbar…,Unclaimed,https://www.yelp.com/biz/hell-or-high-water-louisville?osq=Bars
6,https://s3-media0.fl.yelpcdn.com/bphoto/Ls_eItzWFEBWCMPlc602TQ/l.jpg,Library Bar,"400 S 2nd St Louisville, KY 40202",,18 reviews,Cocktail Bars,Mon 12:00 PM - 10:00 PM Tue 12:00 PM - 11:00 PM Wed 12:00 PM - 11:00 PM Open now Thu 12:00 PM - 11:00 PM Fri 12:00 PM - 1:00 AM (Next day) Sat 12:00 PM - 1:00 AM (Next day) Sun 12:00 PM - 10:00 PM,4 star rating,https://www.omnihotels.com/hot…,Unclaimed,https://www.yelp.com/biz/library-bar-louisville?osq=Bars
8,https://s3-media0.fl.yelpcdn.com/bphoto/qSMODR38-Oo9WMtb4dNS9Q/l.jpg,Trouble Bar,"1149 S Shelby St Louisville, KY 40203",(502) 384-2101,62 reviews,"Cocktail Bars, Whiskey Bars",Mon 5:00 PM - 12:00 AM (Next day) Tue 5:00 PM - 12:00 AM (Next day) Wed 5:00 PM - 12:00 AM (Next day) Open now Thu 5:00 PM - 12:00 AM (Next day) Fri 5:00 PM - 12:00 AM (Next day) Sat 5:00 PM - 12:00 AM (Next day) Sun Closed,5 star rating,http://www.troublebarlou.com,Claimed,https://www.yelp.com/biz/trouble-bar-louisville?osq=Bars
10,https://s3-media0.fl.yelpcdn.com/bphoto/dj1BXGy8JevugtMOm4UC6A/l.jpg,Gertie's Whiskey Bar - NuLu,"821 E Market St Ste 101 Louisville, KY 40206",(502) 785-6800,29 reviews,"Whiskey Bars, Wine Bars, Cocktail Bars",Mon 4:00 PM - 10:00 PM Tue 4:00 PM - 12:00 AM (Next day) Wed 4:00 PM - 12:00 AM (Next day) Open now Thu 4:00 PM - 12:00 AM (Next day) Fri 4:00 PM - 1:00 AM (Next day) Sat 4:00 PM - 1:00 AM (Next day) Sun 2:00 PM - 10:00 PM,4.5 star rating,https://www.gertieswhiskeybar.…,Claimed,https://www.yelp.com/biz/gerties-whiskey-bar-nulu-louisville-2?osq=Bars
12,https://s3-media0.fl.yelpcdn.com/bphoto/EX7AV6w4-J59UnyHYNGwRQ/l.jpg,Against The Grain Brewery & Smokehouse,"401 E Main St Louisville, KY 40202",(502) 515-0174,1194 reviews,"Breweries, Smokehouse, Salad",Mon 4:00 PM - 10:00 PM Tue 11:00 AM - 10:00 PM Wed 11:00 AM - 10:00 PM Open now Thu 11:00 AM - 10:00 PM Fri 11:00 AM - 10:00 PM Sat 11:00 AM - 10:00 PM Sun 11:00 AM - 9:00 PM,4 star rating,https://atgbrewery.com,Claimed,https://www.yelp.com/biz/against-the-grain-brewery-and-smokehouse-louisville-6?osq=Bars
14,https://s3-media0.fl.yelpcdn.com/bphoto/6XqDWWc8CRYt6HrMeg1TKA/l.jpg,Black Rabbit,"120 Sears Ave Louisville, KY 40207",(502) 897-9721,22 reviews,Lounges,Mon Closed Tue Closed Wed 6:00 PM - 12:00 AM (Next day) Open now Thu 6:00 PM - 12:00 AM (Next day) Fri 6:00 PM - 12:00 AM (Next day) Sat 6:00 PM - 12:00 AM (Next day) Sun Closed,4.5 star rating,http://equusrestaurant.com/bla…,Unclaimed,https://www.yelp.com/biz/black-rabbit-louisville?osq=Bars
16,https://s3-media0.fl.yelpcdn.com/bphoto/O7fq3N68KiShi9zomiwNpg/l.jpg,Darlings,"1765 Bardstown Rd Louisville, KY 40205",,18 reviews,Bars,,4.5 star rating,http://equusrestaurant.com/bla…,Unclaimed,https://www.yelp.com/biz/darlings-louisville?osq=Bars
18,https://s3-media0.fl.yelpcdn.com/bphoto/-Bxau9KTHHpR5hvyjL29CQ/l.jpg,Copper & Kings Rooftop Bar & Restaurant,"1121 E Washington St Copper and Kings Louisville, KY 40206",(502) 561-0269,108 reviews,"Cocktail Bars, American (New), Distilleries",Mon Closed Tue Closed Wed Closed Closed now Thu 5:00 PM - 10:00 PM Fri 5:00 PM - 10:00 PM Sat 12:00 PM - 10:00 PM Sun 12:00 PM - 6:00 PM,4.5 star rating,http://www.copperandkings.com/…,Claimed,https://www.yelp.com/biz/copper-and-kings-rooftop-bar-and-restaurant-louisville-2?osq=Bars
20,https://s3-media0.fl.yelpcdn.com/bphoto/ti-xU0JCf6FT4HeJHAYGCQ/l.jpg,Over Look,"711 E Jefferson St Louisville, KY 40202",(502) 561-0269,3 reviews,"Bars, Venues & Event Spaces",,5 star rating,http://www.copperandkings.com/…,Unclaimed,https://www.yelp.com/biz/over-look-louisville?osq=Bars
22,https://s3-media0.fl.yelpcdn.com/bphoto/RygCdGsRGkEphGQJyMHTNw/l.jpg,ZEGGZ Amazing Eggs,"11615 Shelbyville Rd Ste 102 Louisville, KY 40243",(502) 882-1650,221 reviews,"Breakfast & Brunch, Sandwiches, Champagne Bars",Mon 7:00 AM - 2:00 PM Tue 7:00 AM - 2:00 PM Wed 7:00 AM - 2:00 PM Closed now Thu 7:00 AM - 2:00 PM Fri 7:00 AM - 2:00 PM Sat 7:00 AM - 2:00 PM Sun 7:00 AM - 2:00 PM,3.5 star rating,http://www.zeggzeggz.com,Claimed,https://www.yelp.com/adredir?ad_business_id=v5HAnl4F0gCZB0sxjkbOwA&campaign_id=vzsX5r3NhQxLw6-A61wrVw&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fzeggz-amazing-eggs-louisville-6&request_id=aaa321bb25c0e929&signature=a54632ee4561de4afac507ad8903936c6c2339c469686b09463017dc667f480d&slot=0
23,https://s3-media0.fl.yelpcdn.com/bphoto/qIm81dA1uAhZB48UOghunA/l.jpg,Barrels & Billets,"800 W Main St Louisville, KY 40202",(877) 855-7468,12 reviews,"Distilleries, Whiskey Bars",Mon 11:00 AM - 6:00 PM Tue Closed Wed Closed Closed now Thu 11:00 AM - 6:00 PM Fri 11:00 AM - 7:00 PM Sat 11:00 AM - 7:00 PM Sun 1:00 AM - 6:00 PM,4.5 star rating,http://www.barrelsandbillets.c…,Claimed,https://www.yelp.com/adredir?ad_business_id=1X49A1XUBehdhjpajUkikQ&campaign_id=km18Ye0SLyOMzesdcm4cDA&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbarrels-and-billets-louisville&request_id=19d99ad812e11a39&signature=c3b533ad2e7793d5ebab9711eb6afc1fbfb647ab2d8bca2eed601c3a3ec830f9&slot=0
24,https://s3-media0.fl.yelpcdn.com/bphoto/mWmOKsm9csA7LrsQ4DENFQ/l.jpg,Old Towne Beer Hall & Growler,"55 E Court St Franklin, IN 46131",(317) 739-0158,7 reviews,Bars,Mon Closed Tue 6:00 PM - 11:00 PM Wed 6:00 PM - 11:00 PM Open now Thu 6:00 PM - 11:00 PM Fri 6:00 PM - 1:00 AM (Next day) Sat 12:00 PM - 1:00 AM (Next day) Sun 11:00 AM - 6:00 PM,4.5 star rating,https://www.oldtownebeer.com,Claimed,https://www.yelp.com/adredir?ad_business_id=Z0MvFbKsoB7hsQxuB_lEBw&campaign_id=-Cn2-5dlt96xbunrEvHg1A&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fold-towne-beer-hall-and-growler-franklin&request_id=19d99ad812e11a39&signature=81f36f46f412f7b246757d454ce2f4ee2cabea3a1d43539f564be72e7843e66d&slot=1
25,https://s3-media0.fl.yelpcdn.com/bphoto/z0MlHts2kSJ_6qxJymqMQQ/l.jpg,Jockey Silks Bourbon Bar,"140 N Fourth St Fl 2 West Tower Louisville, KY 40202",(502) 566-3205,78 reviews,"Lounges, Whiskey Bars",Mon 11:00 AM - 12:00 AM (Next day) Tue 11:00 AM - 12:00 AM (Next day) Wed 11:00 AM - 12:00 AM (Next day) Open now Thu 11:00 AM - 12:00 AM (Next day) Fri 11:00 AM - 1:00 AM (Next day) Sat 11:00 AM - 1:00 AM (Next day) Sun 11:00 AM - 11:00 PM,4.5 star rating,http://jockeysilksbourbonbar.c…,Claimed,https://www.yelp.com/biz/jockey-silks-bourbon-bar-louisville?osq=Bars
27,https://s3-media0.fl.yelpcdn.com/bphoto/AB8fiG8trf4-5DziI6UFug/l.jpg,Michter's Fort Nelson Distillery,"801 West Main St Louisville, KY 40202",(502) 389-4290,97 reviews,"Distilleries, Cocktail Bars, Whiskey Bars",Mon Closed Tue Closed Wed 10:00 AM - 8:00 PM Open now Thu 10:00 AM - 8:00 PM Fri 10:00 AM - 11:00 PM Sat 10:00 AM - 11:00 PM Sun 12:30 PM - 6:00 PM,4.5 star rating,http://www.michters.com,Claimed,https://www.yelp.com/biz/michters-fort-nelson-distillery-louisville?osq=Bars
29,https://s3-media0.fl.yelpcdn.com/bphoto/B-zhq4-2K48c1uWRHRtiAQ/l.jpg,Nouvelle Bar & Bottle,"214 S Clay St Ste B Louisville, KY 40202",(502) 631-9428,102 reviews,"Wine Bars, Beer, Wine & Spirits, Wine Tasting Classes",Mon Closed Tue 4:00 PM - 10:00 PM Wed 4:00 PM - 10:00 PM Open now Thu 4:00 PM - 10:00 PM Fri 4:00 PM - 11:00 PM Sat 2:00 PM - 11:00 PM Sun 2:00 PM - 8:00 PM,4.5 star rating,http://nouvellewine.com,Claimed,https://www.yelp.com/biz/nouvelle-bar-and-bottle-louisville?osq=Bars
31,https://s3-media0.fl.yelpcdn.com/bphoto/qIm81dA1uAhZB48UOghunA/l.jpg,Barrels & Billets,"800 W Main St Louisville, KY 40202",(877) 855-7468,12 reviews,"Distilleries, Whiskey Bars",Mon 11:00 AM - 6:00 PM Tue Closed Wed Closed Closed now Thu 11:00 AM - 6:00 PM Fri 11:00 AM - 7:00 PM Sat 11:00 AM - 7:00 PM Sun 1:00 AM - 6:00 PM,4.5 star rating,http://www.barrelsandbillets.c…,Claimed,https://www.yelp.com/biz/barrels-and-billets-louisville?osq=Bars
33,https://s3-media0.fl.yelpcdn.com/bphoto/kcilselUelr3BJOQf3CvOQ/l.jpg,Sidebar At Whiskey Row,"129 N 2nd St Louisville, KY 40202",(502) 630-2012,722 reviews,"American (New), Burgers, Whiskey Bars",Mon Closed Tue Closed Wed 5:00 PM - 9:00 PM Open now Thu 11:30 AM - 9:30 PM Fri 11:30 AM - 10:00 PM Sat 12:00 PM - 10:00 PM Sun Closed,4.5 star rating,http://www.barrelsandbillets.c…,Claimed,https://www.yelp.com/biz/sidebar-at-whiskey-row-louisville?osq=Bars
35,https://s3-media0.fl.yelpcdn.com/bphoto/oKQ5AJVWnnSqx9TCgKPjCA/l.jpg,Howl at the Moon Louisville,"434 S 4th St Louisville, KY 40202",(502) 532-4695,119 reviews,"Music Venues, Bars, Venues & Event Spaces",Mon Closed Tue Closed Wed Closed Closed now Thu 7:00 PM - 2:00 AM (Next day) Fri 7:00 PM - 2:00 AM (Next day) Sat 7:00 PM - 2:00 AM (Next day) Sun Closed,4 star rating,https://www.howlatthemoon.com/…,Claimed,https://www.yelp.com/biz/howl-at-the-moon-louisville-louisville?osq=Bars
38,https://s3-media0.fl.yelpcdn.com/bphoto/uTqvFGZMFskBzzl4rKx1HQ/l.jpg,The Limbo,Verified by Business,(502) 822-1222,84 reviews,"Tiki Bars, Poke, Venues & Event Spaces",Mon Closed Tue 5:00 PM - 12:00 AM (Next day) Wed 5:00 PM - 12:00 AM (Next day) Open now Thu 5:00 PM - 12:00 AM (Next day) Fri 5:00 PM - 2:00 AM (Next day) Sat 5:00 PM - 2:00 AM (Next day) Sun Closed,4 star rating,https://www.thelimbo.club,Claimed,https://www.yelp.com/biz/the-limbo-louisville?osq=Bars
40,https://s3-media0.fl.yelpcdn.com/bphoto/9uOiUcB4HLfyXO38mG-Ftg/l.jpg,Noble Funk Brewing,"922 S 2nd St Louisville, KY 40203",(502) 755-2739,18 reviews,Brewpubs,Mon Closed Tue Closed Wed 4:00 PM - 10:00 PM Open now Thu 4:00 PM - 10:00 PM Fri 3:00 PM - 10:00 PM Sat 2:00 PM - 10:00 PM Sun 2:00 PM - 8:00 PM,4.5 star rating,https://noblefunk.com,Claimed,https://www.yelp.com/biz/noble-funk-brewing-louisville?osq=Bars
42,https://s3-media0.fl.yelpcdn.com/bphoto/F_f-dcv4fsLd0KngX-sJog/l.jpg,Third Street Dive,"442 S 3rd St Louisville, KY 40202",(502) 749-3483,93 reviews,"Dive Bars, Lounges, Karaoke",Mon 4:00 PM - 4:00 AM (Next day) Tue 4:00 PM - 4:00 AM (Next day) Wed 4:00 PM - 4:00 AM (Next day) Open now Thu 4:00 PM - 4:00 AM (Next day) Fri 4:00 PM - 4:00 AM (Next day) Sat 4:00 PM - 4:00 AM (Next day) Sun 6:00 PM - 2:00 AM (Next day),3.5 star rating,https://www.reverbnation.com/v…,Claimed,https://www.yelp.com/biz/third-street-dive-louisville?osq=Bars
