,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/KXCpXjwgBfTJOdzi0pQaMQ/l.jpg,Sonic Drive-In,"1960 Suburban Ave Saint Paul, MN 55119",(651) 379-9898,65 reviews,"Fast Food, Burgers, Ice Cream & Frozen Yogurt",Mon 8:00 AM - 11:00 PM Tue 8:00 AM - 11:00 PM Open now Wed 8:00 AM - 11:00 PM Thu 8:00 AM - 11:00 PM Fri 8:00 AM - 12:00 AM (Next day) Sat 8:00 AM - 12:00 AM (Next day) Sun 8:00 AM - 11:00 PM,2 star rating,http://www.sonicdrivein.com,Claimed,https://www.yelp.com/adredir?ad_business_id=KYhOg5txsOvTJqQJht5WUQ&campaign_id=85Y1qVE9aCx7yb3jtbVt2g&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsonic-drive-in-saint-paul&request_id=e1a27e530ebfb0f9&signature=8c4a84bbfefa0fb0bf27cc4b253b6ce789d93da51e14afbf0fd7cac133b6cd93&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/UDpPiL5QJN_AsWamdnePeQ/l.jpg,Wendy's,"612 W. University Ave. Saint Paul, MN 55103",(651) 702-7699,18 reviews,"Burgers, Fast Food",Mon 10:00 AM - 12:00 AM (Next day) Tue 10:00 AM - 12:00 AM (Next day) Open now Wed 10:00 AM - 12:00 AM (Next day) Thu 10:00 AM - 12:00 AM (Next day) Fri 10:00 AM - 12:00 AM (Next day) Sat 10:00 AM - 12:00 AM (Next day) Sun 10:00 AM - 10:00 PM,1.5 star rating,https://www.wendys.com,Claimed,https://www.yelp.com/adredir?ad_business_id=gjeNHaNDs_Bf3FVCRjtr_Q&campaign_id=LxNwvuWxR4A68ZCV3Pp4lA&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fwendys-saint-paul-16&request_id=e1a27e530ebfb0f9&signature=deb69ba5fe9dedf35b93d5137cddb967c910f6c72724eb9eeaf65a7a10d6fb82&slot=1
2,https://s3-media0.fl.yelpcdn.com/bphoto/lrIBGGXsFMvIPcWYzzXxqQ/l.jpg,Gray Duck Tavern,"345 Wabasha St Saint Paul, MN 55102",(651) 756-8063,200 reviews,American (Traditional),Mon Closed Tue 11:00 AM - 10:00 PM Open now Wed 11:00 AM - 10:00 PM Thu 11:00 AM - 10:00 PM Fri 11:00 AM - 10:00 PM Sat 3:00 PM - 10:00 PM Sun Closed,4 star rating,https://www.grayducktavern.com,Unclaimed,https://www.yelp.com/biz/gray-duck-tavern-saint-paul?osq=restaurants
3,https://s3-media0.fl.yelpcdn.com/bphoto/Y4iu2XzwjHMYsRhTQBmQYA/l.jpg,Em Que Viet,"1332 Grand Ave Saint Paul, MN 55105",,9 reviews,Vietnamese,,4.5 star rating,https://www.grayducktavern.com,Unclaimed,https://www.yelp.com/biz/em-que-viet-saint-paul?osq=restaurants
4,https://s3-media0.fl.yelpcdn.com/bphoto/IITF00-7pzrpm78IE3i0Ew/l.jpg,Tongue In Cheek,"989 Payne Ave Saint Paul, MN 55130",(651) 888-6148,580 reviews,American (New),Mon Closed Tue Closed Closed now Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 9:00 PM Sat 11:00 AM - 9:00 PM Sun 11:00 AM - 9:00 PM,4.5 star rating,http://tongueincheek.biz,Claimed,https://www.yelp.com/biz/tongue-in-cheek-saint-paul?osq=restaurants
5,https://s3-media0.fl.yelpcdn.com/bphoto/Sn34Mzl84_vn8-gF0eMAQQ/l.jpg,Parlour Bar St. Paul,"267 W 7th St Saint Paul, MN 55102",(651) 207-4433,215 reviews,"American (New), Cocktail Bars",Mon 4:00 PM - 10:00 PM Tue 4:00 PM - 10:00 PM Open now Wed 4:00 PM - 10:00 PM Thu 4:00 PM - 10:00 PM Fri 4:00 PM - 11:00 PM Sat 11:00 AM - 11:00 PM Sun 11:00 AM - 10:00 PM,4 star rating,http://www.parlourbar.com,Claimed,https://www.yelp.com/biz/parlour-bar-st-paul-saint-paul-3?osq=restaurants
6,https://s3-media0.fl.yelpcdn.com/bphoto/yA2hrNZguYcW8UH11L7B8A/l.jpg,A-Side Public House,"754 Randolph Ave Saint Paul, MN 55102",(651) 756-1351,82 reviews,"Coffee & Tea, American (Traditional), Brewpubs",Mon 7:30 AM - 9:00 PM Tue 7:30 AM - 9:00 PM Open now Wed 7:30 AM - 9:00 PM Thu 7:30 AM - 9:00 PM Fri 7:30 AM - 10:00 PM Sat 7:30 AM - 10:00 PM Sun 8:00 AM - 9:00 PM,4.5 star rating,http://www.asidepublichouse.co…,Claimed,https://www.yelp.com/biz/a-side-public-house-saint-paul?osq=restaurants
7,https://s3-media0.fl.yelpcdn.com/bphoto/87RTo7qEcaC3h8tN-Demcw/l.jpg,Just/Us Eatery,"275 4th St E Ste 102 Saint Paul, MN 55101",(763) 290-8431,53 reviews,"American (New), Italian, Burgers",Mon 4:00 PM - 8:30 PM Tue 4:00 PM - 8:30 PM Open now Wed 4:00 PM - 8:30 PM Thu 4:00 PM - 8:30 PM Fri 4:00 PM - 8:30 PM Sat 11:00 AM - 8:30 PM Sun Closed,4.5 star rating,https://justuseatery.com,Claimed,https://www.yelp.com/biz/just-us-e-a-t-ery-saint-paul?osq=restaurants
8,https://s3-media0.fl.yelpcdn.com/bphoto/8AJzlO1WaFv7dtx4WLvuaA/l.jpg,Handsome Hog,"173 Western Ave N St Paul, MN 55102",(651) 219-4013,582 reviews,"Southern, Waffles, Cocktail Bars",Mon 11:00 AM - 11:00 PM Tue 11:00 AM - 11:00 PM Open now Wed 11:00 AM - 11:00 PM Thu 11:00 AM - 11:00 PM Fri 11:00 AM - 12:00 AM (Next day) Sat 10:00 AM - 12:00 AM (Next day) Sun 10:00 AM - 11:00 PM,4 star rating,http://handsomehog.com,Unclaimed,https://www.yelp.com/biz/handsome-hog-st-paul?osq=restaurants
9,https://s3-media0.fl.yelpcdn.com/bphoto/RcRidL9NpDFJGpAKxrPMyQ/l.jpg,Pillbox Tavern,"400 Wabasha St N Ste 220 Saint Paul, MN 55102",(651) 756-7566,47 reviews,"Sports Bars, Burgers, American (Traditional)",Mon 11:00 AM - 1:00 AM (Next day) Tue 11:00 AM - 1:00 AM (Next day) Open now Wed 11:00 AM - 1:00 AM (Next day) Thu 11:00 AM - 1:00 AM (Next day) Fri 11:00 AM - 1:00 AM (Next day) Sat 11:00 AM - 1:00 AM (Next day) Sun 11:00 AM - 1:00 AM (Next day),4 star rating,http://pillboxtav.com,Claimed,https://www.yelp.com/biz/pillbox-tavern-saint-paul?osq=restaurants
