,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/GScHZeIdk0NPxmtT68d5MQ/l.jpg,Sonic Drive-In,"601 North Main St Billings, MT 59105",(406) 245-2197,48 reviews,"Fast Food, Burgers, Ice Cream & Frozen Yogurt",Mon 8:00 AM - 11:00 PM Tue 8:00 AM - 11:00 PM Open now Wed 8:00 AM - 11:00 PM Thu 8:00 AM - 11:00 PM Fri 8:00 AM - 11:00 PM Sat 8:00 AM - 11:00 PM Sun 8:00 AM - 11:00 PM,1.5 star rating,http://www.sonicdrivein.com,Claimed,https://www.yelp.com/adredir?ad_business_id=D0HuXizLazYZxZNNxDzmGg&campaign_id=T8hmYpJrT0VrphHrgEej6g&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsonic-drive-in-billings&request_id=9a50bde03ae4efba&signature=a1c4b8fd596e8729b9eae05fbd3ca817b906e86840771936c264e4a83b9e8478&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/zvhv5QbUDHUvcWLBL0wC_w/l.jpg,Pizza Hut,"2636 Belknap Ave Billings, MT 59101",(406) 252-7500,5 reviews,"Pizza, Chicken Wings, Fast Food",Mon 11:00 AM - 11:00 PM Tue 11:00 AM - 11:00 PM Open now Wed 11:00 AM - 11:00 PM Thu 11:00 AM - 11:00 PM Fri 11:00 AM - 12:00 AM (Next day) Sat 11:00 AM - 12:00 AM (Next day) Sun 11:00 AM - 11:00 PM,2 star rating,http://pizzahut.com,Claimed,https://www.yelp.com/adredir?ad_business_id=EaZ2hdBuC93tjZZcubQsEw&campaign_id=px40EBePk55wubydXesuMw&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fpizza-hut-billings-3&request_id=9a50bde03ae4efba&signature=312fdb0fba14761c1abaa68833d50c300dea6b0bdefa14ed850c5e8328a90799&slot=1
2,https://s3-media0.fl.yelpcdn.com/bphoto/Xs_YcvC1y7vA4IkwlrybRg/l.jpg,The Marble Table,"2515 Montana Ave Billings, MT 59101",(406) 281-8891,55 reviews,Comfort Food,Mon Closed Tue 11:00 AM - 2:00 PM 5:00 PM - 9:00 PM Open now Wed 11:00 AM - 2:00 PM 5:00 PM - 9:00 PM Thu 11:00 AM - 2:00 PM 5:00 PM - 9:00 PM Fri 11:00 AM - 2:00 PM 5:00 PM - 9:00 PM Sat 11:00 AM - 2:00 PM 5:00 PM - 9:00 PM Sun Closed,5 star rating,http://www.themarbletablemt.co…,Claimed,https://www.yelp.com/biz/the-marble-table-billings?osq=restaurants
3,https://s3-media0.fl.yelpcdn.com/bphoto/4X3GUqqbixSE-N9opZYjzA/l.jpg,The Fieldhouse,"2601 Minnesota Ave Ste 3 Billings, MT 59101",(406) 534-2556,401 reviews,"American (New), Desserts, Breakfast & Brunch",Mon Closed Tue 11:00 AM - 3:00 PM 5:00 PM - 9:00 PM Open now Wed 11:00 AM - 3:00 PM 5:00 PM - 9:00 PM Thu 11:00 AM - 3:00 PM 5:00 PM - 9:00 PM Fri 11:00 AM - 3:00 PM 5:00 PM - 9:00 PM Sat 9:00 AM - 2:00 PM 5:00 PM - 9:00 PM Sun 9:00 AM - 2:00 PM,4.5 star rating,http://www.thefieldhousemt.com,Claimed,https://www.yelp.com/biz/the-fieldhouse-billings?osq=restaurants
4,https://s3-media0.fl.yelpcdn.com/bphoto/ogXnTS4IU43E_OS1blZfmQ/l.jpg,Walkers,"2700 1st Ave N Billings, MT 59101",(406) 245-9291,237 reviews,"American (New), Bars, Desserts",Mon 4:00 PM - 10:00 PM Tue 4:00 PM - 10:00 PM Open now Wed 4:00 PM - 10:00 PM Thu 4:00 PM - 10:00 PM Fri 4:00 PM - 10:30 PM Sat 5:00 PM - 10:30 PM Sun 5:00 PM - 10:00 PM,4 star rating,https://walkersgrill.com,Claimed,https://www.yelp.com/biz/walkers-billings-3?osq=restaurants
5,https://s3-media0.fl.yelpcdn.com/bphoto/pCB74qHU8-VBmM61CcZusQ/l.jpg,Buffalo Block Prime Steakhouse,"2401 Montana Ave Billings, MT 59101",(406) 245-7477,81 reviews,"Steakhouses, Seafood",Mon 4:00 PM - 9:00 PM Tue 4:00 PM - 9:00 PM Open now Wed 4:00 PM - 9:00 PM Thu 4:00 PM - 9:00 PM Fri 11:00 AM - 10:00 PM Sat 11:00 AM - 10:00 PM Sun Closed,4.5 star rating,https://buffaloblock.com,Claimed,https://www.yelp.com/biz/buffalo-block-prime-steakhouse-billings?osq=restaurants
6,https://s3-media0.fl.yelpcdn.com/bphoto/XBu6jq14MjMK4Geix4PdrQ/l.jpg,Montana Brewing Company,"113 N 28th St Billings, MT 59101",(406) 252-9200,436 reviews,"Breweries, Fish & Chips, Burgers",Mon 11:00 AM - 1:00 AM (Next day) Tue 11:00 AM - 1:00 AM (Next day) Open now Wed 11:00 AM - 1:00 AM (Next day) Thu 11:00 AM - 1:00 AM (Next day) Fri 11:00 AM - 1:00 AM (Next day) Sat 11:00 AM - 1:00 AM (Next day) Sun 11:00 AM - 1:00 AM (Next day),4 star rating,http://www.montanabrewingcompa…,Claimed,https://www.yelp.com/biz/montana-brewing-company-billings-2?osq=restaurants
7,https://s3-media0.fl.yelpcdn.com/bphoto/ZHAr_ZZ5fUBtv3Vq1AByxA/l.jpg,"Stacked, A Montana Grill","106 North Broadway Billings, MT 59101",(406) 534-8702,105 reviews,American (New),Mon 11:00 AM - 9:00 PM Tue 11:00 AM - 9:00 PM Open now Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 10:30 PM Sat 11:00 AM - 10:30 PM Sun Closed,4 star rating,http://stackedamontanagrill.co…,Unclaimed,https://www.yelp.com/biz/stacked-a-montana-grill-billings?osq=restaurants
8,https://s3-media0.fl.yelpcdn.com/bphoto/p6gPoVdRCkTLQB5IN4e6Cg/l.jpg,Uberbrew,"2305 Montana Ave Billings, MT 59101",(406) 534-6960,333 reviews,"Gastropubs, Breweries",Mon 11:00 AM - 9:00 PM Tue 11:00 AM - 9:00 PM Open now Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 9:00 PM Sat 11:00 AM - 9:00 PM Sun 11:00 AM - 9:00 PM,4.5 star rating,http://www.uberbrew.beer,Claimed,https://www.yelp.com/biz/uberbrew-billings?osq=restaurants
9,https://s3-media0.fl.yelpcdn.com/bphoto/RQE9jmHkPjNG5PXQsS1mxA/l.jpg,Jook A Chicken Joint - Billings,"115 N 29th St Billings, MT 59101",(406) 200-7530,9 reviews,"Chicken Shop, Chicken Wings, Southern",Mon 7:00 AM - 2:00 PM Tue 7:00 AM - 7:00 PM Open now Wed 7:00 AM - 7:00 PM Thu 7:00 AM - 7:00 PM Fri 7:00 AM - 9:00 PM Sat 7:00 AM - 9:00 PM Sun 7:00 AM - 2:00 PM,4.5 star rating,http://jookchickenjoint.com,Claimed,https://www.yelp.com/biz/jook-a-chicken-joint-billings-billings?osq=restaurants
