,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/D2zMCOocrEddvkbyCSVuPw/l.jpg,Dave & Buster's,"1500 S Willow St Ste 120 Manchester, NH 03103",(603) 506-3100,30 reviews,"Bars, American (Traditional), Arcades",Mon 11:00 AM - 12:00 AM (Next day) Tue 11:00 AM - 12:00 AM (Next day) Open now Wed 11:00 AM - 12:00 AM (Next day) Thu 11:00 AM - 12:00 AM (Next day) Fri 11:00 AM - 1:00 AM (Next day) Sat 11:00 AM - 1:00 AM (Next day) Sun 11:00 AM - 12:00 AM (Next day),2.5 star rating,https://www.daveandbusters.com,Claimed,https://www.yelp.com/adredir?ad_business_id=V5tEFEP3L2jWjtzkObD8Yg&campaign_id=SeNSU0bN6YNWlkdTS924qg&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdave-and-busters-manchester-10&request_id=7f91e673bbf0e506&signature=f9ea99b7652cb6a19a1ad77cbfe53811577f785ddec609986cc6dd0eec8f63a3&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/lmbU4BvoJZ29Gd1g3jsIlw/l.jpg,Applebee's Grill + Bar,"260 Loudon Rd Steeplegate Mall Concord, NH 03301",(603) 224-6600,37 reviews,"American (Traditional), Sports Bars, Burgers",Mon 11:00 AM - 12:00 AM (Next day) Tue 11:00 AM - 12:00 AM (Next day) Open now Wed 11:00 AM - 12:00 AM (Next day) Thu 11:00 AM - 12:00 AM (Next day) Fri 11:00 AM - 1:00 AM (Next day) Sat 11:00 AM - 1:00 AM (Next day) Sun 11:00 AM - 12:00 AM (Next day),3 star rating,https://www.applebees.com,Claimed,https://www.yelp.com/adredir?ad_business_id=u5x5Fc0eXDt7Ak99ADgVHg&campaign_id=a_Y0qL7x9LeRrko23oMG7Q&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fapplebees-grill-bar-concord-3&request_id=7f91e673bbf0e506&signature=915b8cb105fdf50ff318db4cf99c8eed13d87c7c4d62854b521867e78ad728e7&slot=1
2,https://s3-media0.fl.yelpcdn.com/bphoto/Q_0V7nWE6nlz2wgOOUmKOg/l.jpg,White Mountain Tavern,"527 US-3 Lincoln, NH 03251",(857) 939-5733,44 reviews,"Comfort Food, Cocktail Bars, Music Venues",Mon 5:00 PM - 10:00 PM Tue 5:00 PM - 10:00 PM Open now Wed 5:00 PM - 10:00 PM Thu 5:00 PM - 10:00 PM Fri 5:00 PM - 10:00 PM Sat 4:00 PM - 10:00 PM Sun 4:00 PM - 10:00 PM,4 star rating,http://www.whitemountaintavern…,Claimed,https://www.yelp.com/biz/white-mountain-tavern-lincoln-6?osq=restaurants
3,https://s3-media0.fl.yelpcdn.com/bphoto/Nn1QojFlkS-siOmR49jzzg/l.jpg,Gypsy Cafe,"117 Main St Route 112 Lincoln, NH 03251",(603) 745-4395,595 reviews,"American (New), Vegetarian, Peruvian",Mon Closed Tue Closed Closed now Wed Closed Thu 11:30 AM - 4:00 PM 5:00 PM - 8:30 PM Fri 11:30 AM - 4:00 PM 5:00 PM - 9:00 PM Sat 11:30 AM - 4:00 PM 5:00 PM - 9:00 PM Sun 11:30 AM - 4:00 PM 5:00 PM - 8:00 PM,4.5 star rating,http://www.menubrowser.com,Unclaimed,https://www.yelp.com/biz/gypsy-cafe-lincoln?osq=restaurants
4,https://s3-media0.fl.yelpcdn.com/bphoto/whk--tnZfSYkXk9E8DD_fw/l.jpg,Rustic River Restaurant,"5 Main St North Woodstock, NH 03262",(603) 745-2110,127 reviews,"Burgers, Pizza, American (Traditional)",Mon Closed Tue Closed Closed now Wed Closed Thu 12:00 PM - 9:00 PM Fri 12:00 PM - 9:00 PM Sat 12:00 PM - 9:00 PM Sun 12:00 PM - 9:00 PM,4 star rating,http://rusticriverrestaurant.c…,Unclaimed,https://www.yelp.com/biz/rustic-river-restaurant-north-woodstock?osq=restaurants
5,https://s3-media0.fl.yelpcdn.com/bphoto/DvFSHunJXBV-L0g_YE0cwA/l.jpg,The Common Man Restaurant,"10 Pollard Rd Lincoln, NH 03251",(603) 745-3463,663 reviews,American (Traditional),Mon 4:00 PM - 9:00 PM Tue 4:00 PM - 9:00 PM Open now Wed 4:00 PM - 9:00 PM Thu 4:00 PM - 9:00 PM Fri 4:00 PM - 9:30 PM Sat 4:00 PM - 9:30 PM Sun 4:00 PM - 9:00 PM,4 star rating,http://www.thecman.com,Claimed,https://www.yelp.com/biz/the-common-man-restaurant-lincoln?osq=restaurants
6,https://s3-media0.fl.yelpcdn.com/bphoto/7RJyemKUPZh4y5rHGQsbPA/l.jpg,Coyote Grill,"98 Valley Rd Waterville Valley, NH 03215",(603) 236-4919,69 reviews,"Steakhouses, American (New), Seafood",Mon 4:00 PM - 9:00 PM Tue Closed Closed now Wed Closed Thu 4:00 PM - 9:00 PM Fri 4:00 PM - 9:30 PM Sat 4:00 PM - 9:30 PM Sun 4:00 PM - 9:00 PM,4 star rating,http://wildcoyotegrill.com/,Claimed,https://www.yelp.com/biz/coyote-grill-waterville-valley?osq=restaurants
7,https://s3-media0.fl.yelpcdn.com/bphoto/4xaCaHamJgR5XgY3fkzwMQ/l.jpg,Pemi Public House,"115 Main St Woodstock, NH 03262",(603) 745-7058,112 reviews,"Bars, American (Traditional)",Mon 3:00 PM - 11:00 PM Tue Closed Closed now Wed 3:00 PM - 11:00 PM Thu 3:00 PM - 11:00 PM Fri 3:00 PM - 11:00 PM Sat 12:00 PM - 11:00 PM Sun 12:00 PM - 11:00 PM,4 star rating,http://www.pemipublichouse.com,Claimed,https://www.yelp.com/biz/pemi-public-house-woodstock?osq=restaurants
8,https://s3-media0.fl.yelpcdn.com/bphoto/hLPQ8Ow6um00B8xAleYDFA/l.jpg,Schwendi hutte,"1 Ski Area Rd Waterville Valle, NH 03285",,8 reviews,"Sandwiches, Breakfast & Brunch",,4.5 star rating,http://www.pemipublichouse.com,Unclaimed,https://www.yelp.com/biz/schwendi-hutte-waterville-valle?osq=restaurants
9,https://s3-media0.fl.yelpcdn.com/bphoto/jrUeAeLHuWwhshQd9Nynqw/l.jpg,Black Mtn Burger,"264 Main St The Depot Lincoln, NH 03251",(603) 745-3444,594 reviews,"Burgers, Hot Dogs, Sandwiches",Mon 11:30 AM - 9:00 PM Tue 11:30 AM - 9:00 PM Open now Wed Closed Thu 11:30 AM - 9:00 PM Fri 11:30 AM - 9:00 PM Sat 11:30 AM - 9:00 PM Sun 11:30 AM - 9:00 PM,4 star rating,http://blackmtnburger.com/,Claimed,https://www.yelp.com/biz/black-mtn-burger-lincoln-3?osq=restaurants
10,https://s3-media0.fl.yelpcdn.com/bphoto/DXhAKPsYQ5sGIFsMVfZ8JQ/l.jpg,Merland's Tap & Table,"96 Main St North Woodstock, NH 03262",(603) 745-8599,60 reviews,"Sandwiches, Seafood, Burgers",Mon Closed Tue Closed Closed now Wed Closed Thu 11:30 AM - 12:00 AM (Next day) Fri 11:30 AM - 12:00 AM (Next day) Sat 11:30 AM - 12:00 AM (Next day) Sun 11:30 AM - 12:00 AM (Next day),4.5 star rating,http://www.merlandsnh.com,Claimed,https://www.yelp.com/biz/merlands-tap-and-table-north-woodstock?osq=restaurants
11,https://s3-media0.fl.yelpcdn.com/bphoto/IbPYoO7Ns7ezxQyB-INL8Q/l.jpg,Clubhouse Restaurant,"3 Lost Pass Rd Waterville Valley, NH 03259",(603) 236-4805,2 reviews,"American (Traditional), Breakfast & Brunch",Mon Closed Tue Closed Closed now Wed Closed Thu Closed Fri Closed Sat 7:30 AM - 12:00 PM Sun 7:30 AM - 12:00 PM,4.5 star rating,http://www.watervillevalleygol…,Claimed,https://www.yelp.com/biz/clubhouse-restaurant-waterville-valley?osq=restaurants
