,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/IVrkCsBn_WUbUPGtFMAZ5Q/l.jpg,Schlotzsky's,"2000 N 12th St Ste 130 Bismarck, ND 58501",(701) 712-9229,20 reviews,"Sandwiches, Delis, Caterers",Mon 10:30 AM - 7:30 PM Tue 10:30 AM - 7:30 PM Open now Wed 10:30 AM - 7:30 PM Thu 10:30 AM - 7:30 PM Fri 10:30 AM - 7:30 PM Sat 10:30 AM - 7:30 PM Sun 10:30 AM - 7:30 PM,3.5 star rating,https://www.schlotzskys.com,Claimed,https://www.yelp.com/adredir?ad_business_id=eHdkq-0qG6OaSrp__ju8HA&campaign_id=iBYM61qkCbi9No5lbNJ4jw&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fschlotzskys-bismarck-3&request_id=899ca9f6c0054b0d&signature=6dc0f875bbea6173d5ca1a29d43e6c829177c69a919c34b8f65d1d68fb7bf1cc&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/qJ9YSXJhax8kqxycVHOdmw/l.jpg,Random Roadhouse,"107 Main St McClusky, ND 58463",(701) 363-2234,1 review,"Bars, American (Traditional), Desserts",Mon 11:00 AM - 8:00 PM Tue 11:00 AM - 8:00 PM Open now Wed 11:00 AM - 8:00 PM Thu 11:00 AM - 8:00 PM Fri 4:00 PM - 1:00 AM (Next day) Sat 4:00 PM - 1:00 AM (Next day) Sun 11:00 AM - 8:00 PM,4 star rating,http://www.randomroadhouse.com,Unclaimed,https://www.yelp.com/biz/random-roadhouse-mcclusky?osq=restaurants
2,https://s3-media0.fl.yelpcdn.com/bphoto/KN4KFMrSj2Jan1D3e4d_eQ/l.jpg,Harriman's Restaurant,"114 Central Ave Maddock, ND 58348",(701) 438-2723,5 reviews,"Breakfast & Brunch, Burgers, Sandwiches",Mon 6:30 AM - 9:00 PM Tue 6:30 AM - 9:00 PM Open now Wed 6:30 AM - 9:00 PM Thu 6:30 AM - 9:00 PM Fri 6:30 AM - 9:00 PM Sat 6:30 AM - 9:00 PM Sun Closed,4.5 star rating,http://www.randomroadhouse.com,Unclaimed,https://www.yelp.com/biz/harrimans-restaurant-maddock?osq=restaurants
3,https://s3-media0.fl.yelpcdn.com/bphoto/P231Yi4vOezrtvHRQhxSTA/l.jpg,Captain's Cabin,"1608 Dakota Dr Washburn, ND 58577",(701) 462-8383,7 reviews,"Bars, Burgers, Sandwiches",Mon 11:00 AM - 1:00 AM (Next day) Tue 11:00 AM - 1:00 AM (Next day) Open now Wed 11:00 AM - 1:00 AM (Next day) Thu 11:00 AM - 1:00 AM (Next day) Fri 11:00 AM - 1:00 AM (Next day) Sat 11:00 AM - 1:00 AM (Next day) Sun 11:00 AM - 10:00 PM,4.5 star rating,http://www.randomroadhouse.com,Unclaimed,https://www.yelp.com/biz/captains-cabin-washburn?osq=restaurants
4,https://s3-media0.fl.yelpcdn.com/bphoto/HaqLW47N0pNpubPpHn9lFA/l.jpg,Anamoose Bakery & Cafe,"807 1st St Anamoose, ND 58710",(701) 465-3236,3 reviews,"Bakeries, Cafes",Mon Closed Tue 6:00 AM - 10:00 PM Open now Wed 6:00 AM - 10:00 PM Thu 6:00 AM - 10:00 PM Fri 6:00 AM - 10:00 PM Sat 6:00 AM - 10:00 PM Sun Closed,5 star rating,http://www.randomroadhouse.com,Unclaimed,https://www.yelp.com/biz/anamoose-bakery-and-cafe-anamoose?osq=restaurants
5,https://s3-media0.fl.yelpcdn.com/bphoto/F-7HGI153lgCOImEffQ_Yg/l.jpg,FARMtastic Heritage Foods Hub,"707 Main St Anamoose, ND 58710",(570) 994-3675,2 reviews,"Cafes, Vegetarian, Bakeries",Mon 12:00 PM - 6:00 PM Tue 12:00 PM - 6:00 PM Closed now Wed 12:00 PM - 6:00 PM Thu 12:00 PM - 6:00 PM Fri 12:00 PM - 6:00 PM Sat Closed Sun Closed,4.5 star rating,http://www.farmtasticheritagef…,Unclaimed,https://www.yelp.com/biz/farmtastic-heritage-foods-hub-anamoose?osq=restaurants
6,https://s3-media0.fl.yelpcdn.com/bphoto/4Zbx8s_K39J-KGG9tJfWKw/l.jpg,Rosa's Pizza,"219 Harriet Ave Fessenden, ND 58438",(701) 547-3707,4 reviews,Pizza,,5 star rating,http://www.rosaspizza.com/,Unclaimed,https://www.yelp.com/biz/rosas-pizza-fessenden?osq=restaurants
7,https://s3-media0.fl.yelpcdn.com/bphoto/4Zbx8s_K39J-KGG9tJfWKw/l.jpg,Hornbacher Lunch,"116 8th St E Harvey, ND 58341",(701) 324-4776,5 reviews,Diners,,4 star rating,http://www.rosaspizza.com/,Unclaimed,https://www.yelp.com/biz/hornbacher-lunch-harvey?osq=restaurants
8,https://s3-media0.fl.yelpcdn.com/bphoto/fa_XUFBpvYx1az2AkJVpRA/l.jpg,Ice Burg,"220 9th St Washburn, ND 58577",(701) 462-3240,1 review,"Burgers, Ice Cream & Frozen Yogurt, Hot Dogs",Mon 2:00 PM - 8:00 PM Tue 2:00 PM - 8:00 PM Open now Wed Closed Thu 2:00 PM - 8:00 PM Fri 2:00 PM - 8:00 PM Sat 2:00 PM - 8:00 PM Sun 2:00 PM - 8:00 PM,5 star rating,http://www.rosaspizza.com/,Claimed,https://www.yelp.com/biz/ice-burg-washburn?osq=restaurants
9,https://s3-media0.fl.yelpcdn.com/bphoto/0M76wt_uUlISkHJN_Q32Qg/l.jpg,Hurdsfield Dairy King,"2852 Hwy 200 Hurdsfield, ND 58451",(701) 962-3654,3 reviews,American (New),,4.5 star rating,http://www.rosaspizza.com/,Unclaimed,https://www.yelp.com/biz/hurdsfield-dairy-king-hurdsfield?osq=restaurants
