,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant_url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/F5_qyLa2NQXPGl0nzVRdgA/l.jpg,Sonic Drive-In,"1308 West Girard Ave Philadelphia, PA 19123",(610) 450-4747,"Ice Cream & Frozen Yogurt,","Ice Cream & Frozen Yogurt, Fast Food, Burgers",Mon 11:30 AM - 2:00 AM (Next day) Open now Tue 11:30 AM - 2:00 AM (Next day) Wed 11:30 AM - 2:00 AM (Next day) Thu 11:30 AM - 2:00 AM (Next day) Fri 11:30 AM - 3:00 AM (Next day) Sat 11:30 AM - 3:00 AM (Next day) Sun 11:30 AM - 3:00 AM (Next day),3 star rating,http://www.sonicdrivein.com,Claimed,https://www.yelp.com/adredir?ad_business_id=QyXC_b_vyKC1ZppDxmkvjw&campaign_id=85Y1qVE9aCx7yb3jtbVt2g&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsonic-drive-in-philadelphia-6&request_id=c1e7121f3289d22a&signature=9c010b4caf9365143957b7e27b96beeacf85449ecdb4baccf93fcc0933249a79&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/NrY8DdE0GrwiKr1a_PfTUA/l.jpg,Halal Heaven,"1401 S 10th St Philadelphia, PA 19147",(215) 667-4579,Indian,Indian,Mon 10:00 AM - 8:00 PM Open now Tue 10:00 AM - 8:00 PM Wed 10:00 AM - 8:00 PM Thu 10:00 AM - 8:00 PM Fri 10:00 AM - 8:00 PM Sat 10:00 AM - 8:00 PM Sun Closed,Rating,https://halalheavenphilly.com,Claimed,https://www.yelp.com/adredir?ad_business_id=C13S2dgKCOsmQUm95Ys08w&campaign_id=9KVuJuvLCajY_wERDBUhIA&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fhalal-heaven-philadelphia&request_id=c1e7121f3289d22a&signature=c58f4f74b4ace0719479c348e5d167714cfcb055926b7a4f341136d6ad82fdb4&slot=1
2,https://s3-media0.fl.yelpcdn.com/bphoto/Ywk0ZKrvVo8cAsEf27rsEw/l.jpg,Barbuzzo,"110 S 13th St Philadelphia, PA 19107",(215) 546-9300,3005 reviews,"Mediterranean, Pizza, Italian",Mon 5:00 PM - 10:00 PM Open now Tue 5:00 PM - 10:00 PM Wed 5:00 PM - 10:00 PM Thu 5:00 PM - 11:00 PM Fri 5:00 PM - 11:00 PM Sat 11:00 AM - 3:00 PM 5:00 PM - 11:00 PM Sun 11:00 AM - 3:00 PM 4:00 PM - 10:00 PM,4.5 star rating,http://www.barbuzzo.com/,Unclaimed,https://www.yelp.com/biz/barbuzzo-philadelphia
3,https://s3-media0.fl.yelpcdn.com/bphoto/n0M8pEx7CRYaWkYiidexPw/l.jpg,Talula's Garden,"210 W Washington Sq Philadelphia, PA 19106",(215) 592-7787,2021 reviews,American (New),Mon 5:00 PM - 9:00 PM Open now Tue 5:00 PM - 9:00 PM Wed 5:00 PM - 9:00 PM Thu 5:00 PM - 9:00 PM Fri 4:00 PM - 10:00 PM Sat 4:00 PM - 10:00 PM Sun 10:00 AM - 2:00 PM 4:00 PM - 9:00 PM,4.5 star rating,http://www.talulasgarden.com,Claimed,https://www.yelp.com/biz/talulas-garden-philadelphia
4,https://s3-media0.fl.yelpcdn.com/bphoto/n0M8pEx7CRYaWkYiidexPw/l.jpg,Talula's Garden,"210 W Washington Sq Philadelphia, PA 19106",(215) 592-7787,2021 reviews,American (New),Mon 5:00 PM - 9:00 PM Open now Tue 5:00 PM - 9:00 PM Wed 5:00 PM - 9:00 PM Thu 5:00 PM - 9:00 PM Fri 4:00 PM - 10:00 PM Sat 4:00 PM - 10:00 PM Sun 10:00 AM - 2:00 PM 4:00 PM - 9:00 PM,4.5 star rating,http://www.talulasgarden.com,Claimed,https://www.yelp.com/biz/chubby-cattle-philadelphia-5
5,https://s3-media0.fl.yelpcdn.com/bphoto/DyGMNPLWr8LrMYtlt6ZNzg/l.jpg,The Love,"130 S 18th St Philadelphia, PA 19103",(215) 433-1555,714 reviews,"American (New), Breakfast & Brunch, Burgers",Mon 11:30 AM - 2:00 PM 5:00 PM - 9:00 PM Open now Tue 11:30 AM - 2:00 PM 5:00 PM - 9:00 PM Wed 11:30 AM - 2:00 PM 5:00 PM - 9:00 PM Thu 11:30 AM - 2:00 PM 5:00 PM - 9:00 PM Fri 11:30 AM - 2:00 PM 5:00 PM - 10:00 PM Sat 10:00 AM - 2:00 PM 4:00 PM - 10:00 PM Sun 10:00 AM - 2:00 PM 4:00 PM - 9:00 PM,4.5 star rating,http://www.theloverestaurant.c…,Claimed,https://www.yelp.com/biz/the-love-philadelphia-2
6,https://s3-media0.fl.yelpcdn.com/bphoto/6gPduHdqkAcW4gGCZn1LoA/l.jpg,Harper's Garden,"31 S 18th St Philadelphia, PA 19103",(267) 886-8552,584 reviews,"American (New), Tapas/Small Plates, Cocktail Bars",Mon 11:30 AM - 12:00 AM (Next day) Open now Tue 11:30 AM - 12:00 AM (Next day) Wed 11:30 AM - 12:00 AM (Next day) Thu 11:30 AM - 12:00 AM (Next day) Fri 11:30 AM - 12:00 AM (Next day) Sat 10:00 AM - 12:00 AM (Next day) Sun 10:00 AM - 12:00 AM (Next day),4 star rating,https://harpersgardenphilly.co…,Claimed,https://www.yelp.com/biz/harpers-garden-philadelphia
7,https://s3-media0.fl.yelpcdn.com/bphoto/yWCGQIYek43-z4umzrR-Ng/l.jpg,Urban Farmer Philadelphia,"1850 Benjamin Franklin Pkwy Philadelphia, PA 19103",(215) 963-2788,652 reviews,"American (Traditional), Steakhouses",Mon 8:00 AM - 1:30 PM 4:00 PM - 10:00 PM Open now Tue 8:00 AM - 1:30 PM 4:00 PM - 11:00 PM Wed 8:00 AM - 1:30 PM 4:00 PM - 11:00 PM Thu 8:00 AM - 1:30 PM 4:00 PM - 11:00 PM Fri 8:00 AM - 1:30 PM 4:00 PM - 11:00 PM Sat 8:00 AM - 1:30 PM 4:00 PM - 11:00 PM Sun 8:00 AM - 1:30 PM 4:00 PM - 10:00 PM,4 star rating,http://urbanfarmerphiladelphia…,Claimed,https://www.yelp.com/biz/urban-farmer-philadelphia-philadelphia-2
8,https://s3-media0.fl.yelpcdn.com/bphoto/GURqWfJ2OYF_0_uiKTs2_g/l.jpg,The Dandelion,"124 S 18th St Philadelphia, PA 19103",(215) 558-2500,2617 reviews,"Gastropubs, British",Mon 11:30 AM - 10:00 PM Open now Tue 11:30 AM - 10:00 PM Wed 11:30 AM - 10:00 PM Thu 11:30 AM - 10:00 PM Fri 11:30 AM - 11:00 PM Sat 10:00 AM - 11:00 PM Sun 10:00 AM - 10:00 PM,4 star rating,http://thedandelionpub.com,Claimed,https://www.yelp.com/biz/the-dandelion-philadelphia
9,https://s3-media0.fl.yelpcdn.com/bphoto/GURqWfJ2OYF_0_uiKTs2_g/l.jpg,The Dandelion,"124 S 18th St Philadelphia, PA 19103",(215) 558-2500,2617 reviews,"Gastropubs, British",Mon 11:30 AM - 10:00 PM Open now Tue 11:30 AM - 10:00 PM Wed 11:30 AM - 10:00 PM Thu 11:30 AM - 10:00 PM Fri 11:30 AM - 11:00 PM Sat 10:00 AM - 11:00 PM Sun 10:00 AM - 10:00 PM,4 star rating,http://thedandelionpub.com,Claimed,https://www.yelp.com/biz/harp-and-crown-philadelphia
