,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant_url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/r-tlpH2fMm0-LpN5EZ9eUg/l.jpg,Casey's,"6418 Centennial Blvd Nashville, TN 37209",(615) 350-7225,"Gas Stations,","Gas Stations, Convenience Stores, Pizza",Mon Open 24 hours Open now Tue Open 24 hours Wed Open 24 hours Thu Open 24 hours Fri Open 24 hours Sat Open 24 hours Sun Open 24 hours,4 star rating,https://www.caseys.com,Claimed,https://www.yelp.com/adredir?ad_business_id=ZeyFPdBw6hGPputEaRMFvg&campaign_id=2CqfMwGUr92at4gyBEdkOQ&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcaseys-nashville-2&request_id=ea94dfe851e068c2&signature=8c8ba48a83bf4eaedc9517441d75aff0d33a198b45ea048b9c0bdf536170de7f&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/JpTT2Sxj8xr57WmUzSe0JA/l.jpg,Izzy’s Feel Good Food,Sponsored,(615) 716-2861,132 reviews,"Music Venues, American (Traditional), Cocktail Bars",Mon Closed Closed now Tue 11:00 AM - 8:30 PM Wed 11:00 AM - 8:30 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 9:00 PM Sat 10:30 AM - 9:00 PM Sun 10:30 AM - 3:00 PM,4.5 star rating,https://www.izzysfranklin.com,Claimed,https://www.yelp.com/adredir?ad_business_id=s21EGSlDN__XtbmQ0p_stQ&campaign_id=DAFG3-weWP9WGITHmTdcHw&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fizzy-s-feel-good-food-franklin&request_id=ea94dfe851e068c2&signature=2289fcde7b0b120087f676728c2403ed991b9ada61a1ef725fd3ac14f5bee02d&slot=1
2,https://s3-media0.fl.yelpcdn.com/bphoto/ZnbvVsOaTJsv2WmUIYnQmg/l.jpg,Stillhouse Restaurant,"8280 Short Mountain Rd Woodbury, TN 37190",(615) 563-1243,23 reviews,"Southern, American (Traditional), Venues & Event Spaces",Mon Closed Closed now Tue Closed Wed Closed Thu 4:00 PM - 9:00 PM Fri 4:00 PM - 9:00 PM Sat 11:00 AM - 9:00 PM Sun 11:00 AM - 3:00 PM,4.5 star rating,http://www.shortmountaindistil…,Claimed,https://www.yelp.com/biz/stillhouse-restaurant-woodbury-3
3,https://s3-media0.fl.yelpcdn.com/bphoto/wJAvhDU6gTnsRL7aQewPoQ/l.jpg,Sophia's Off The Square,"114 W Main St Woodbury, TN 37190",(615) 563-2333,13 reviews,"Bars, American (Traditional)",Mon Closed Closed now Tue Closed Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 11:00 PM Sat 11:00 AM - 11:00 PM Sun 11:00 AM - 3:00 PM,4.5 star rating,http://www.sophiasoffthesquare…,Claimed,https://www.yelp.com/biz/sophias-off-the-square-woodbury
4,https://s3-media0.fl.yelpcdn.com/bphoto/990dCB5DaGVAg6HzBLvbCg/l.jpg,The Lunch Box,"813 W Main St Woodbury, TN 37190",(615) 653-3539,10 reviews,"Salad, American (Traditional), Barbeque",Mon 10:00 AM - 6:00 PM Open now Tue 10:00 AM - 2:00 PM Wed 10:00 AM - 2:00 PM Thu 10:00 AM - 2:00 PM Fri 10:00 AM - 2:00 PM Sat Closed Sun Closed,5 star rating,http://www.sophiasoffthesquare…,Unclaimed,https://www.yelp.com/biz/the-lunch-box-woodbury
5,https://s3-media0.fl.yelpcdn.com/bphoto/NPcaMz0Q030sU4fBHh0tWw/l.jpg,A & J Diner,"108 N Tatum St Woodbury, TN 37190",(615) 563-1111,6 reviews,Southern,,4.5 star rating,http://www.sophiasoffthesquare…,Unclaimed,https://www.yelp.com/biz/a-and-j-diner-woodbury
6,https://s3-media0.fl.yelpcdn.com/bphoto/NPcaMz0Q030sU4fBHh0tWw/l.jpg,Kountry Thai,"804 McMinnville Hwy Woodbury, TN 37190",(615) 563-4050,1 review,"Desserts, Noodles, Salad",Mon 11:00 AM - 8:30 PM Open now Tue 11:00 AM - 8:30 PM Wed 11:00 AM - 8:30 PM Thu 11:00 AM - 8:30 PM Fri 11:00 AM - 8:30 PM Sat 11:00 AM - 8:30 PM Sun 11:00 AM - 8:30 PM,5 star rating,http://www.kountrythai.com,Unclaimed,https://www.yelp.com/biz/kountry-thai-woodbury
7,https://s3-media0.fl.yelpcdn.com/bphoto/60s40Tn0uNKbLOX7LfIaPg/l.jpg,Roxie's,"2242 Short Mountain Woodbury, TN 37190",(931) 743-5366,2 reviews,American (Traditional),Mon 10:00 AM - 6:00 PM Open now Tue 8:00 AM - 8:00 PM Wed 8:00 AM - 8:00 PM Thu 8:00 AM - 8:00 PM Fri 8:00 AM - 8:00 PM Sat 8:00 AM - 8:00 PM Sun 9:00 AM - 3:00 PM,4.5 star rating,http://www.kountrythai.com,Unclaimed,https://www.yelp.com/biz/roxies-woodbury
8,https://s3-media0.fl.yelpcdn.com/bphoto/F0KxO01I31NmRXc_Jt8dcA/l.jpg,Mi Cocina,"112 E Main St Woodbury, TN 37190",(615) 563-4211,15 reviews,Mexican,,4 star rating,http://www.kountrythai.com,Unclaimed,https://www.yelp.com/biz/mi-cocina-woodbury
9,https://s3-media0.fl.yelpcdn.com/bphoto/rVtELJFdT4sgbF--ae-spw/l.jpg,DJ's Pizza & Steak House,"805 W Main St Woodbury, TN 37190",(615) 563-2821,36 reviews,"Pizza, Steakhouses",,4 star rating,http://www.djspizzaandsteakhou…,Unclaimed,https://www.yelp.com/biz/djs-pizza-and-steak-house-woodbury
10,https://s3-media0.fl.yelpcdn.com/bphoto/owFRe4KPyo2Tj9_W7IB3Aw/l.jpg,Short Mountain Distillery,"8280 Short Mountain Rd Woodbury, TN 37190",(615) 216-0830,77 reviews,"Distilleries, Tours, Cafes",Mon Closed Closed now Tue Closed Wed Closed Thu Closed Fri 4:00 PM - 9:00 PM Sat 11:00 AM - 9:00 PM Sun 11:00 AM - 3:00 PM,4.5 star rating,http://www.shortmountaindistil…,Claimed,https://www.yelp.com/biz/short-mountain-distillery-woodbury-2
11,https://s3-media0.fl.yelpcdn.com/bphoto/fxv1pJj5a3kbQluyPaEx0Q/l.jpg,Chilangos Mexican Restaurant,"720 W Main St Woodbury, TN 37190",(615) 563-7113,18 reviews,Mexican,Mon 11:00 AM - 10:00 PM Open now Tue 11:00 AM - 10:00 PM Wed 11:00 AM - 10:00 PM Thu 11:00 AM - 10:00 PM Fri 11:00 AM - 10:00 PM Sat 11:00 AM - 10:00 PM Sun 11:00 AM - 10:00 PM,3.5 star rating,http://www.shortmountaindistil…,Unclaimed,https://www.yelp.com/biz/chilangos-mexican-restaurant-woodbury
