,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/wEAoz7MuD3ot4sZ-a18uOQ/l.jpg,Firehouse Subs,"1701 N Mayfair Rd Wauwatosa, WI 53226",(414) 930-9300,54 reviews,"Delis, Fast Food, Sandwiches",Mon 10:30 AM - 9:00 PM Tue 10:30 AM - 9:00 PM Open now Wed 10:30 AM - 9:00 PM Thu 10:30 AM - 9:00 PM Fri 10:30 AM - 9:00 PM Sat 10:30 AM - 9:00 PM Sun 10:30 AM - 9:00 PM,3.5 star rating,http://www.firehousesubs.com,Claimed,https://www.yelp.com/adredir?ad_business_id=NNPO1AAmZrW9bINNRCJojQ&campaign_id=Fj8Yk0wOok0MwBao3uBFvA&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ffirehouse-subs-wauwatosa&request_id=eb74a9b9f6198afc&signature=0a2cc004e35124ff38b63b5b4818c7e121316729dff98c4c4c90c48e6e736951&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/rdjUxuoLv5WRa7yDMb7hkw/l.jpg,Charleys Cheesesteaks,"3272 S 27th St Milwaukee, WI 53215",(414) 395-8904,30 reviews,"Fast Food, Sandwiches, Cheesesteaks",Mon 10:00 AM - 8:00 PM Tue 10:00 AM - 8:00 PM Open now Wed 10:00 AM - 8:00 PM Thu 10:00 AM - 8:00 PM Fri 10:00 AM - 8:00 PM Sat 10:00 AM - 8:00 PM Sun Closed,4 star rating,https://www.charleys.com,Claimed,https://www.yelp.com/adredir?ad_business_id=p4aSQU3e27aBXyUqXsT_-g&campaign_id=JezsPCbqCA5FL5ychn319w&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcharleys-cheesesteaks-milwaukee&request_id=eb74a9b9f6198afc&signature=3ddd4dc037b7408200ce7de2de8844b94820831c21fe87ddd9f01051eb9d41b4&slot=1
2,https://s3-media0.fl.yelpcdn.com/bphoto/4H8jLRN6uVQQhxQS9QepQA/l.jpg,Swingin' Door Exchange,"219 E Michigan St Milwaukee, WI 53202",(414) 276-8150,890 reviews,"American (New), Pubs",Mon Closed Tue 11:00 AM - 10:00 PM Open now Wed 11:00 AM - 10:00 PM Thu 11:00 AM - 10:00 PM Fri 11:00 AM - 10:00 PM Sat 11:00 AM - 10:00 PM Sun Closed,4.5 star rating,http://www.swingindoorexchange…,Claimed,https://www.yelp.com/biz/swingin-door-exchange-milwaukee?osq=restaurants
3,https://s3-media0.fl.yelpcdn.com/bphoto/NxKpo-tYN8UuOPLexttNoQ/l.jpg,Public Table,"5835 W National Ave West Allis, WI 53214",(414) 488-2948,132 reviews,"American (New), Bars, Breakfast & Brunch",Mon Closed Tue 5:00 PM - 9:00 PM Open now Wed 5:00 PM - 9:00 PM Thu 5:00 PM - 9:00 PM Fri 5:00 PM - 10:00 PM Sat 10:00 AM - 3:00 PM 4:00 PM - 10:00 PM Sun 10:00 AM - 3:00 PM 4:00 PM - 9:00 PM,4.5 star rating,https://www.public-table.com,Claimed,https://www.yelp.com/biz/public-table-west-allis-2?osq=restaurants
4,https://s3-media0.fl.yelpcdn.com/bphoto/Kk9lx334KClX9il03tf6sw/l.jpg,The Dark Room at Saint Kate,"139 E Kilbourn Ave Milwaukee, WI 53202",(414) 431-1211,12 reviews,"Wine Bars, Steakhouses, American (New)",Mon 6:00 PM - 9:00 PM Tue 6:00 PM - 9:00 PM Open now Wed 6:00 PM - 9:00 PM Thu 6:00 PM - 9:00 PM Fri 6:00 PM - 9:00 PM Sat 6:00 PM - 9:00 PM Sun 6:00 PM - 9:00 PM,5 star rating,https://www.saintkatearts.com,Claimed,https://www.yelp.com/biz/the-dark-room-at-saint-kate-milwaukee-2?osq=restaurants
5,https://s3-media0.fl.yelpcdn.com/bphoto/bt7LoMiXu3q7fJpp-MFcgA/l.jpg,Story Hill BKC,"5100 W Bluemound Rd Milwaukee, WI 53208",(414) 539-4424,682 reviews,"American (New), Beer, Wine & Spirits, Wine Bars",Mon Closed Tue Closed Closed now Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 9:00 PM Sat 9:00 AM - 9:00 PM Sun 9:00 AM - 2:00 PM,4.5 star rating,http://storyhillbkc.com/,Claimed,https://www.yelp.com/biz/story-hill-bkc-milwaukee?osq=restaurants
6,https://s3-media0.fl.yelpcdn.com/bphoto/1u8sMbgmCnu2p_sU7Xccbg/l.jpg,Odd Duck,"939 S 2nd St Milwaukee, WI 53207",(414) 763-5881,831 reviews,"American (New), Vegetarian, Tapas/Small Plates",Mon Closed Tue 4:00 PM - 10:00 PM Open now Wed 4:00 PM - 10:00 PM Thu 4:00 PM - 10:00 PM Fri 4:00 PM - 10:00 PM Sat 4:00 PM - 10:00 PM Sun Closed,4.5 star rating,http://www.oddduckrestaurant.c…,Claimed,https://www.yelp.com/biz/odd-duck-milwaukee?osq=restaurants
7,https://s3-media0.fl.yelpcdn.com/bphoto/x2-w9tYJ3Z4aYuDhsnDOdQ/l.jpg,Lupi & Iris,"777 N Van Buren St Milwaukee, WI 53202",(414) 293-9090,21 reviews,"Mediterranean, Wine Bars, Italian",Mon 11:00 AM - 2:00 PM 5:00 PM - 9:00 PM Tue 11:00 AM - 2:00 PM 5:00 PM - 9:00 PM Open now Wed 11:00 AM - 2:00 PM 5:00 PM - 9:00 PM Thu 11:00 AM - 2:00 PM 5:00 PM - 9:00 PM Fri 11:00 AM - 2:00 PM 5:00 PM - 10:00 PM Sat 5:00 PM - 10:00 PM Sun 10:00 AM - 2:00 PM 5:00 PM - 10:00 PM,4.5 star rating,http://lupiandiris.com,Claimed,https://www.yelp.com/biz/lupi-and-iris-milwaukee?osq=restaurants
8,https://s3-media0.fl.yelpcdn.com/bphoto/x2-w9tYJ3Z4aYuDhsnDOdQ/l.jpg,Lupi & Iris,"777 N Van Buren St Milwaukee, WI 53202",(414) 293-9090,21 reviews,"Mediterranean, Wine Bars, Italian",Mon 11:00 AM - 2:00 PM 5:00 PM - 9:00 PM Tue 11:00 AM - 2:00 PM 5:00 PM - 9:00 PM Open now Wed 11:00 AM - 2:00 PM 5:00 PM - 9:00 PM Thu 11:00 AM - 2:00 PM 5:00 PM - 9:00 PM Fri 11:00 AM - 2:00 PM 5:00 PM - 10:00 PM Sat 5:00 PM - 10:00 PM Sun 10:00 AM - 2:00 PM 5:00 PM - 10:00 PM,4.5 star rating,http://lupiandiris.com,Claimed,https://www.yelp.com/biz/third-coast-provisions-milwaukee?osq=restaurants
9,https://s3-media0.fl.yelpcdn.com/bphoto/gxRyFMkNSGuBNChwiRxjEA/l.jpg,Maru Korean Bistro,"2150 N Prospect Ave Milwaukee, WI 53202",(414) 210-4139,27 reviews,"Korean, Seafood, Noodles",Mon 11:00 AM - 2:00 PM 4:30 PM - 9:00 PM Tue 11:00 AM - 2:00 PM 4:30 PM - 9:00 PM Open now Wed 11:00 AM - 2:00 PM 4:30 PM - 9:00 PM Thu 11:00 AM - 2:00 PM 4:30 PM - 9:00 PM Fri 11:00 AM - 10:00 PM Sat 12:00 PM - 10:00 PM Sun Closed,4.5 star rating,https://www.marukoreanmke.com,Unclaimed,https://www.yelp.com/biz/maru-korean-bistro-milwaukee-2?osq=restaurants
