,image,Restaurant name,Address,Reviews,Contact address,Food name,Restaurant_url,Timing,Ratings,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/UTvWBpSCS68r37E_s7zOYw/l.jpg,Topgolf,"9200 E 116th St Fishers, IN 46037",426 reviews,(765) 212-3488,"Golf, American (New), Sports Bars",https://topgolf.com,Mon 10:00 AM - 12:00 AM (Next day) Open now Tue 10:00 AM - 12:00 AM (Next day) Wed 10:00 AM - 12:00 AM (Next day) Thu 10:00 AM - 12:00 AM (Next day) Fri 10:00 AM - 1:00 AM (Next day) Sat 10:00 AM - 1:00 AM (Next day) Sun 10:00 AM - 12:00 AM (Next day),4 star rating,Claimed,https://www.yelp.com/adredir?ad_business_id=gqCHiQ0OiDkARDQzlEFUiA&campaign_id=zf_eQUZ4UPU4BU-zVug7_g&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ftopgolf-fishers&request_id=e2b8b86b6195d20e&signature=f3e41679ca7917679bb89c05cb1f6e91149087d93d825d0cbdccda0ac460fd0b&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/rFQul8X9vvoXIFUz6Y4jOQ/l.jpg,Howl at the Moon Indianapolis,Verified by Business,168 reviews,(317) 955-0300,"Bars, Venues & Event Spaces, Music Venues",https://www.howlatthemoon.com/…,Mon Closed Closed now Tue Closed Wed Closed Thu 8:00 PM - 2:00 AM (Next day) Fri 8:00 PM - 2:00 AM (Next day) Sat 8:00 PM - 2:00 AM (Next day) Sun Closed,3 star rating,Claimed,https://www.yelp.com/adredir?ad_business_id=ElaSvDEnNV0yfKkKzczLbw&campaign_id=ajTjmBC06pT9ydaXOQiuKw&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fhowl-at-the-moon-indianapolis-indianapolis&request_id=e2b8b86b6195d20e&signature=08567de9d8ba028df3d833e70e40928aea6c0890f3d009b11ce34206a159967e&slot=1
3,https://s3-media0.fl.yelpcdn.com/bphoto/LgKpfQNeXw4bvOnhU_2csQ/l.jpg,Whiskey Bent Bar & Grill,"5250 E US Hwy 36 Ste 120 Avon, IN 46123",20 reviews,(317) 386-8907,"Sports Bars, American (Traditional)",https://www.howlatthemoon.com/…,Mon 11:00 AM - 1:00 AM (Next day) Open now Tue 11:00 AM - 1:00 AM (Next day) Wed 11:00 AM - 1:00 AM (Next day) Thu 11:00 AM - 1:00 AM (Next day) Fri 11:00 AM - 3:00 AM (Next day) Sat 11:00 AM - 3:00 AM (Next day) Sun 11:00 AM - 1:00 AM (Next day),3 star rating,Unclaimed,https://www.yelp.com/biz/whiskey-bent-bar-and-grill-avon?osq=Bars+and+Lounges
5,https://s3-media0.fl.yelpcdn.com/bphoto/1u3ss0qYXn5UO-e4zs8FLw/l.jpg,Central Normal Tap,"71 S Washington St Danville, IN 46122",3 reviews,12:00 PM - 5:00 PM,"Beer Bar, Cocktail Bars",https://www.howlatthemoon.com/…,Mon 4:00 PM - 10:00 PM Open now Tue 4:00 PM - 10:00 PM Wed 4:00 PM - 10:00 PM Thu 4:00 PM - 11:00 PM Fri 4:00 PM - 1:00 AM (Next day) Sat 12:00 PM - 2:00 AM (Next day) Sun 12:00 PM - 5:00 PM,5 star rating,Unclaimed,https://www.yelp.com/biz/central-normal-tap-danville?osq=Bars+and+Lounges
7,https://s3-media0.fl.yelpcdn.com/bphoto/Tablepl7l-Vi_eAEc7v9yw/l.jpg,Brew Link Brewing,"4710 E Hwy 40 Plainfield, IN 46168",120 reviews,(317) 838-9694,"Breweries, Beer Bar, American (Traditional)",http://www.brewlinkbrewing.com,Mon 11:00 AM - 10:00 PM Open now Tue 11:00 AM - 10:00 PM Wed 11:00 AM - 10:00 PM Thu 11:00 AM - 10:00 PM Fri 11:00 AM - 11:00 PM Sat 11:00 AM - 11:00 PM Sun 11:00 AM - 5:00 PM,4.5 star rating,Claimed,https://www.yelp.com/biz/brew-link-brewing-plainfield?osq=Bars+and+Lounges
9,https://s3-media0.fl.yelpcdn.com/bphoto/12rbyV1Dcyk4qezpRM7ICA/l.jpg,1933 Lounge,"127 S Illinois St Indianapolis, IN 46225",172 reviews,(317) 635-0636,"Lounges, American (Traditional), Cocktail Bars",http://www.stelmos.com/1933-lo…,Mon 4:00 PM - 10:30 PM Open now Tue 4:00 PM - 10:30 PM Wed 4:00 PM - 10:30 PM Thu 4:00 PM - 10:30 PM Fri 4:00 PM - 12:00 AM (Next day) Sat 4:00 PM - 12:00 AM (Next day) Sun 4:00 PM - 9:30 PM,4.5 star rating,Claimed,https://www.yelp.com/biz/1933-lounge-indianapolis?osq=Bars+and+Lounges
11,https://s3-media0.fl.yelpcdn.com/bphoto/vjn2aHq-Np1gubsru0kvLQ/l.jpg,Villa Havana Cigar Lounge,"1731 E Main St Plainfield, IN 46168",8 reviews,(317) 203-5114,Lounges,http://www.stelmos.com/1933-lo…,,5 star rating,Claimed,https://www.yelp.com/biz/villa-havana-cigar-lounge-plainfield?osq=Bars+and+Lounges
13,https://s3-media0.fl.yelpcdn.com/bphoto/5X239o-eMVebuVMnCHxfEA/l.jpg,The Pub at Anson,"6585 Whitestown Pkwy Zionsville, IN 46077",7 reviews,,Pubs,http://www.stelmos.com/1933-lo…,Mon 11:00 AM - 2:00 AM (Next day) Open now Tue 11:00 AM - 2:00 AM (Next day) Wed 11:00 AM - 2:00 AM (Next day) Thu 11:00 AM - 2:00 AM (Next day) Fri 11:00 AM - 2:00 AM (Next day) Sat 11:00 AM - 2:00 AM (Next day) Sun 11:00 AM - 2:00 AM (Next day),4.5 star rating,Unclaimed,https://www.yelp.com/biz/the-pub-at-anson-zionsville?osq=Bars+and+Lounges
15,https://s3-media0.fl.yelpcdn.com/bphoto/MBuZk5W5gpXLOgTpwBaSgQ/l.jpg,Legends Pub & Grill,"1100 Avon Ave Avon, IN 46123",24 reviews,(317) 272-9040,"Sports Bars, Pubs",http://www.stelmos.com/1933-lo…,Mon 11:00 AM - 3:00 AM (Next day) Open now Tue 11:00 AM - 3:00 AM (Next day) Wed 11:00 AM - 3:00 AM (Next day) Thu 11:00 AM - 3:00 AM (Next day) Fri 11:00 AM - 3:00 AM (Next day) Sat 11:00 AM - 3:00 AM (Next day) Sun 12:00 PM - 12:00 AM (Next day),3 star rating,Unclaimed,https://www.yelp.com/biz/legends-pub-and-grill-avon?osq=Bars+and+Lounges
17,https://s3-media0.fl.yelpcdn.com/bphoto/y3hY_hZo8ExpRsXeteAI8Q/l.jpg,The Side Door Pub & Stage,"115 N Center St Plainfield, IN 46168",16 reviews,(317) 742-5336,"Bars, Music Venues",http://www.stelmos.com/1933-lo…,Mon 11:00 AM - 1:00 PM Closed now Tue 11:00 AM - 1:00 PM Wed 11:00 AM - 1:00 PM Thu 11:00 AM - 1:00 PM Fri 11:00 AM - 3:00 PM Sat 11:00 AM - 3:00 PM Sun 11:00 AM - 1:00 PM,3.5 star rating,Claimed,https://www.yelp.com/biz/the-side-door-pub-and-stage-plainfield?osq=Bars+and+Lounges
19,https://s3-media0.fl.yelpcdn.com/bphoto/z-K0_nR7QtYYrBUEwnDuOQ/l.jpg,The Kickstand Bar & Grill,"81 North Washington St Danville, IN 46122",4 reviews,(317) 386-3299,"Pool Halls, Karaoke, Beer Bar",https://www.thekickstandbarand…,Mon 11:00 AM - 12:00 AM (Next day) Open now Tue 11:00 AM - 12:00 AM (Next day) Wed 11:00 AM - 12:00 AM (Next day) Thu 11:00 AM - 12:00 AM (Next day) Fri 11:00 AM - 1:30 AM (Next day) Sat 12:00 PM - 1:30 AM (Next day) Sun Closed Special hours Normally 12:00 PM - 8:00 PM,4 star rating,Claimed,https://www.yelp.com/biz/the-kickstand-bar-and-grill-danville?osq=Bars+and+Lounges
22,https://s3-media0.fl.yelpcdn.com/bphoto/hQBc_5bD8XZ_9-7QVX6oxQ/l.jpg,Thieves,"915 Broad Ripple Ave Indianapolis, IN 46220",64 reviews,(248) 762-9788,Cocktail Bars,http://www.thievesindy.com,Mon 4:00 PM - 12:00 AM (Next day) Open now Tue 4:00 PM - 12:00 AM (Next day) Wed 4:00 PM - 12:00 AM (Next day) Thu 4:00 PM - 12:00 AM (Next day) Fri 2:00 PM - 1:00 AM (Next day) Sat 2:00 PM - 1:00 AM (Next day) Sun 2:00 PM - 12:00 AM (Next day),4.5 star rating,Claimed,https://www.yelp.com/biz/thieves-indianapolis-2?osq=Bars+and+Lounges
24,https://s3-media0.fl.yelpcdn.com/bphoto/JZsvfIkNuqRPvUR4x1NNFQ/l.jpg,Applebee's Grill + Bar,"3720 South Reed Rd Kokomo, IN 46902",16 reviews,(765) 455-2090,"Sports Bars, Burgers, American (Traditional)",https://www.applebees.com,Mon 11:00 AM - 12:00 AM (Next day) Open now Tue 11:00 AM - 12:00 AM (Next day) Wed 11:00 AM - 12:00 AM (Next day) Thu 11:00 AM - 12:00 AM (Next day) Fri 11:00 AM - 12:00 AM (Next day) Sat 11:00 AM - 12:00 AM (Next day) Sun 11:00 AM - 12:00 AM (Next day),2.5 star rating,Claimed,https://www.yelp.com/adredir?ad_business_id=mrcLlm1wsmHEWZXwBoHTLA&campaign_id=UyDpHJ3d7K7MhwWMNjpa5g&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fapplebees-grill-bar-kokomo&request_id=e2b8b86b6195d20e&signature=e0289d142d48b3db34a1a48b8fc9bbcb67ac239e733b2e4d1f99e3279ef2c146&slot=0
25,https://s3-media0.fl.yelpcdn.com/bphoto/4ohNH-ILfq-fQWg6pYMD-Q/l.jpg,Topgolf,"9200 E 116th St Fishers, IN 46037",426 reviews,(765) 212-3488,"Golf, American (New), Sports Bars",https://topgolf.com,Mon 10:00 AM - 12:00 AM (Next day) Open now Tue 10:00 AM - 12:00 AM (Next day) Wed 10:00 AM - 12:00 AM (Next day) Thu 10:00 AM - 12:00 AM (Next day) Fri 10:00 AM - 1:00 AM (Next day) Sat 10:00 AM - 1:00 AM (Next day) Sun 10:00 AM - 12:00 AM (Next day),4 star rating,Claimed,https://www.yelp.com/adredir?ad_business_id=gqCHiQ0OiDkARDQzlEFUiA&campaign_id=zf_eQUZ4UPU4BU-zVug7_g&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ftopgolf-fishers&request_id=953dc77948e06dd5&signature=57f39413f399838665329c982c7ea758631b192d72d45368d3a2b20915e9b1d0&slot=0
