,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant_url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/5-v2Ea9qjNqdIOydXanx2A/l.jpg,Old Owl Tavern,"638 Beaumont Inn Dr Harrodsburg, KY 40330",(859) 734-3381,50 reviews,"American (Traditional), Pubs, Bed & Breakfast",Mon Closed Tue 4:30 PM - 8:30 PM Wed 4:30 PM - 8:30 PM Thu 4:30 PM - 8:30 PM Closed now Fri 4:30 PM - 9:00 PM Sat 4:30 PM - 9:00 PM Sun Closed,4 star rating,http://www.beaumontinn.com/,Claimed,https://www.yelp.com/adredir?ad_business_id=GkXekkciccGqjJHEx1lYtw&campaign_id=_MgpaARHhjQ9zJSc26_ugA&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fold-owl-tavern-harrodsburg&request_id=f57b4223e124d357&signature=af05fef36abda220fbc953e92cc8ba3eec2c279cdb0f311e578d73b33b687667&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/GfwsQYZwgo-izd_cSks24w/l.jpg,Applebee's Grill + Bar,"1525 W Lexington Ave Winchester, KY 40391",(859) 737-0111,44 reviews,"Sports Bars, Burgers, American (Traditional)",Mon 11:00 AM - 11:00 PM Tue 11:00 AM - 11:00 PM Wed 11:00 AM - 11:00 PM Thu 11:00 AM - 11:00 PM Open now Fri 11:00 AM - 12:00 AM (Next day) Sat 11:00 AM - 12:00 AM (Next day) Sun 11:00 AM - 11:00 PM,2.5 star rating,https://www.applebees.com,Claimed,https://www.yelp.com/adredir?ad_business_id=N5aCDzH2vRm8fmo1iMLt6A&campaign_id=01OUq6wHBaEfPo2eYMe8zg&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fapplebees-grill-bar-winchester-2&request_id=f57b4223e124d357&signature=8a0fa06b7f9aa395b0292dbeef901df4362a49492a167f6070c2c64edacebdbe&slot=1
2,https://s3-media0.fl.yelpcdn.com/bphoto/q0tDcBN6PYIZTOX1C2H4Vw/l.jpg,little rick's neighborhood bar & grill,"117 Park Plaza Blvd Lebanon Junction, KY 40150",(502) 833-2015,23 reviews,"Sports Bars, Burgers, Sandwiches",,4.5 star rating,https://www.applebees.com,Unclaimed,https://www.yelp.com/biz/little-ricks-neighborhood-bar-and-grill-lebanon-junction?osq=Bars
4,https://s3-media0.fl.yelpcdn.com/bphoto/qxTmBTOatHrDY_odYWxfmw/l.jpg,Bourbon Barrel Tavern,"110 W Dixie Ave Elizabethtown, KY 42701",(502) 233-7591,33 reviews,Bars,Mon 4:00 PM - 11:00 PM Tue 4:00 PM - 11:00 PM Wed 4:00 PM - 11:00 PM Thu 4:00 PM - 12:00 AM (Next day) Closed now Fri 4:00 PM - 12:00 AM (Next day) Sat 4:00 PM - 12:00 AM (Next day) Sun 4:00 PM - 11:00 PM,4.5 star rating,https://www.applebees.com,Unclaimed,https://www.yelp.com/biz/bourbon-barrel-tavern-elizabethtown?osq=Bars
6,https://s3-media0.fl.yelpcdn.com/bphoto/xZWkOyKF4lPgWmuULxqqBw/l.jpg,3rd Street Tap House,"112 N 3rd St Bardstown, KY 40004",(502) 348-8991,23 reviews,Lounges,Mon 5:00 PM - 1:00 AM (Next day) Tue 5:00 PM - 1:00 AM (Next day) Wed 5:00 PM - 1:00 AM (Next day) Thu 5:00 PM - 1:00 AM (Next day) Closed now Fri 3:00 PM - 1:00 AM (Next day) Sat 3:00 PM - 1:00 AM (Next day) Sun 1:00 PM - 11:00 PM,4 star rating,https://www.applebees.com,Unclaimed,https://www.yelp.com/biz/3rd-street-tap-house-bardstown?osq=Bars
8,https://s3-media0.fl.yelpcdn.com/bphoto/qencZA7QOansQolRjGfkgQ/l.jpg,Flywheel Brewing,"218 S Mulberry St Ste 103 Elizabethtown, KY 42701",,36 reviews,Brewpubs,Mon 4:00 PM - 10:00 PM Tue 4:00 PM - 10:00 PM Wed 4:00 PM - 10:00 PM Thu 4:00 PM - 10:00 PM Closed now Fri 4:00 PM - 12:00 AM (Next day) Sat 12:00 PM - 12:00 AM (Next day) Sun 12:00 PM - 6:00 PM,4.5 star rating,http://flywheelbrewing.com,Unclaimed,https://www.yelp.com/biz/flywheel-brewing-elizabethtown?osq=Bars
10,https://s3-media0.fl.yelpcdn.com/bphoto/ftTmoaJz6LexI_CMLuzzPg/l.jpg,The Volstead Bourbon Lounge,"107 E Flaget St Bardstown, KY 40004",(502) 294-1624,2 reviews,Lounges,Mon 3:00 PM - 10:00 PM Tue 3:00 PM - 10:00 PM Wed 3:00 PM - 10:00 PM Thu 3:00 PM - 10:00 PM Closed now Fri 3:00 PM - 1:00 AM (Next day) Sat 3:00 PM - 1:00 AM (Next day) Sun 3:00 PM - 9:00 PM,5 star rating,http://flywheelbrewing.com,Claimed,https://www.yelp.com/biz/the-volstead-bourbon-lounge-bardstown-3?osq=Bars
12,https://s3-media0.fl.yelpcdn.com/bphoto/IyH0x37NhJpKnOa__JG7Tw/l.jpg,The Wicked Eyed Woman,"133 W Dixie Ave Elizabethtown, KY 42701",(270) 506-3210,191 reviews,"Pubs, Southern",Mon 11:00 AM - 10:00 PM Tue 11:00 AM - 10:00 PM Wed 11:00 AM - 10:00 PM Thu 11:00 AM - 10:00 PM Open now Fri 11:00 AM - 11:00 PM Sat 11:00 AM - 12:00 AM (Next day) Sun Closed,3.5 star rating,http://www.thewickedeyedwoman.…,Unclaimed,https://www.yelp.com/biz/the-wicked-eyed-woman-elizabethtown?osq=Bars
14,https://s3-media0.fl.yelpcdn.com/bphoto/yBvTtF0DeAFy1ZOInTrq4g/l.jpg,Rainbow Tavern,"6419 Flaherty Rd Vine Grove, KY 40175",(270) 828-9585,2 reviews,"Dive Bars, Pool Halls, Pubs",Mon 10:00 AM - 11:00 PM Tue 10:00 AM - 11:00 PM Wed 10:00 AM - 12:00 AM (Next day) Thu 10:00 AM - 12:00 AM (Next day) Open now Fri 9:00 AM - 2:00 AM (Next day) Sat 9:00 AM - 2:00 AM (Next day) Sun 10:00 AM - 10:00 PM,3 star rating,http://www.thewickedeyedwoman.…,Claimed,https://www.yelp.com/biz/rainbow-tavern-vine-grove-2?osq=Bars
16,https://s3-media0.fl.yelpcdn.com/bphoto/Si_d7B_ANvRBbVMYqoR76A/l.jpg,The Bar at Willett,"1869 Loretto Rd Bardstown, KY 40004",(502) 507-9396,79 reviews,"Bars, American (New)",Mon Closed Tue Closed Wed 11:00 AM - 6:00 PM Thu 11:00 AM - 6:00 PM Open now Fri 11:00 AM - 6:00 PM Sat 11:00 AM - 6:00 PM Sun Closed,4.5 star rating,http://www.thebaratwillett.com,Claimed,https://www.yelp.com/biz/the-bar-at-willett-bardstown?osq=Bars
18,https://s3-media0.fl.yelpcdn.com/bphoto/Si_d7B_ANvRBbVMYqoR76A/l.jpg,The Spot Bar N Grill,"139 Tiptop Rd Vine Grove, KY 40175",(270) 828-9512,2 reviews,"Cocktail Bars, Karaoke",Mon 3:00 PM - 12:00 AM (Next day) Tue 3:00 PM - 12:00 AM (Next day) Wed 3:00 PM - 12:00 AM (Next day) Thu 3:00 PM - 12:00 AM (Next day) Closed now Fri 3:00 PM - 2:00 AM (Next day) Sat 12:00 PM - 2:00 AM (Next day) Sun 1:00 PM - 8:00 PM,4.5 star rating,http://www.the-spot-bar.com,Unclaimed,https://www.yelp.com/biz/the-spot-bar-n-grill-vine-grove?osq=Bars
19,https://s3-media0.fl.yelpcdn.com/bphoto/UCRaNjPN8xZN_NEbFiwX0A/l.jpg,Kentucky Bourbon House,"107 E Stephen Foster Ave Bardstown, KY 40004",(502) 507-8338,4 reviews,Cocktail Bars,Mon 9:00 AM - 7:00 PM Tue 9:00 AM - 7:00 PM Wed 9:00 AM - 7:00 PM Thu 9:00 AM - 7:00 PM Open now Fri 9:00 AM - 7:00 PM Sat 9:00 AM - 7:00 PM Sun Closed,4 star rating,http://kentuckybourbonhouse.co…,Unclaimed,https://www.yelp.com/biz/kentucky-bourbon-house-bardstown-2?osq=Bars
