,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant_url,Restaurant_ownership,url links
2,https://s3-media0.fl.yelpcdn.com/bphoto/oww3muFAKAE7rJitvse6zA/l.jpg,Amazon Go,"13209 39th Ave SE Mill Creek, WA 98012",(888) 280-4331,8 reviews,"Convenience Stores, Sandwiches, Salad",Mon 6:00 AM - 10:00 PM Tue 6:00 AM - 10:00 PM Wed 6:00 AM - 10:00 PM Thu 6:00 AM - 10:00 PM Fri 6:00 AM - 10:00 PM Open now Sat 6:00 AM - 10:00 PM Sun 6:00 AM - 10:00 PM,4 star rating,https://www.amazon.com/GoMillC…,Claimed,https://www.yelp.com/adredir?ad_business_id=A_EELjfV6v10EEw2pgPQuA&campaign_id=A5_nOv8iNoIrU4ZXU6cYZA&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Famazon-go-mill-creek&request_id=d3260c4cbbc35e9c&signature=8a2c507cc1c43604f725cc189ae4aefa5ee5ae55ec254be3abae84dca03d45be&slot=1
3,https://s3-media0.fl.yelpcdn.com/bphoto/-cm-lxUmAq4ifeleNB0Y2g/l.jpg,Coal Mountain Caboose,"115 E 1st St Cle Elum, WA 98922",(509) 903-0399,29 reviews,"Sports Bars, Gastropubs, Pubs",Mon Closed Tue 11:00 AM - 9:00 PM Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 9:00 PM Open now Sat 11:00 AM - 9:00 PM Sun 11:00 AM - 9:00 PM,4.5 star rating,http://www.coalmountaincaboose…,Claimed,https://www.yelp.com/biz/coal-mountain-caboose-cle-elum?osq=restaurants
4,https://s3-media0.fl.yelpcdn.com/bphoto/SXI0DZd0xTCHemwH1sYF8A/l.jpg,Cottage Cafe & Fireside Lounge,"911 E 1st St Cle Elum, WA 98922",(509) 674-2922,296 reviews,"Bakeries, Lounges, American (Traditional)",Mon 6:00 AM - 10:00 PM Tue 6:00 AM - 10:00 PM Wed 6:00 AM - 10:00 PM Thu 6:00 AM - 10:00 PM Fri 6:00 AM - 10:00 PM Open now Sat 6:00 AM - 10:00 PM Sun 6:00 AM - 10:00 PM,4.5 star rating,http://www.cottagecafecleelum.…,Claimed,https://www.yelp.com/biz/cottage-cafe-and-fireside-lounge-cle-elum-2?osq=restaurants
5,https://s3-media0.fl.yelpcdn.com/bphoto/UPwSVfU0ZWy53oOGUhQMnQ/l.jpg,Aardvark Express,"1202 Douglas Munro Blvd Cle Elum , WA 98922",(425) 578-4456,115 reviews,"Asian Fusion, Food Trucks",Mon Closed Tue Closed Wed Closed Thu 7:00 AM - 5:00 PM Fri 7:00 AM - 5:00 PM Open now Sat 7:00 AM - 5:00 PM Sun 7:00 AM - 4:00 PM,5 star rating,http://www.cottagecafecleelum.…,Claimed,https://www.yelp.com/biz/aardvark-express-cle-elum-3?osq=restaurants
6,https://s3-media0.fl.yelpcdn.com/bphoto/0fLi0ISaTRtMGqW_oeJosQ/l.jpg,Orchard Restaurant,"212 E 1st St Cle Elum, WA 98922",(509) 852-2900,89 reviews,"American (New), Steakhouses",Mon Closed Tue Closed Wed 11:00 AM - 2:00 PM 4:00 PM - 10:00 PM Thu 11:00 AM - 2:00 PM 4:00 PM - 10:00 PM Fri 11:00 AM - 2:00 PM 4:00 PM - 10:00 PM Closed now Sat 10:00 AM - 2:00 PM 5:00 PM - 10:00 PM Sun 10:00 AM - 2:00 PM 5:00 PM - 10:00 PM,4 star rating,http://orchard-restaurant.com,Claimed,https://www.yelp.com/biz/orchard-restaurant-cle-elum?osq=restaurants
7,https://s3-media0.fl.yelpcdn.com/bphoto/dWHAls__deDRtrzlTj4T6A/l.jpg,The Coal Chute Cafe and Pub,"719 S 1st St Roslyn, WA 98941",(509) 649-5317,142 reviews,"Cafes, Pubs, American (Traditional)",Mon 11:00 AM - 9:00 PM Tue 11:00 AM - 9:00 PM Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 9:00 PM Open now Sat 8:00 AM - 9:00 PM Sun 8:00 AM - 9:00 PM,4 star rating,https://www.coalchute.cafe,Claimed,https://www.yelp.com/biz/the-coal-chute-cafe-and-pub-roslyn?osq=restaurants
8,https://s3-media0.fl.yelpcdn.com/bphoto/pQiCBznRYiHXwi6f_HlxNQ/l.jpg,Roslyn Cafe,"201 W Pennsylvania Ave Roslyn, WA 98941",(509) 649-2763,223 reviews,"American (Traditional), Breakfast & Brunch, Cafes",Mon 9:00 AM - 8:00 PM Tue Closed Wed 10:00 AM - 8:00 PM Thu 9:00 AM - 9:00 PM Fri 9:00 AM - 9:00 PM Open now Sat 9:00 AM - 9:00 PM Sun 9:00 AM - 7:00 PM,4 star rating,http://www.theroslyncafe.com,Claimed,https://www.yelp.com/biz/roslyn-cafe-roslyn?osq=restaurants
9,https://s3-media0.fl.yelpcdn.com/bphoto/pQiCBznRYiHXwi6f_HlxNQ/l.jpg,Gemini Fish Market,"425 E 1st St Cle Elum, WA 98922",(509) 674-6883,4 reviews,"Seafood, Food Trucks, Burgers",Mon 9:00 AM - 6:30 PM Tue 9:00 AM - 6:30 PM Wed 9:00 AM - 6:30 PM Thu 9:00 AM - 6:30 PM Fri 9:00 AM - 6:30 PM Open now Sat 9:00 AM - 6:30 PM Sun 10:00 AM - 5:00 PM,5 star rating,http://geminifish.com,Unclaimed,https://www.yelp.com/biz/gemini-fish-market-cle-elum?osq=restaurants
10,https://s3-media0.fl.yelpcdn.com/bphoto/YgwRH1ZWaGScyJyjPpoyrg/l.jpg,Swiftfired Pizza Co,"1015 E 2nd St Cle Elum, WA 98922",(509) 929-8543,9 reviews,"Pizza, Italian, Food Trucks",Mon 12:00 PM - 7:00 PM Tue 12:00 PM - 7:00 PM Wed 12:00 PM - 7:00 PM Thu 12:00 PM - 7:00 PM Fri 11:00 AM - 8:00 PM Open now Sat 11:00 AM - 8:00 PM Sun 11:00 AM - 7:00 PM,4.5 star rating,https://swiftfiredpizzaco.com,Claimed,https://www.yelp.com/biz/swiftfired-pizza-co-cle-elum?osq=restaurants
11,https://s3-media0.fl.yelpcdn.com/bphoto/T_d5RmAfQvEXk-UhDHSg0w/l.jpg,Sunset Cafe,"318 E 1st St Cle Elum, WA 98922",(509) 674-2241,302 reviews,"American (Traditional), Coffee & Tea, Breakfast & Brunch",Mon 6:00 AM - 9:00 PM Tue Closed Wed 6:00 AM - 9:00 PM Thu 6:00 AM - 9:00 PM Fri 6:00 AM - 10:00 PM Open now Sat 6:00 AM - 10:00 PM Sun 6:00 AM - 9:00 PM,4 star rating,https://swiftfiredpizzaco.com,Claimed,https://www.yelp.com/biz/sunset-cafe-cle-elum?osq=restaurants
