,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant_url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/Fme5wDRQuq1CLIjMrz_enw/l.jpg,Blue Spirits Distilling & Events Center,"1310 Highway 2 Leavenworth, WA 98826",(708) 256-7542,29 reviews,"Cocktail Bars, Venues & Event Spaces",Mon 12:00 PM - 6:00 PM Tue 12:00 PM - 6:00 PM Wed 12:00 PM - 6:00 PM Thu 12:00 PM - 6:00 PM Fri 12:00 PM - 9:00 PM Sat 12:00 PM - 9:00 PM Closed now Sun 12:00 PM - 6:00 PM,4.5 star rating,http://www.bluespiritsdistilli…,Claimed,https://www.yelp.com/adredir?ad_business_id=CGCLGnynpAuWprlsKTNvlQ&campaign_id=CNZljlr--7ikamh-GFRaFg&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fblue-spirits-distilling-and-events-center-leavenworth&request_id=fda0ad8a621ddb05&signature=7a2fe41778224762b3516fd73e01c65dba09829844e0eee2f0456c3095a4663f&slot=0
1,https://cf-images.us-east-1.prod.boltdns.net/v1/static/3142682442001/34589393-bc1a-4803-90ba-0fff5cb6bddc/bdf87f2a-e610-4ea6-8137-71659412b6b6/360x360/match/image.jpg,Swiftwater Cellars Amphitheater,"301 Rope Rider Dr Cle Elum, WA 98922",(800) 745-3000,2 reviews,Music Venues,,4.5 star rating,http://www.bluespiritsdistilli…,Claimed,https://www.yelp.com/biz/swiftwater-cellars-amphitheater-cle-elum
2,https://s3-media0.fl.yelpcdn.com/bphoto/3onHTbPxwMSyTY-m8hGhfg/l.jpg,Mike's Tavern,"427 E 1st St Cle Elum, WA 98922",(509) 674-5252,23 reviews,Pubs,Mon 11:00 AM - 9:00 PM Tue 11:00 AM - 9:00 PM Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 10:00 PM Sat 11:00 AM - 10:00 PM Closed now Sun 11:00 AM - 8:00 PM,4.5 star rating,http://www.bluespiritsdistilli…,Unclaimed,https://www.yelp.com/biz/mikes-tavern-cle-elum
5,https://s3-media0.fl.yelpcdn.com/bphoto/1RktpoKV7iLzNYhXcu_GKw/l.jpg,Marko's Place,"106 N 1st St Roslyn, WA 98941",(509) 649-2349,19 reviews,Pubs,Mon 11:00 AM - 2:00 AM (Next day) Tue 11:00 AM - 2:00 AM (Next day) Wed 11:00 AM - 2:00 AM (Next day) Thu 11:00 AM - 2:00 AM (Next day) Fri 11:00 AM - 2:00 AM (Next day) Sat 9:00 AM - 2:00 AM (Next day) Closed now Sun 9:00 AM - 2:00 AM (Next day),3.5 star rating,https://bluerocksaloon.com,Unclaimed,https://www.yelp.com/biz/markos-place-roslyn
6,https://s3-media0.fl.yelpcdn.com/bphoto/QD986s9Wk8bR9O4SM5KBpQ/l.jpg,Pika Provisions,"217 9th St Ste D Leavenworth, WA 98826",(509) 888-0746,47 reviews,"Speakeasies, Cocktail Bars",Mon Closed Tue Closed Wed Closed Thu 5:00 PM - 11:00 PM Fri 5:00 PM - 11:00 PM Sat 5:00 PM - 11:00 PM Closed now Sun 5:00 PM - 11:00 PM,4.5 star rating,http://www.pikaprovisions.com,Claimed,https://www.yelp.com/biz/pika-provisions-leavenworth
7,https://s3-media0.fl.yelpcdn.com/bphoto/IaX1bYXt1h7Nps7Ixayecw/l.jpg,Club 301,"301 N Pearl St Ellensburg, WA 98926",(509) 925-3011,39 reviews,"Sports Bars, Dance Clubs, Cocktail Bars",Mon 4:00 PM - 2:00 AM (Next day) Tue 4:00 PM - 2:00 AM (Next day) Wed 4:00 PM - 2:00 AM (Next day) Thu 4:00 PM - 2:00 AM (Next day) Fri 4:00 PM - 2:00 AM (Next day) Sat 4:00 PM - 2:00 AM (Next day) Closed now Sun Closed,2 star rating,http://301ellensburg.com,Claimed,https://www.yelp.com/biz/club-301-ellensburg
8,https://s3-media0.fl.yelpcdn.com/bphoto/-LTNPdTWsWRgknpvVcoavw/l.jpg,Keg Cellar Tavern,"112 N Pennsylvania Ave Cle Elum, WA 98922",(509) 674-2277,5 reviews,Bars,,4.5 star rating,http://301ellensburg.com,Unclaimed,https://www.yelp.com/biz/keg-cellar-tavern-cle-elum
9,https://cf-images.us-east-1.prod.boltdns.net/v1/static/3142682442001/a4fbc3e3-5864-4fd3-a076-860fb14589d1/82a120b9-612c-4795-9cc9-ecffefc3f204/360x360/match/image.jpg,Vault 29,"29 N Columbia St Wenatchee, WA 98801",(509) 888-1979,2 reviews,Dance Clubs,Mon Closed Tue Closed Wed Closed Thu Closed Fri 9:00 PM - 2:00 AM (Next day) Sat 9:00 PM - 2:00 AM (Next day) Closed now Sun Closed,5 star rating,http://301ellensburg.com,Unclaimed,https://www.yelp.com/biz/vault-29-wenatchee
10,https://s3-media0.fl.yelpcdn.com/bphoto/fNB3ZnqwXy5i2H_k6kG1bA/l.jpg,The Brick Saloon,"100 W Pennsylvania Ave Roslyn, WA 98941",(509) 649-2643,251 reviews,"Bars, American (Traditional)",Mon 11:30 AM - 10:00 PM Tue 11:30 AM - 10:00 PM Wed 11:30 AM - 10:00 PM Thu 11:30 AM - 10:00 PM Fri 11:00 AM - 11:00 PM Sat 11:00 AM - 11:00 PM Closed now Sun 11:00 AM - 10:00 PM,3.5 star rating,http://www.bricksaloon.com,Unclaimed,https://www.yelp.com/biz/the-brick-saloon-roslyn
11,https://s3-media0.fl.yelpcdn.com/bphoto/OtjCgvlqLCsZXEYBSHytbQ/l.jpg,Easton Saloon,"1860 Railroad St Easton, WA 98925",(509) 656-2309,9 reviews,Bars,,4 star rating,http://www.bricksaloon.com,Unclaimed,https://www.yelp.com/biz/easton-saloon-easton
12,https://s3-media0.fl.yelpcdn.com/bphoto/Fme5wDRQuq1CLIjMrz_enw/l.jpg,Blue Spirits Distilling & Events Center,"1310 Highway 2 Leavenworth, WA 98826",(708) 256-7542,29 reviews,"Cocktail Bars, Venues & Event Spaces",Mon 12:00 PM - 6:00 PM Tue 12:00 PM - 6:00 PM Wed 12:00 PM - 6:00 PM Thu 12:00 PM - 6:00 PM Fri 12:00 PM - 9:00 PM Sat 12:00 PM - 9:00 PM Closed now Sun 12:00 PM - 6:00 PM,4.5 star rating,http://www.bluespiritsdistilli…,Claimed,https://www.yelp.com/adredir?ad_business_id=CGCLGnynpAuWprlsKTNvlQ&campaign_id=CNZljlr--7ikamh-GFRaFg&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fblue-spirits-distilling-and-events-center-leavenworth&request_id=6aeb5b62b1d616a2&signature=7cedda9ba116d851a20b8841ce00b2a5584661d92548d75fa1c951fec847384c&slot=0
13,https://s3-media0.fl.yelpcdn.com/bphoto/P1n8_qO2raNAQKfEVwpigw/l.jpg,Bushel & Bee Taproom,"900 Front St Ste C Leavenworth, WA 98826",(509) 818-3373,75 reviews,"Cideries, Beer Bar",Mon 2:00 PM - 10:00 PM Tue 2:00 PM - 10:00 PM Wed 2:00 PM - 10:00 PM Thu 2:00 PM - 10:00 PM Fri 2:00 PM - 10:00 PM Sat 12:00 PM - 10:00 PM Closed now Sun 12:00 PM - 9:00 PM,5 star rating,http://www.bushelandbee.com,Claimed,https://www.yelp.com/biz/bushel-and-bee-taproom-leavenworth
