,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/fEtxzfn4HAToACgdm7WTgQ/l.jpg,Papa Johns Pizza,"4000 South Dupont Hwy Camden, DE 19901",(302) 698-9200,10 reviews,Pizza,Mon 3:00 PM - 10:00 PM Tue 11:00 AM - 10:00 PM Wed 11:00 AM - 10:00 PM Thu 11:00 AM - 10:00 PM Fri 11:00 AM - 11:00 PM Sat 11:00 AM - 11:00 PM Open now Sun 11:00 AM - 10:00 PM,1.5 star rating,http://order.papajohns.com/ind…,Claimed,https://www.yelp.com/adredir?ad_business_id=ujntqXXZZ5wveQ6pD4rYwg&campaign_id=TnHPXbTLoLd1YJG_gpwFmQ&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fpapa-johns-pizza-dover-2&request_id=7e88669aa732ba29&signature=7ca026da189c9ea5f48a0f42bf3e996d64e1029ceedbda0fe676ea7ea7496bfc&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/hOg5G9M53YO0cdO-MuS9gQ/l.jpg,Margaritaville - Atlantic City,"1133 Boardwalk Atlantic City, NJ 08401",(609) 431-4100,645 reviews,"Bars, Music Venues, American (Traditional)",Mon 11:00 AM - 11:00 PM Tue 11:00 AM - 11:00 PM Wed 11:00 AM - 11:00 PM Thu 11:00 AM - 11:00 PM Fri 11:00 AM - 12:00 AM (Next day) Sat 8:00 AM - 12:00 AM (Next day) Open now Sun 8:00 AM - 11:00 PM,2.5 star rating,http://www.margaritavilleatlan…,Claimed,https://www.yelp.com/adredir?ad_business_id=HgP29W23ccer8SX2Jw_2nA&campaign_id=tH3SSXw5OBnkw5NYw3-wFQ&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmargaritaville-atlantic-city-atlantic-city-2&request_id=7e88669aa732ba29&signature=c45d89ec96224d54b1cc019c43140d9b2ec70be877317fb6410fde2b59756273&slot=1
2,https://s3-media0.fl.yelpcdn.com/bphoto/Mkv-Ffh2Rw8tCXILe886ag/l.jpg,JP's On The Wharf,"201 Hubbard Ave Frederica, DE 19946",(302) 335-4035,94 reviews,"Seafood, Bars, American (Traditional)",Mon Closed Tue 12:00 PM - 8:30 PM Wed 12:00 PM - 8:30 PM Thu 12:00 PM - 8:30 PM Fri 12:00 PM - 8:30 PM Sat 12:00 PM - 8:30 PM Open now Sun 12:00 PM - 6:30 PM,4 star rating,http://www.jpswharf.com/,Claimed,https://www.yelp.com/biz/jps-on-the-wharf-frederica?osq=restaurants
3,https://s3-media0.fl.yelpcdn.com/bphoto/F39yc4X4PCTB4UI2ztxA8g/l.jpg,The Brick-Wood Fired Eats,"150 Gateway South Blvd Dover, DE 19901",(302) 603-3386,47 reviews,"Pizza, American (New)",Mon Closed Tue 4:00 PM - 9:00 PM Wed 12:00 PM - 9:00 PM Thu 12:00 PM - 9:00 PM Fri 12:00 PM - 9:00 PM Sat 12:00 PM - 9:00 PM Open now Sun Closed,4.5 star rating,http://www.thebrickde.com,Claimed,https://www.yelp.com/biz/the-brick-wood-fired-eats-dover?osq=restaurants
4,https://s3-media0.fl.yelpcdn.com/bphoto/vcLVI2M6jFYCgqxmIlVKpA/l.jpg,Restaurant 55,"2461 S State St Dover, DE 19901",(302) 535-8102,209 reviews,American (Traditional),Mon Closed Tue 4:00 PM - 8:00 PM Wed 12:00 PM - 8:00 PM Thu 12:00 PM - 8:00 PM Fri 12:00 PM - 9:00 PM Sat 12:00 PM - 9:00 PM Open now Sun Closed,4 star rating,http://www.myrestaurant55.com,Unclaimed,https://www.yelp.com/biz/restaurant-55-dover?osq=restaurants
5,https://s3-media0.fl.yelpcdn.com/bphoto/kA175YXmlmfzTFDI-DhCpA/l.jpg,Little Creek Grill,"111 Main St Little Creek, DE 19961",(302) 734-0480,5 reviews,"Pizza, Breakfast & Brunch, American (Traditional)",Mon 5:00 AM - 8:00 PM Tue 5:00 AM - 8:00 PM Wed 5:00 AM - 8:00 PM Thu 5:00 AM - 8:00 PM Fri 5:00 AM - 8:00 PM Sat 5:00 AM - 8:00 PM Open now Sun 7:00 AM - 7:00 PM,5 star rating,http://littlecreekgrillde.com,Claimed,https://www.yelp.com/biz/little-creek-grill-little-creek-2?osq=restaurants
6,https://s3-media0.fl.yelpcdn.com/bphoto/7_bN99sLR-gLU8zKFF23pg/l.jpg,The Bayview Tavern,"165 Hubbard Ave Bowers, DE 19946",(302) 751-1791,8 reviews,"Sandwiches, Bars",Mon Closed Tue 11:00 AM - 11:00 PM Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 11:00 PM Fri 11:00 AM - 1:00 AM (Next day) Sat 11:00 AM - 1:00 AM (Next day) Open now Sun 12:00 PM - 8:00 PM,4.5 star rating,http://littlecreekgrillde.com,Claimed,https://www.yelp.com/biz/the-bayview-tavern-bowers?osq=restaurants
7,https://s3-media0.fl.yelpcdn.com/bphoto/xNL9_5htjWwCxylCp8M_aw/l.jpg,La Hacienda,"1171 S Bay Rd Dover, DE 19901",(302) 724-7699,175 reviews,Mexican,Mon 11:00 AM - 9:00 PM Tue 11:00 AM - 9:00 PM Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 10:00 PM Sat 11:00 AM - 10:00 PM Open now Sun 11:00 AM - 9:00 PM,4 star rating,https://www.lahadelaware.com,Unclaimed,https://www.yelp.com/biz/la-hacienda-dover-2?osq=restaurants
8,https://s3-media0.fl.yelpcdn.com/bphoto/LSpgoWy1Eb3mYtzpSbs8Vw/l.jpg,Delicious Fusion,"50 N Dupont Hwy Unit 14 & 15 Dover, DE 19901",(302) 264-9007,50 reviews,"Asian Fusion, Chinese, Sushi Bars",Mon 11:00 AM - 9:00 PM Tue 11:00 AM - 9:00 PM Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 10:00 PM Sat 11:00 AM - 10:00 PM Open now Sun 11:00 AM - 9:00 PM,4 star rating,https://www.lahadelaware.com,Claimed,https://www.yelp.com/biz/delicious-fusion-dover?osq=restaurants
9,https://s3-media0.fl.yelpcdn.com/bphoto/3TJ96UB4fHdK7pLidE6PzQ/l.jpg,Pho viet,"155 N Dupont Hwy Ste 4 Dover, DE 19901",(302) 907-3979,80 reviews,Vietnamese,Mon 11:00 AM - 9:00 PM Tue Closed Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 9:00 PM Sat 11:00 AM - 9:00 PM Open now Sun 11:00 AM - 9:00 PM,4 star rating,https://www.lahadelaware.com,Unclaimed,https://www.yelp.com/biz/pho-viet-dover-2?osq=restaurants
10,https://s3-media0.fl.yelpcdn.com/bphoto/PpP9vofYGl9oB5BHG5afcg/l.jpg,Franco's Pizza & Pasta,"1708 E Lebanon Rd Ste 5 Dover, DE 19901",(302) 677-1946,128 reviews,"Pizza, Italian, Steakhouses",Mon 11:00 AM - 10:00 PM Tue 11:00 AM - 10:00 PM Wed 11:00 AM - 10:00 PM Thu 11:00 AM - 10:00 PM Fri 11:00 AM - 10:00 PM Sat 11:00 AM - 10:00 PM Open now Sun 12:00 PM - 9:00 PM,4 star rating,http://francosdover.com,Claimed,https://www.yelp.com/biz/francos-pizza-and-pasta-dover?osq=restaurants
11,https://s3-media0.fl.yelpcdn.com/bphoto/uXCMtmluvqgFyvJtNM_Faw/l.jpg,Sul Tempo,"3 President Dr Dover, DE 19901",(302) 678-1041,9 reviews,"Lounges, Italian",Mon Closed Tue 4:00 PM - 9:00 PM Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 10:00 PM Sat 4:00 PM - 10:00 PM Open now Sun Closed,4 star rating,http://www.romadover.com,Unclaimed,https://www.yelp.com/biz/sul-tempo-dover?osq=restaurants
12,https://s3-media0.fl.yelpcdn.com/bphoto/D-3MsIRem9EhOSKD8N89PA/l.jpg,Sugar Factory American Brasserie - Dover,"1131 N Dupont Hwy Dover, DE 19901",(302) 857-3252,52 reviews,"American (New), Desserts, Bars",,3 star rating,https://sugarfactory.com,Claimed,https://www.yelp.com/adredir?ad_business_id=L_BFrX7w-sR19QDU7hxSAQ&campaign_id=_Jdhhf3ut_n9UQycUqowYg&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsugar-factory-american-brasserie-dover-dover&request_id=7e88669aa732ba29&signature=ea0b44bf7454341cc815e3269b3636a7704e57f30649f43c187d456d57a9299e&slot=0
