,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/LEc8H1gRKuLdmM54lqVOXw/l.jpg,Yesway,"121 W 7th St Logan, IA 51546",(712) 644-3104,"Convenience Stores,","Convenience Stores, Fast Food, Gas Stations",Mon 5:00 AM - 11:00 PM Tue 5:00 AM - 11:00 PM Wed 5:00 AM - 11:00 PM Thu 5:00 AM - 11:00 PM Fri 5:00 AM - 11:00 PM Sat 5:00 AM - 11:00 PM Open now Sun 5:00 AM - 11:00 PM,Rating,https://yesway.com,Claimed,https://www.yelp.com/adredir?ad_business_id=pCsYm3yCrs1_Z6hPhnNsfQ&campaign_id=OgKNuKnq_NBqfSFo8mcTKw&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fyesway-logan&request_id=33f779c270b7ca89&signature=3ae60712dab2662960824caad7939f1a5d632dddb12ad742a0092b0ba7e49a80&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/6bDOKetxTl_x272TA0QUNw/l.jpg,Burger King,"5155 Center St Omaha, NE 68106",(402) 553-8979,14 reviews,"Fast Food, Burgers",Mon 5:30 AM - 12:00 AM (Next day) Tue 5:30 AM - 12:00 AM (Next day) Wed 5:30 AM - 12:00 AM (Next day) Thu 5:30 AM - 12:00 AM (Next day) Fri 5:30 AM - 12:00 AM (Next day) Sat 5:30 AM - 12:00 AM (Next day) Open now Sun 5:30 AM - 12:00 AM (Next day),2.5 star rating,https://burgerking.com,Claimed,https://www.yelp.com/adredir?ad_business_id=VHknouMQtc6uOGJqzMH48A&campaign_id=zQSgVSDze2i0kqGH8tMbsw&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fburger-king-omaha-6&request_id=33f779c270b7ca89&signature=3895b224bb1292535a7d0c9ec89b4881bbce699780790727aa975239b3d0a0df&slot=1
2,https://s3-media0.fl.yelpcdn.com/bphoto/Au4TIBnyRP7N7zVDKdP89w/l.jpg,Reagan's Lobster Roll Shop,"6470 Frances St Omaha, NE 68106",(402) 553-8979,4 reviews,Seafood,,4.5 star rating,https://burgerking.com,Unclaimed,https://www.yelp.com/biz/reagans-lobster-roll-shop-omaha?osq=restaurants
3,https://s3-media0.fl.yelpcdn.com/bphoto/cRJaOEdyMAwpG_svQH3MGw/l.jpg,Everett's,"8807 Maple St Omaha, NE 68134",(402) 237-7820,28 reviews,American (Traditional),Mon Closed Tue 11:00 AM - 8:30 PM Wed 11:00 AM - 8:30 PM Thu 11:00 AM - 8:30 PM Fri 11:00 AM - 8:30 PM Sat 11:00 AM - 8:30 PM Open now Sun 11:00 AM - 8:30 PM,4.5 star rating,https://www.everettsmaple.com,Unclaimed,https://www.yelp.com/biz/everetts-omaha?osq=restaurants
4,https://s3-media0.fl.yelpcdn.com/bphoto/ZnSSxxkk550DJsH4v7jiew/l.jpg,Gather in Omaha,"1108 Howard St Omaha, NE 68102",(402) 260-8686,101 reviews,"American (New), Cocktail Bars",Mon 5:00 PM - 9:00 PM Tue 5:00 PM - 9:00 PM Wed 5:00 PM - 9:00 PM Thu 5:00 PM - 10:00 PM Fri 5:00 PM - 10:00 PM Sat 5:00 PM - 10:00 PM Open now Sun 5:00 PM - 9:00 PM,4.5 star rating,https://gather-omaha.com,Claimed,https://www.yelp.com/biz/gather-in-omaha-omaha?osq=restaurants
5,https://s3-media0.fl.yelpcdn.com/bphoto/oJBMzzJjynKbwTcg9HmjRQ/l.jpg,Pacific Eating House,"1130 Sterling Ridge Dr Ste 101 Omaha, NE 68154",(531) 999-3777,78 reviews,"American (Traditional), Hawaiian",Mon 11:00 AM - 9:00 PM Tue 11:00 AM - 9:00 PM Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 10:00 PM Sat 11:00 AM - 10:00 PM Open now Sun Closed,4 star rating,https://www.pacific-eatinghous…,Claimed,https://www.yelp.com/biz/pacific-eating-house-omaha?osq=restaurants
6,https://s3-media0.fl.yelpcdn.com/bphoto/6i-MYNY-PVm51VR8-wHD1A/l.jpg,Block 16,"1611 Farnam St Omaha, NE 68106",(402) 342-1220,1082 reviews,"American (Traditional), Salad, Burgers",Mon 11:00 AM - 3:00 PM Tue 11:00 AM - 3:00 PM Wed 11:00 AM - 3:00 PM Thu 11:00 AM - 3:00 PM 5:00 PM - 9:00 PM Fri 11:00 AM - 3:00 PM 5:00 PM - 9:00 PM Sat 11:00 AM - 3:00 PM 5:00 PM - 9:00 PM Open now Sun Closed,4.5 star rating,http://block16omaha.com,Claimed,https://www.yelp.com/biz/block-16-omaha-2?osq=restaurants
7,https://s3-media0.fl.yelpcdn.com/bphoto/QP3beBWs9SpF-25625ssQg/l.jpg,Koji,"8718 Pacific St Omaha, NE 68114",(531) 721-2626,16 reviews,"Sushi Bars, Izakaya",Mon Closed Tue 4:00 PM - 9:00 PM Wed 4:00 PM - 9:00 PM Thu 4:00 PM - 9:00 PM Fri 4:00 PM - 10:00 PM Sat 4:00 PM - 10:00 PM Open now Sun Closed,4.5 star rating,https://www.izakayakoji.com,Claimed,https://www.yelp.com/biz/koji-omaha?osq=restaurants
8,https://s3-media0.fl.yelpcdn.com/bphoto/BJ_3KSxKZ4cLBm3k4PPYTw/l.jpg,Timber Wood Fire Bistro,"8702 Pacific St Omaha, NE 68114",(402) 964-2227,330 reviews,"Pizza, American (New), Breakfast & Brunch",Mon 11:00 AM - 9:00 PM Tue 11:00 AM - 9:00 PM Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 10:00 PM Sat 9:30 AM - 10:00 PM Open now Sun 9:30 AM - 8:30 PM,4 star rating,http://www.timberomaha.com,Claimed,https://www.yelp.com/biz/timber-wood-fire-bistro-omaha?osq=restaurants
9,https://s3-media0.fl.yelpcdn.com/bphoto/ePWTU49KWHJsggXtZYPK5g/l.jpg,Mouth of the South,"16909 Lakeside Hills Plz Ste 118 Omaha, NE 68130",(531) 375-5399,124 reviews,Southern,Mon 11:00 AM - 9:00 PM Tue 11:00 AM - 9:00 PM Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 10:00 PM Sat 11:00 AM - 10:00 PM Open now Sun 10:00 AM - 8:00 PM,4.5 star rating,http://www.motsomaha.com,Claimed,https://www.yelp.com/biz/mouth-of-the-south-omaha-3?osq=restaurants
