,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/12k1MoUAysX89ZFDQIJd-g/l.jpg,The Skinny Pancake Downtown Stowe,"454 Mountain Rd Stowe, VT 05672",(802) 760-6588,54 reviews,"Salad, Bagels, Creperies",Mon 8:00 AM - 3:00 PM Tue 8:00 AM - 8:00 PM Wed 8:00 AM - 8:00 PM Thu 8:00 AM - 8:00 PM Fri 8:00 AM - 8:00 PM Sat 8:00 AM - 3:00 PM Closed now Sun 8:00 AM - 3:00 PM,3.5 star rating,http://skinnypancake.com,Claimed,https://www.yelp.com/adredir?ad_business_id=ZYAdWuDaRQVay5cIDzT6GA&campaign_id=Gg9P_g2NlGxvHF6S5N3HhQ&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-skinny-pancake-downtown-stowe-stowe&request_id=e73c83130cf5ea12&signature=d1f591b384328fb201be80ffa77c2d015d27f9dd451999f92b840fc75d576932&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/NwixLvW1hgTTDHfP1iugrg/l.jpg,Bliss Village Store & Deli,"152 Main St Bradford, VT 05033",(802) 400-2789,8 reviews,"American (Traditional), Grocery",Mon 6:00 AM - 9:00 PM Tue 6:00 AM - 9:00 PM Wed 6:00 AM - 9:00 PM Thu 6:00 AM - 9:00 PM Fri 6:00 AM - 9:00 PM Sat 7:00 AM - 9:00 PM Open now Sun 7:00 AM - 9:00 PM,5 star rating,http://skinnypancake.com,Claimed,https://www.yelp.com/adredir?ad_business_id=lVMezueVoyvUz6gqN8ugFw&campaign_id=OwDTugjzszblAvXXX19OaQ&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbliss-village-store-and-deli-bradford-2&request_id=e73c83130cf5ea12&signature=7f45f004806e698c2ba8f64b158ceab21c6870dbe8c2aa36380a021bafac304c&slot=1
2,https://s3-media0.fl.yelpcdn.com/bphoto/0CunH1S_ukBy1yC0_MKY3g/l.jpg,Stone Soup Restaurant,"7 Brook Rd Strafford, VT 05072",(802) 765-4301,9 reviews,American (New),Mon Closed Tue Closed Wed Closed Thu 6:00 PM - 9:00 PM Fri 6:00 PM - 9:00 PM Sat 6:00 PM - 9:00 PM Open now Sun 6:00 PM - 9:00 PM,5 star rating,http://stonesouprestaurant.foo…,Unclaimed,https://www.yelp.com/biz/stone-soup-restaurant-strafford?osq=restaurants
3,https://s3-media0.fl.yelpcdn.com/bphoto/sIAK_c-C7zO7OqicMEYHFA/l.jpg,Crossroads Bar & Grill,"108 Rainbow St South Royalton, VT 05068",(802) 763-2002,32 reviews,"American (Traditional), Bars",Mon 4:00 PM - 2:00 AM (Next day) Tue 4:00 PM - 2:00 AM (Next day) Wed 4:00 PM - 2:00 AM (Next day) Thu 4:00 PM - 2:00 AM (Next day) Fri 4:00 PM - 2:00 AM (Next day) Sat 4:00 PM - 2:00 AM (Next day) Open now Sun 4:00 PM - 2:00 AM (Next day),4.5 star rating,https://www.xroads.bar,Claimed,https://www.yelp.com/biz/crossroads-bar-and-grill-south-royalton?osq=restaurants
4,https://s3-media0.fl.yelpcdn.com/bphoto/wDhmjESegcb3OJICn4DYTA/l.jpg,Worthy Burger,"56 Rainbow St South Royalton, VT 05068",(802) 763-2575,325 reviews,"Burgers, Bars",Mon Closed Tue Closed Wed Closed Thu 4:00 PM - 8:00 PM Fri 12:00 PM - 9:00 PM Sat 12:00 PM - 9:00 PM Open now Sun 12:00 PM - 8:00 PM,4.5 star rating,http://www.worthyburger.com/,Claimed,https://www.yelp.com/biz/worthy-burger-south-royalton?osq=restaurants
5,https://s3-media0.fl.yelpcdn.com/bphoto/9yLDv0b1VDifl6naQpklSg/l.jpg,Carlita’s Cocina,"153 Chelsea St Royalton, VT 05068",,2 reviews,"Tacos, Food Trucks",,4.5 star rating,http://www.carlitascocina.com,Unclaimed,https://www.yelp.com/biz/carlita-s-cocina-royalton?osq=restaurants
6,https://s3-media0.fl.yelpcdn.com/bphoto/9yLDv0b1VDifl6naQpklSg/l.jpg,Chelsea Station,"108 Chelsea St South Royalton, VT 05068",(802) 763-8685,9 reviews,American (Traditional),,4.5 star rating,http://www.carlitascocina.com,Unclaimed,https://www.yelp.com/biz/chelsea-station-south-royalton-2?osq=restaurants
7,https://s3-media0.fl.yelpcdn.com/bphoto/roZmtLjqse1-0o3_zQYP2w/l.jpg,Inn At Idlewood,"54 Steele Rd Sharon, VT 05065",(802) 763-5236,7 reviews,Diners,Mon 8:00 AM - 5:00 PM Tue 8:00 AM - 5:00 PM Wed 8:00 AM - 5:00 PM Thu 8:00 AM - 5:00 PM Fri 8:00 AM - 5:00 PM Sat 8:00 AM - 5:00 PM Closed now Sun 8:00 AM - 5:00 PM,4 star rating,http://idlewoodtherestaurant.c…,Unclaimed,https://www.yelp.com/biz/inn-at-idlewood-sharon-3?osq=restaurants
8,https://s3-media0.fl.yelpcdn.com/bphoto/O3CGW49gAkji2dyzZpFPvg/l.jpg,Royalton Village Pizza,"5789 Vt Route 14 South Royalton, VT 05068",(802) 763-2800,22 reviews,"Pizza, Sandwiches, Salad",Mon 11:00 AM - 7:00 PM Tue 11:00 AM - 7:00 PM Wed 11:00 AM - 7:00 PM Thu 11:00 AM - 7:00 PM Fri 11:00 AM - 8:00 PM Sat 11:00 AM - 8:00 PM Open now Sun Closed,4.5 star rating,http://idlewoodtherestaurant.c…,Claimed,https://www.yelp.com/biz/royalton-village-pizza-south-royalton?osq=restaurants
9,https://s3-media0.fl.yelpcdn.com/bphoto/a4nH6MMpZ24q195sjgQJVw/l.jpg,R Bs Delicatessen,"232 Chelsea St South Royalton, VT 05068",(802) 763-2411,7 reviews,"Delis, Sandwiches",Mon 7:00 AM - 9:30 PM Tue 7:00 AM - 9:30 PM Wed 7:00 AM - 9:30 PM Thu 7:00 AM - 10:00 PM Fri 7:00 AM - 10:00 PM Sat 7:30 AM - 10:00 PM Open now Sun 7:30 AM - 10:00 PM,3.5 star rating,http://idlewoodtherestaurant.c…,Unclaimed,https://www.yelp.com/biz/r-bs-delicatessen-south-royalton-2?osq=restaurants
10,https://s3-media0.fl.yelpcdn.com/bphoto/y28_r9AOWkLqINaebMbtVg/l.jpg,Sandy's Drive-in,"5772 Vermont 14 Sharon, VT 05068",(802) 763-7625,30 reviews,"Ice Cream & Frozen Yogurt, American (Traditional), Burgers",Mon 11:00 AM - 7:00 PM Tue 11:00 AM - 7:00 PM Wed 11:00 AM - 7:00 PM Thu 11:00 AM - 8:00 PM Fri 11:00 AM - 8:00 PM Sat 11:00 AM - 8:00 PM Open now Sun 11:00 AM - 7:00 PM,3.5 star rating,http://SandysDriveInVT.com,Unclaimed,https://www.yelp.com/biz/sandys-drive-in-sharon?osq=restaurants
11,https://s3-media0.fl.yelpcdn.com/bphoto/y28_r9AOWkLqINaebMbtVg/l.jpg,Roma’s Butchery,"5615 VT-14 Royalton, VT 05068",(802) 763-0440,1 review,"Salad, Beer, Wine & Spirits, Butcher",Mon Closed Tue Closed Wed 10:00 AM - 6:00 PM Thu 10:00 AM - 6:00 PM Fri 10:00 AM - 6:00 PM Sat 10:00 AM - 6:00 PM Closed now Sun 10:00 AM - 6:00 PM,5 star rating,https://www.romasbutchery.com,Unclaimed,https://www.yelp.com/biz/roma-s-butchery-royalton?osq=restaurants
12,https://s3-media0.fl.yelpcdn.com/bphoto/VOROXzQcdTOh7oveQLCk_A/l.jpg,Subway,"81 Bridge St Morrisville, VT 05661",(802) 888-2694,8 reviews,Sandwiches,Mon 9:00 AM - 9:00 PM Tue 9:00 AM - 9:00 PM Wed 9:00 AM - 9:00 PM Thu 9:00 AM - 9:00 PM Fri 9:00 AM - 9:00 PM Sat 9:00 AM - 9:00 PM Open now Sun 9:00 AM - 7:00 PM,2.5 star rating,http://www.subway.com,Claimed,https://www.yelp.com/adredir?ad_business_id=QmWb4CScwmApLnzmRxnPog&campaign_id=CBqOBYvCwc256o469I7c4w&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsubway-morrisville-12&request_id=e73c83130cf5ea12&signature=0b5b6959515ba2d7ab6a124bd7049fc691716cab5cdc727d107fd27f2f9b320d&slot=0
