,image,Restaurant name,Address,Contact address,Reviews,Food name,Timing,Ratings,Restaurant url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/1EuvW2adSin_sAqtyK-8gQ/l.jpg,Yesway,"100 S Grand Ave Lyons, KS 67554",(620) 257-2820,"Convenience Stores,","Convenience Stores, Fast Food, Gas Stations",Mon Open 24 hours Tue Open 24 hours Wed Open 24 hours Thu Open 24 hours Fri Open 24 hours Open now Sat Open 24 hours Sun Open 24 hours,Rating,https://yesway.com,Claimed,https://www.yelp.com/adredir?ad_business_id=fXekNHMILbek4FhtE90WYQ&campaign_id=OgKNuKnq_NBqfSFo8mcTKw&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fyesway-lyons&request_id=a0642f9b9f7440c7&signature=80c578d4ad65b6f9eea495183c8f81fa9d593a7c76856ecbe4938985202b21ce&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/bL3byvcd_MkVqCBdG4uvCg/l.jpg,Schlotzsky's,"2480 S 9th St Salina, KS 67401",(785) 914-4712,25 reviews,"Delis, Sandwiches, Caterers",Mon 10:00 AM - 9:00 PM Tue 10:00 AM - 9:00 PM Wed 10:00 AM - 9:00 PM Thu 10:00 AM - 9:00 PM Fri 10:00 AM - 9:00 PM Open now Sat 10:00 AM - 9:00 PM Sun 10:00 AM - 9:00 PM,3.5 star rating,https://www.schlotzskys.com,Claimed,https://www.yelp.com/adredir?ad_business_id=Gxhh1KW5IR3k9lZPglrr3w&campaign_id=iBYM61qkCbi9No5lbNJ4jw&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fschlotzskys-salina&request_id=a0642f9b9f7440c7&signature=175d5ac7324b6dfe67983c53382c463e28ad1669444e8bfee24c0cb064b16dcb&slot=1
2,https://s3-media0.fl.yelpcdn.com/bphoto/O8gQpwaNlj_N7VJzT95Agw/l.jpg,County Seat Bar & Grill,"105 W Main St Lyons, KS 67554",(620) 509-2362,2 reviews,"American (Traditional), Sports Bars, Comfort Food",Mon 11:00 AM - 12:00 AM (Next day) Tue 11:00 AM - 12:00 AM (Next day) Wed 11:00 AM - 12:00 AM (Next day) Thu 11:00 AM - 2:00 AM (Next day) Fri 11:00 AM - 2:00 AM (Next day) Open now Sat 11:00 AM - 2:00 AM (Next day) Sun 8:00 AM - 12:00 AM (Next day),5 star rating,https://county-seat-bar-and-gr…,Claimed,https://www.yelp.com/biz/county-seat-bar-and-grill-lyons?osq=restaurants
3,https://s3-media0.fl.yelpcdn.com/bphoto/9HJSfPKIG3yiAdrWktX_-w/l.jpg,The Ranch House,"109 N Washington St Marquette, KS 67464",(620) 755-9055,2 reviews,"American (Traditional), Bars",Mon Closed Tue 11:00 AM - 8:00 PM Wed 11:00 AM - 8:00 PM Thu 11:00 AM - 10:00 PM Fri 11:00 AM - 12:00 AM (Next day) Open now Sat 11:00 AM - 12:00 AM (Next day) Sun Closed,5 star rating,https://county-seat-bar-and-gr…,Unclaimed,https://www.yelp.com/biz/the-ranch-house-marquette?osq=restaurants
4,https://s3-media0.fl.yelpcdn.com/bphoto/xYHi6AG1Ul59NPzcNCnEVg/l.jpg,Oliver's Beef & Brew,"245 Main St Little River, KS 67457",(620) 897-5216,2 reviews,Steakhouses,Mon Closed Tue 11:00 AM - 8:00 PM Wed 11:00 AM - 8:00 PM Thu 11:00 AM - 8:00 PM Fri 11:00 AM - 9:00 PM Open now Sat 11:00 AM - 9:00 PM Sun Closed,5 star rating,https://county-seat-bar-and-gr…,Unclaimed,https://www.yelp.com/biz/olivers-beef-and-brew-little-river?osq=restaurants
5,https://s3-media0.fl.yelpcdn.com/bphoto/Vm8NOi8hVx_HE-a2smAkyQ/l.jpg,Mo's Place,"1908 Elm St Beaver, KS 67525",(620) 587-2350,8 reviews,"American (New), Breweries",Mon Closed Tue Closed Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 9:00 PM Open now Sat 11:00 AM - 9:00 PM Sun Closed,5 star rating,https://county-seat-bar-and-gr…,Unclaimed,https://www.yelp.com/biz/mos-place-beaver?osq=restaurants
6,https://s3-media0.fl.yelpcdn.com/bphoto/RAMH0bb6zjGr4WtB-jzrWQ/l.jpg,The Barrister's Bar & Judge's Grill,"804 N Main St Russell, KS 67665",(785) 445-3888,6 reviews,"Salad, American (Traditional), Bars",Mon Closed Tue Closed Wed Closed Thu Closed Fri 5:00 PM - 2:00 AM (Next day) Closed now Sat 11:00 AM - 2:00 AM (Next day) Sun 11:00 AM - 2:00 AM (Next day),4.5 star rating,https://thebarrussell.wixsite.…,Claimed,https://www.yelp.com/biz/the-barristers-bar-and-judges-grill-russell?osq=restaurants
7,https://s3-media0.fl.yelpcdn.com/bphoto/AmqtM0wUP7Zw0yKwF594RQ/l.jpg,The Sample Room,"414 26th St Wilson, KS 67490",(785) 658-2284,6 reviews,"American (Traditional), Wine Bars",Mon Closed Tue 5:00 PM - 9:00 PM Wed 5:00 PM - 9:00 PM Thu 5:00 PM - 10:00 PM Fri 5:00 PM - 10:00 PM Closed now Sat 5:00 PM - 10:00 PM Sun 5:00 PM - 9:00 PM,4 star rating,http://www.midlandrailroadhote…,Claimed,https://www.yelp.com/biz/the-sample-room-wilson?osq=restaurants
8,https://s3-media0.fl.yelpcdn.com/bphoto/y22XDdUEol0yQSq9u9MzYQ/l.jpg,Renaissance Cafe,"210 N Center St Assaria, KS 67416",(785) 822-6750,27 reviews,Italian,Mon Closed Tue Closed Wed Closed Thu 5:00 PM - 9:00 PM Fri 5:00 PM - 9:00 PM Closed now Sat 5:00 PM - 9:00 PM Sun Closed,5 star rating,http://www.renaissancecafeassa…,Unclaimed,https://www.yelp.com/biz/renaissance-cafe-assaria?osq=restaurants
9,https://s3-media0.fl.yelpcdn.com/bphoto/heMrc8Y00cyBqQpiGcVj7w/l.jpg,Brew 56 | Coffee and Tap House,"111 W Main St Lyons, KS 67554",(620) 509-2363,7 reviews,"Coffee & Tea, Bars, Pizza",Mon 7:00 AM - 8:00 PM Tue 7:00 AM - 8:00 PM Wed 7:00 AM - 8:00 PM Thu 7:00 AM - 8:00 PM Fri 7:00 AM - 8:00 PM Open now Sat 8:00 AM - 2:00 PM Sun Closed,5 star rating,https://www.brew56.com,Unclaimed,https://www.yelp.com/biz/brew-56-coffee-and-tap-house-lyons?osq=restaurants
