,image,Restaurant name,Address,Contact address,Reviews,Food name,Timing,Ratings,Restaurant url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/RT7Ts7a1DV7jVuuGnxbumQ/l.jpg,Morrison Hill Orchard,"272 Morrison Hill Rd Farmington, ME 04938",(207) 778-4945,"Pick Your Own Farms,","('Pick', 'Your', 'Own', 'Farms,', 'Cideries,', 'Pizza')",Mon Closed Tue Closed Wed Closed Thu Closed Fri 4:00 PM - 7:00 PM Open now Sat 12:00 PM - 7:00 PM Sun 12:00 PM - 4:00 PM,3.5 star rating,http://www.morrisonhillorchard…,Claimed,https://www.yelp.com/adredir?ad_business_id=Z-sWlFinNqQ2iZfhw_ahNg&campaign_id=D5kqNyOctLMFXX1QwcYeBQ&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmorrison-hill-orchard-farmington&request_id=affff962743f610d&signature=e458a3b8ff473e1eafd1adeedd4fce5ca29dea665c19ca9975032f33097692ec&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/gc9DWwkPUYT0V4QZXa7AnQ/l.jpg,Subway,"1010 W Main St Dover-foxcroft, ME 04426",(207) 564-0465,4 reviews,"('Sandwiches',)",Mon 8:00 AM - 9:00 PM Tue 8:00 AM - 9:00 PM Wed 8:00 AM - 9:00 PM Thu 8:00 AM - 9:00 PM Fri 8:00 AM - 9:00 PM Open now Sat 8:00 AM - 9:00 PM Sun 8:00 AM - 9:00 PM,3 star rating,http://www.subway.com,Claimed,https://www.yelp.com/adredir?ad_business_id=RAqSzB3ZCV96ZuQJY5OOJw&campaign_id=iyKB-CI6itBYnsvcT-WZcA&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsubway-dover-foxcroft-2&request_id=affff962743f610d&signature=9d5b0d6d22db9c3b60546f84c386268112340de2c3ed9a498809b2dbf742b069&slot=1
2,https://s3-media0.fl.yelpcdn.com/bphoto/SrKPh76z-laYL21YvS3f2Q/l.jpg,Elaine's Basket Cafe & Bakery,"38 Main St Milo, ME 04463",(207) 943-2705,14 reviews,"('Bakeries,', 'Breakfast', '&', 'Brunch,', 'Cafes')",Mon Closed Tue 7:00 AM - 5:00 PM Wed 7:00 AM - 5:00 PM Thu 7:00 AM - 5:00 PM Fri Closed Closed now Sat 7:00 AM - 5:00 PM Sun Closed,4.5 star rating,http://www.elainesbakerycafe.c…,Claimed,https://www.yelp.com/biz/elaines-basket-cafe-and-bakery-milo-2?osq=restaurants
3,https://s3-media0.fl.yelpcdn.com/bphoto/cjT5VIJpIM4U7vQoJ1xBcw/l.jpg,HobNob 2.0,"157 Elm St Milo, ME 04463",(207) 943-2705,American (Traditional),"('American', '(Traditional)')",,3 star rating,http://www.elainesbakerycafe.c…,Unclaimed,https://www.yelp.com/biz/hobnob-2-0-milo?osq=restaurants
4,https://cf-images.us-east-1.prod.boltdns.net/v1/static/3142682442001/500c6ac6-bec0-4602-b486-ec0c859e299d/550dbab8-5993-40dd-bf76-1fca72b841cc/360x360/match/image.jpg,Pat's Pizza,"20 Park St Milo, ME 04463",(207) 943-2006,9 reviews,"('Pizza',)",Mon 9:00 AM - 8:00 PM Tue 9:00 AM - 8:00 PM Wed 9:00 AM - 8:00 PM Thu 9:00 AM - 9:00 PM Fri 9:00 AM - 10:00 PM Open now Sat 9:00 AM - 9:00 PM Sun 10:00 AM - 8:00 PM,3 star rating,http://www.elainesbakerycafe.c…,Unclaimed,https://www.yelp.com/biz/pats-pizza-milo?osq=restaurants
5,https://s3-media0.fl.yelpcdn.com/bphoto/ThWxJ7DDFdjgmo75Ujp7eg/l.jpg,C & J Variety,"86 park street Milo, ME 04463",(207) 943-2121,3 reviews,"('Breakfast', '&', 'Brunch')",,4.5 star rating,http://www.elainesbakerycafe.c…,Unclaimed,https://www.yelp.com/biz/c-and-j-variety-milo?osq=restaurants
6,https://s3-media0.fl.yelpcdn.com/bphoto/ndVP0qI4a7SfBAbTL9UvVA/l.jpg,Milo House of Pizza,"60 Main St Milo, ME 04463",(207) 943-5211,7 reviews,"('Pizza',)",,4 star rating,http://www.elainesbakerycafe.c…,Unclaimed,https://www.yelp.com/biz/milo-house-of-pizza-milo?osq=restaurants
7,https://s3-media0.fl.yelpcdn.com/bphoto/DAAGo2WONt1gtJYtwXW8oA/l.jpg,Fong Seng Restaurant,"45A W Main St Milo, ME 04463",(207) 943-9010,Chinese,"('Chinese',)",Mon 11:00 AM - 9:00 PM Tue Closed Wed 11:00 AM - 9:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 9:00 PM Open now Sat 11:00 AM - 9:00 PM Sun 11:00 AM - 9:00 PM,4 star rating,http://www.elainesbakerycafe.c…,Unclaimed,https://www.yelp.com/biz/fong-seng-restaurant-milo-2?osq=restaurants
8,https://s3-media0.fl.yelpcdn.com/bphoto/DAAGo2WONt1gtJYtwXW8oA/l.jpg,The Restaurant,"66 Park St Milo, ME 04463",(207) 943-7432,Restaurants,"('Restaurants',)",,3 star rating,http://www.elainesbakerycafe.c…,Unclaimed,https://www.yelp.com/biz/the-restaurant-milo?osq=restaurants
9,https://s3-media0.fl.yelpcdn.com/bphoto/DAAGo2WONt1gtJYtwXW8oA/l.jpg,Sandees,"66 Park St Milo, ME 04463",(207) 943-2885,Restaurants,"('Restaurants',)",,3 star rating,http://www.elainesbakerycafe.c…,Unclaimed,https://www.yelp.com/biz/sandees-milo?osq=restaurants
